country,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSOITE,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01,,,,,,,,,,,,,75.21194,,,,-14.12636,46.79127,,,,,,,,,,,,
1987-02,,,,,,,,,,,,,75.62655,,,,-14.65834,44.82138,,,,,,,,,,,,
1987-03,,,,,,,,,,,,,76.37395,,,,-12.01471,43.14142,,,,,,,,,,,,
1987-04,,,,,,,,,,,,,77.06958,,,,-11.21317,41.66466,,,,,,,,,,,,
1987-05,,,,,,,,,,,,,77.51962,,,,-13.58399,43.13145,,,,,,,,,,,,
1987-06,,,,,,,,,,,,,77.92933,,,,-16.34443,44.44578,,,,,,,,,,,,
1987-07,,,,,,,,,,,,,78.19386,,,,-24.61527,44.39608,,,,,,,,,,,,
1987-08,,,,,,,,,,,,,77.73536,,,,-15.86067,40.76117,,,,,,,,,,,,
1987-09,,,,,,,,,,,,,77.37614,,,,-12.51354,34.96928,,,,,,,,,,,,
1987-10,,,,,,,,,,,,,77.23431,,,,-3.61463,30.08196,,,,,,,,,,,,
1987-11,,,,,,,,,,,,,77.28014,,,,-17.96225,31.99514,,,,,,,,,,,,
1987-12,,,,,,,,,,,,,77.50455,,,,-28.489,34.72833,,,,,,,,,,,,
1988-01,,,,,,,,,,,,,78.04163,,,,-35.02986,36.50682,,,,,,,,,,,,
1988-02,,,,,,,,,,,,,77.20643,,,,-36.10462,34.29367,,,,,,,,,,,,
1988-03,,,,,,,,,,,,,76.65105,,,,-34.54235,31.5427,,,,,,,,,,,,
1988-04,,,,,,,,,,,,,76.23314,,,,-34.57392,29.09809,,,,,,,,,,,,
1988-05,,,,,,,,,,,,,75.58821,,,,-33.80068,31.66072,,,,,,,,,,,,
1988-06,,,,,,,,,,,,,74.93777,,,,-33.3045,33.91013,,,,,,,,,,,,
1988-07,,,,,,,,,,,,,74.23396,,,,-37.58107,33.84823,,,,,,,,,,,,
1988-08,,,,,,,,,,,,,73.8577,,,,-34.42092,38.53077,,,,,,,,,,,,
1988-09,,,,,,,,,,,,,73.43817,,,,-36.09202,41.06814,,,,,,,,,,,,
1988-10,,,,,,,,,,,,,73.4981,,,,-32.89071,43.93254,,,,,,,,,,,,
1988-11,,,,,,,,,,,,,73.11572,,,,-32.22152,41.93882,,,,,,,,,,,,
1988-12,,,,,,,,,,,,,73.07276,,,,-28.4598,40.78644,,,,,,,,,,,,
1989-01,,,,,,,,,,,,,73.06005,,,,-21.30291,38.09994,,,,,,,,,,,,
1989-02,,,,,,,,,,,,,72.56818,,,,-26.77298,38.85263,,,,,,,,,,,,
1989-03,,,,,,,,,,,,,72.21126,,,,-31.91844,41.28991,,,,,,,,,,,,
1989-04,,,,,,,,,,,,,71.973,,,,-32.31718,44.10865,,,,,,,,,,,,
1989-05,,,,,,,,,,,,,72.41505,,,,-34.37435,41.61938,,,,,,,,,,,,
1989-06,,,,,,,,,,,,,72.97094,,,,-34.26947,38.85391,,,,,,,,,,,,
1989-07,,,,,,,,,,,,,73.46227,,,,-37.49539,33.93722,,,,,,,,,,,,
1989-08,,,,,,,,,,,,,74.34529,,,,-27.58572,40.44139,,,,,,,,,,,,
1989-09,,,,,,,,,,,,,75.13158,,,,-20.61541,45.06404,,,,,,,,,,,,
1989-10,,,,,,,,,,,,,76.47424,,,,-10.74382,52.57076,,,,,,,,,,,,
1989-11,,,,,,,,,,,,,75.85343,,,,-13.10239,50.2354,,,,,,,,,,,,
1989-12,,,,,,,,,,,,,75.73277,,,,-13.39701,48.80104,,,,,,,,,,,,
1990-01,,,,,,,,,,,,,75.45826,,,,-11.29352,44.26566,,,,,,,,,,,,
1990-02,,,,,,,,,,,,,75.79321,,,,-15.71247,43.05486,,,,,,,,,,,,
1990-03,,,,,,,,,,,,,76.02352,,,,-17.9596,45.44954,,,,,,,,,,,,
1990-04,,,,,,,,,,,,,76.62533,,,,-21.85299,47.21991,,,,,,,,,,,,
1990-05,,,,,,,,,,,,,75.41185,,,,-22.48969,44.71127,,,,,,,,,,,,
1990-06,,,,,,,,,,,,,74.69409,,,,-22.94848,43.65271,,,,,,,,,,,,
1990-07,,,,,,,,,,,,,73.78445,,,,-25.59266,40.46687,,,,,,,,,,,,
1990-08,,,,,,,,,,,,,73.89334,,,,-26.50956,38.0862,,,,,,,,,,,,
1990-09,,,,,,,,,,,,,73.86092,,,,-29.23613,35.72228,,,,,,,,,,,,
1990-10,,,,,,,,,,,,,74.3973,,,,-29.53436,35.02347,,,,,,,,,,,,
1990-11,,,,,,,,,,,,,73.30968,,,,-22.41505,39.0198,,,,,,,,,,,,
1990-12,,,,,,,,,,,,,72.81063,,,,-13.44018,44.18095,,,,,,,,,,,,
1991-01,,,,,,,,,,,,,71.9608,,,,-3.073864,43.637,,,,,,,,,,,,
1991-02,,,,,,,,,,,,2.491727,72.98387,,16.58794,-13.73078,2.75527,37.7939,,,,,,,,,,,,
1991-03,,,,,,,,,,,,1.973649,73.57769,,14.37995,-13.73078,7.714845,34.03167,,,,,,,,,,,,
1991-04,,,,,,,,,,,,0.8256049,74.67174,,11.06797,-15.7507,17.65308,29.29548,,,,,,,,,,,,
1991-05,,,,,,,,,,,,-0.4932306,73.99353,,8.859978,-18.78057,15.49641,26.16086,,,,,,,,,,,,
1991-06,,,,,,,,,,,,1.65925,73.72865,,4.444002,-21.81045,14.65074,31.2322,,,,,,,,,,,,
1991-07,,,,,,,,,,,,2.883705,73.30534,,1.132019,-25.85029,14.08821,35.63342,,,,,,,,,,,,
1991-08,,,,,,,,,,,,5.057983,73.08717,,-3.283957,-30.90009,12.45897,42.79008,,,,,,,,,,,,
1991-09,,,,,,,,,,,,2.252599,72.85197,,-5.491946,-35.94988,10.47365,37.21573,,,,,,,,,,,,
1991-10,,,,,,,,,,,,1.076904,73.06007,,-7.699934,-36.95984,10.81849,32.49062,,,,,,,,,,,,
1991-11,,,,,,,,,,,,-3.356368,73.35074,,-9.907922,-37.9698,9.99524,17.99277,,,,,,,,,,,,
1991-12,,,,,,,,,,,,-3.605781,74.08623,,0.02802509,-38.97976,10.54373,28.19044,,,,,,,,,,,,
1992-01,,,,,,,,,,,,-4.936512,74.5573,,9.963972,-34.93992,11.95446,30.09436,,,,,,,,,,,,
1992-02,,,,,,,,,,,,-5.811934,74.66144,,19.89992,-31.91004,12.96617,34.37416,,,,,,,,,,,,
1992-03,,,,,,,,,,,,0.9543763,74.41025,,2.236013,-27.87021,13.89543,32.96935,,,,,,,,,,,,
1992-04,,,,,,,,,,,,6.591041,74.43049,,-14.3239,-25.85029,14.22884,31.29951,,,,,,,,,,,,
1992-05,,,,,,,,,,,,12.15424,74.8653,,-31.9878,-24.84033,17.38009,29.31525,,,,,,,,,,,,
1992-06,,,,,,,,,,,,10.24149,75.40355,,-25.36384,-22.82041,19.33087,28.18105,,,,,,,,,,,,
1992-07,,,,,,,,,,,,8.966205,75.99878,,-19.84387,-19.79053,22.60058,26.84528,,,,,,,,,,,,
1992-08,,,,,,,,,,,,7.314788,75.95193,,-13.2199,-16.76066,18.52455,25.48512,,,,,,,,,,,,
1992-09,,,,,,,,,,,,8.355629,75.91837,,-14.3239,-13.73078,14.44739,24.47377,,,,,,,,,,,,
1992-10,,,,,,,,,,,,6.071792,76.1167,,-14.3239,-19.79053,13.87449,23.68201,,,,,,,,,,,,
1992-11,,,,,,,,,,,,1.448184,76.29857,,-15.42789,-24.84033,14.41421,13.75699,,,,,,,,,,,,
1992-12,,,,,,,,,,,,-1.209333,76.7638,,-2.179963,-30.90009,16.88099,25.09212,,,,,,,,,,,,
1993-01,,,,,,,,,,,,-3.81317,76.97184,,11.06797,-27.87021,19.77415,27.49866,,,,,,,,,,,,
1993-02,,,,,,,,,,,,-6.517243,77.32369,,24.3159,-25.85029,21.66558,30.61446,,,,,,,,,,,,
1993-03,,,,,,,,,,,,-0.2498933,77.42735,,11.06797,-22.82041,22.359,33.1387,,,,,,,,,,,,
1993-04,,,,,,,,,,,,5.831073,77.61137,,-3.283957,-19.79053,23.2723,33.9998,,,,,,,,,,,,
1993-05,,,,,,,,,,,,10.89413,77.98878,,-16.53189,-17.77061,21.89001,33.92113,,,,,,,,,,,,
1993-06,,,,,,,,,,,,9.043376,78.38704,,-11.01192,-14.74074,18.81904,30.85895,,,,,,,,,,,,
1993-07,,,,,,,,,,,,5.384955,78.73149,,-5.491946,-15.7507,18.25913,26.41362,,,,,,,,,,,,
1993-08,,,,,,,,,,,,1.167657,78.88867,,0.02802509,-16.76066,18.87768,20.29165,,,,,,,,,,,,
1993-09,,,,,,,,,,,,6.002715,79.07322,,-6.59594,-17.77061,19.99603,29.18282,,,,,,,,,,,,
1993-10,,,,,,,,,,,,10.71565,79.3718,,-13.2199,-16.76066,24.9269,35.68769,,,,,,,,,,,,
1993-11,,,,,,,,,,,,13.01616,78.45066,,-19.84387,-16.76066,10.99544,35.96526,,,,,,,,,,,,
1993-12,,,,,,,,,,,,5.686504,77.65369,,-7.699934,-16.76066,-1.175493,26.12024,,,,,,,,,,,,
1994-01,,,,,,,,,,,,-3.821581,76.6251,,3.340008,-13.73078,-12.9793,5.606042,,,,,,,,,,,,
1994-02,,,,,,,,,,,,-13.29999,73.12128,,15.48394,-10.7009,-19.77155,-13.71514,,,,,,,,,,,,
1994-03,,,,,,,,,,,,-7.072627,69.27444,,16.58794,-7.671022,-28.02193,3.041079,,,,,,,,,,,,
1994-04,,,,,,,,,,,,-5.834516,65.673,,18.79593,-15.7507,-35.83188,17.04307,,,,,,,,,,,,
1994-05,,,,,,,,,,,,-4.911338,67.43729,,19.89992,-23.83037,-16.67081,28.99628,,,,,,,,,,,,
1994-06,,,,,,,,,,,,-0.6506083,69.20364,,3.340008,-31.91004,0.6539422,33.29823,,,,,,,,,,,,
1994-07,,,,,,,,,,,,8.408585,70.78606,,-14.3239,-24.84033,20.44815,35.74218,,,,,,,,,,,,
