country,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR
subject,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSOITE,BSPRFT,BSPRTE,BSSPFT,BSXRLV
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,
time,,,,,,,,,,
1973-Q4,,,17.42317,,29.95993,30.9044,28.13269,30.65002,59.17424,25.41228
1974-Q1,,,15.8506,,26.4,17.80051,20.19207,27.49282,58.03602,13.02272
1974-Q2,,,11.51888,,4.9,6.732572,15.649,16.86588,54.1876,3.565825
1974-Q3,,,6.261754,,-3.2,-3.766807,10.03382,5.992813,42.82901,4.891819
1974-Q4,,,-1.712415,,-20.1,-8.588787,1.085753,5.598589,32.77457,-28.39414
1975-Q1,,,-9.03458,,-36.7,-17.32897,-7.860206,-23.35492,6.143299,-38.06529
1975-Q2,,,-15.47916,,-40.1,-19.23538,-13.05158,-10.30514,4.377841,-40.49788
1975-Q3,,,-14.72497,,-28.2,-15.36222,-14.1877,-11.77638,7.976192,-31.00908
1975-Q4,,,-6.872118,,-8.7,-1.777171,6.947907,-5.940073,7.193889,-5.342439
1976-Q1,,,-2.971202,,-2.0,5.665314,15.1602,16.41058,23.12054,6.75667
1976-Q2,,,6.712887,,0.9,18.50275,22.46972,8.060791,24.14208,4.525663
1976-Q3,,,4.220789,,-6.2,0.9706049,14.39288,15.68217,18.83055,-4.834257
1976-Q4,,,-3.159372,,-13.2,1.245198,3.728192,13.60786,13.57171,-11.41385
1977-Q1,,,-4.838526,,-10.8,2.502958,1.326909,2.938664,19.02251,-17.34615
1977-Q2,,,-7.004071,,-9.9,-0.7028798,-1.156513,0.3930636,10.89448,-9.498223
1977-Q3,,,-9.046315,,-12.1,2.42801,-2.861879,1.510762,9.142548,-5.637228
1977-Q4,,,-7.101774,,-16.7,-3.028766,-2.454167,-5.410636,12.40564,-20.4425
