country,USA
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1967,87.15514
1968,87.09411
1969,86.65392
1970,79.45734
1971,77.95361
1972,83.43182
1973,87.69083
1974,84.37688
1975,73.65186
1976,78.36052
1977,82.49001
1978,84.47077
1979,84.03541
1980,78.66859
1981,76.94565
1982,70.90678
1983,73.48798
1984,79.40313
1985,78.18869
1986,78.47197
1987,80.98869
1988,84.01322
1989,83.29227
1990,81.58283
1991,78.62196
1992,79.72622
1993,80.57933
1994,82.86626
1995,83.16917
1996,82.15044
1997,83.09
1998,81.69981
1999,80.63726
2000,79.89182
2001,73.87021
2002,73.10246
2003,74.07276
2004,76.53197
2005,78.56512
2006,78.82092
2007,78.79267
2008,74.54594
2009,65.28825
2010,70.41113
2011,73.32071
2012,74.50531
2013,74.55179
2014,75.69962
2015,75.99752
2016,75.22591
2017,76.2078
2018,77.69202
2019,75.83806
2020,71.22805
2021,77.10833
2022,79.14167
2023,77.75833
