country,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,
1983-01,,,,,,-38.42,,51.1,-67.1,3.1,2.1,63.9,-70.0,,,
1983-02,,,,,,-35.75,,53.1,-64.1,10.1,61.1,64.9,-66.0,,,
1983-03,,,,,,-22.08,,4.1,-60.1,-1.9,12.1,65.9,-64.0,,,
1983-04,,,,,,-25.41,,11.1,-57.1,-7.9,89.1,49.9,-61.0,,,
1983-05,,,,,,-25.74,,10.1,-60.1,-6.9,-19.9,19.9,-58.0,,,
1983-06,,,,,,-22.41,,11.1,-54.1,-1.9,-6.9,23.9,-54.0,,,
1983-07,,,,,,-22.08,,8.1,-51.1,-6.9,-54.9,11.9,-54.0,,,
1983-08,,,,,,-20.41,,15.1,-44.1,-1.9,-10.9,18.9,-52.0,,,
1983-09,,,,,,-19.74,,2.1,-47.1,-9.9,0.1,-18.1,-48.0,,,
1983-10,,,,,,-16.74,,0.1,-43.1,-6.9,-17.9,-29.1,-44.0,,,
1983-11,,,,,,-7.07,,-1.9,-11.1,-11.9,60.1,7.9,14.0,,,
1983-12,,,,,,-6.07,,2.1,-5.1,-10.9,-4.9,39.9,10.0,,,
1984-01,,,,,,5.26,,-8.9,2.9,4.1,9.1,59.9,11.0,,,
1984-02,,,,,,-11.07,,-7.9,2.9,-43.9,86.1,9.9,15.0,,,
1984-03,,,,,,-11.07,,-5.9,4.9,-43.9,6.1,6.9,11.0,,,
1984-04,,,,,,-0.74,,4.1,6.9,-4.9,-12.9,13.9,11.0,,,
1984-05,,,,,,2.26,,0.1,9.9,-2.9,89.1,20.9,16.0,,,
1984-06,,,,,,2.26,,-1.9,5.9,-0.9,-6.9,16.9,12.0,,,
1984-07,,,,,,2.26,,-1.9,3.9,1.1,46.1,12.9,6.0,,,
1984-08,,,,,,-1.07,,2.1,-1.1,0.1,-5.9,8.9,2.0,,,
1984-09,,,,,,2.6,,0.1,3.9,4.1,1.1,14.9,11.0,,,
1984-10,,,,,,0.6,,1.1,-0.1,3.1,4.1,8.9,21.0,,,
1984-11,,,,,,-0.73,,1.1,-5.1,4.1,44.1,13.9,21.0,,,
1984-12,,,,,,7.3,,-9.7,0.0,12.3,7.9,6.2,9.0,,,
1985-01,-25.0,-59.1,-53.6,-64.6,-15.0,1.2,-0.5,2.2,0.8,5.0,-10.7,25.9,12.0,,,
1985-02,-30.0,-61.9,-58.1,-65.7,-16.0,-3.7,-0.1,3.2,-4.2,-3.8,32.4,16.9,6.0,,,
1985-03,-28.1,-59.6,-58.0,-61.2,-31.0,-2.7,0.2,2.2,-5.2,-0.8,-52.1,12.9,5.0,,,
1985-04,-26.2,-56.7,-54.6,-58.8,-23.0,-1.5,-7.7,3.2,-4.2,2.8,1.0,62.9,6.0,,,
1985-05,-23.0,-52.0,-46.7,-57.3,-16.0,-4.9,-7.2,6.2,-5.2,-3.5,-23.1,11.9,8.0,,,
1985-06,-22.1,-48.6,-37.8,-59.4,-11.0,-2.9,-6.3,3.2,-3.2,-2.5,-13.8,8.9,2.0,,,
1985-07,-28.6,-44.6,-25.4,-63.8,-7.0,-2.5,-1.7,3.2,-7.2,2.8,-3.2,5.9,2.0,,,
1985-08,-30.2,-45.6,-35.2,-56.1,-4.0,6.0,-2.0,-9.8,1.8,6.3,36.3,9.9,13.0,,,
1985-09,-26.2,-41.6,-28.9,-54.3,-9.0,4.3,-2.0,-3.8,1.8,7.3,-4.1,4.9,16.0,,,
1985-10,-22.1,-40.1,-29.8,-50.4,-2.0,1.1,-2.6,-4.8,-5.2,3.7,11.4,1.9,3.0,,,
