country,SVK,SVK
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1991-Q1,,93.3
1991-Q2,,92.5
1991-Q3,,92.3
1991-Q4,,93.3
1992-Q1,,93.3
1992-Q2,,91.9
1992-Q3,,88.8
1992-Q4,,82.1
1993-Q1,,77.8
1993-Q2,,76.1
1993-Q3,,75.6
1993-Q4,74.0,77.5
1994-Q1,76.0,79.3
1994-Q2,73.0,81.1
1994-Q3,73.0,83.9
1994-Q4,75.0,87.2
1995-Q1,74.0,88.6
1995-Q2,74.0,89.5
1995-Q3,72.0,90.0
1995-Q4,76.0,92.9
1996-Q1,78.0,90.2
1996-Q2,79.0,88.2
1996-Q3,77.0,88.4
1996-Q4,78.0,88.1
1997-Q1,78.0,90.1
1997-Q2,80.0,89.9
1997-Q3,81.0,91.8
1997-Q4,81.0,91.2
1998-Q1,81.0,92.6
1998-Q2,82.0,94.1
1998-Q3,85.0,94.2
1998-Q4,81.0,93.5
1999-Q1,79.0,93.2
1999-Q2,79.0,93.5
1999-Q3,83.0,92.0
1999-Q4,78.0,92.4
2000-Q1,84.0,44.9
2000-Q2,84.0,48.1
2000-Q3,84.0,43.6
2000-Q4,86.1,40.4
2001-Q1,85.2,46.8
2001-Q2,87.1,24.4
2001-Q3,84.5,33.4
2001-Q4,81.6,12.4
2002-Q1,72.7,56.0
2002-Q2,80.6,25.2
2002-Q3,82.2,39.5
2002-Q4,79.8,33.5
2003-Q1,80.0,41.6
2003-Q2,81.7,23.4
2003-Q3,82.0,33.8
2003-Q4,84.1,22.4
2004-Q1,82.5,12.4
2004-Q2,81.0,31.2
2004-Q3,82.7,24.4
2004-Q4,84.0,30.3
2005-Q1,80.1,14.7
2005-Q2,83.4,24.4
2005-Q3,83.0,3.9
2005-Q4,83.8,24.4
2006-Q1,82.4,9.7
2006-Q2,83.6,27.9
2006-Q3,87.2,5.9
2006-Q4,85.2,28.1
2007-Q1,87.5,52.4
2007-Q2,86.4,48.1
2007-Q3,84.5,42.2
2007-Q4,87.5,54.2
2008-Q1,84.0,37.9
2008-Q2,85.0,35.1
2008-Q3,83.4,28.3
2008-Q4,81.1,7.7
2009-Q1,67.7,-24.9
2009-Q2,65.8,-26.7
2009-Q3,66.2,16.6
2009-Q4,72.6,8.6
2010-Q1,73.6,8.0
2010-Q2,72.2,23.7
2010-Q3,74.2,32.8
2010-Q4,84.4,25.3
2011-Q1,80.6,26.5
2011-Q2,76.6,29.3
2011-Q3,75.4,12.1
2011-Q4,80.4,3.9
2012-Q1,75.6,5.8
2012-Q2,76.7,-7.8
2012-Q3,78.5,4.2
2012-Q4,79.1,-6.5
2013-Q1,75.0,10.3
2013-Q2,81.2,6.9
2013-Q3,72.1,26.8
2013-Q4,80.2,27.5
2014-Q1,79.0,12.3
2014-Q2,78.8,36.0
2014-Q3,81.0,5.7
2014-Q4,83.4,24.8
2015-Q1,79.9,24.5
2015-Q2,78.7,24.2
2015-Q3,85.1,39.6
2015-Q4,85.6,24.5
2016-Q1,84.4,29.7
2016-Q2,82.2,25.9
2016-Q3,83.9,20.3
2016-Q4,87.6,27.7
2017-Q1,86.6,17.2
2017-Q2,84.3,29.6
2017-Q3,83.8,2.8
2017-Q4,84.9,16.1
2018-Q1,83.6,9.4
2018-Q2,85.4,23.9
2018-Q3,83.5,8.6
2018-Q4,89.8,22.8
2019-Q1,88.2,17.3
2019-Q2,87.7,3.8
2019-Q3,87.6,10.0
2019-Q4,85.3,-4.2
2020-Q1,81.9,3.4
2020-Q2,75.9,-73.9
2020-Q3,78.0,-1.3
2020-Q4,82.0,56.4
2021-Q1,82.4,42.7
2021-Q2,82.5,22.6
2021-Q3,81.9,19.4
2021-Q4,82.1,36.1
2022-Q1,82.8,22.2
2022-Q2,83.9,23.7
2022-Q3,83.5,16.7
2022-Q4,83.0,15.3
2023-Q1,80.2,0.4
2023-Q2,84.0,15.0
2023-Q3,83.0,33.9
