country,LVA,LVA
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1993-Q2,44.0,
1993-Q3,44.5,
1993-Q4,45.5,
1994-Q1,43.0,
1994-Q2,47.0,
1994-Q3,48.5,
1994-Q4,49.5,
1995-Q1,49.0,
1995-Q2,50.0,
1995-Q3,48.5,
1995-Q4,49.5,
1996-Q1,52.0,
1996-Q2,51.1,
1996-Q3,53.5,
1996-Q4,54.6,
1997-Q1,53.0,
1997-Q2,57.1,
1997-Q3,56.5,
1997-Q4,53.6,
1998-Q1,61.9,
1998-Q2,62.1,
1998-Q3,63.5,
1998-Q4,54.5,
1999-Q1,55.9,
1999-Q2,56.1,
1999-Q3,55.5,
1999-Q4,57.9,
2000-Q1,59.8,
2000-Q2,57.8,
2000-Q3,58.1,
2000-Q4,58.1,
2001-Q1,51.6,15.1
2001-Q2,66.1,12.3
2001-Q3,67.5,13.3
2001-Q4,65.5,6.6
2002-Q1,68.7,12.0
2002-Q2,69.1,14.2
2002-Q3,69.5,9.3
2002-Q4,71.6,10.7
2003-Q1,68.9,17.9
2003-Q2,68.0,13.0
2003-Q3,66.2,21.5
2003-Q4,72.0,22.0
2004-Q1,71.6,21.5
2004-Q2,72.9,20.3
2004-Q3,72.0,7.3
2004-Q4,70.2,20.4
2005-Q1,69.9,13.8
2005-Q2,72.7,9.2
2005-Q3,75.4,18.4
2005-Q4,71.0,21.8
2006-Q1,73.7,22.2
2006-Q2,72.9,18.3
2006-Q3,70.9,19.4
2006-Q4,73.3,21.3
2007-Q1,71.3,21.3
2007-Q2,73.6,15.9
2007-Q3,70.2,7.8
2007-Q4,72.3,0.9
2008-Q1,70.0,-3.3
2008-Q2,66.6,-14.7
2008-Q3,65.6,-19.4
2008-Q4,63.0,-29.5
2009-Q1,56.7,-53.1
2009-Q2,52.6,-44.1
2009-Q3,53.1,-31.0
2009-Q4,53.7,-27.6
2010-Q1,58.7,-15.8
2010-Q2,60.9,6.1
2010-Q3,65.1,10.5
2010-Q4,66.2,14.8
2011-Q1,66.0,1.4
2011-Q2,65.3,8.9
2011-Q3,68.8,7.9
2011-Q4,69.0,2.7
2012-Q1,69.2,-1.2
2012-Q2,70.5,3.5
2012-Q3,72.1,7.3
2012-Q4,71.7,1.7
2013-Q1,71.8,0.5
2013-Q2,71.3,-0.2
2013-Q3,72.8,1.8
2013-Q4,72.3,1.5
2014-Q1,72.1,1.8
2014-Q2,71.4,2.3
2014-Q3,72.4,0.7
2014-Q4,73.6,4.3
2015-Q1,70.9,-5.1
2015-Q2,71.5,-4.7
2015-Q3,71.9,-5.4
2015-Q4,71.6,-4.9
2016-Q1,72.1,-8.2
2016-Q2,72.6,0.5
2016-Q3,72.0,2.7
2016-Q4,73.7,3.2
2017-Q1,74.2,4.7
2017-Q2,74.4,9.7
2017-Q3,74.3,10.5
2017-Q4,74.5,10.0
2018-Q1,75.8,14.3
2018-Q2,76.1,11.3
2018-Q3,77.3,12.3
2018-Q4,75.8,7.9
2019-Q1,77.1,12.9
2019-Q2,77.0,2.9
2019-Q3,75.8,-7.1
2019-Q4,75.1,-3.1
2020-Q1,75.1,0.7
2020-Q2,68.8,-28.4
2020-Q3,71.2,-19.5
2020-Q4,73.1,1.3
2021-Q1,74.2,1.5
2021-Q2,74.7,3.5
2021-Q3,75.4,12.1
2021-Q4,76.7,3.5
2022-Q1,75.5,6.6
2022-Q2,75.6,6.6
2022-Q3,75.7,-6.5
2022-Q4,73.3,-13.2
2023-Q1,72.6,-12.2
