country,AUS,AUS,AUS
subject,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1974-09,-9.0,,
1974-10,-9.0,,
1974-11,-8.0,,
1974-12,-8.0,,
1975-01,0.0,,
1975-02,7.0,,
1975-03,14.0,,
1975-04,11.0,,
1975-05,8.0,,
1975-06,4.0,,
1975-07,3.0,,
1975-08,2.0,,
1975-09,1.0,,
1975-10,2.0,,
1975-11,3.0,,
1975-12,8.0,,
1976-01,14.0,,
1976-02,10.0,,
1976-03,7.0,,
1976-04,10.0,,
1976-05,7.0,,
1976-06,7.0,,
1976-07,6.0,,
1976-08,7.0,,
1976-09,8.0,,
1976-10,9.0,,
1976-11,1.0,,
1976-12,3.0,,
1977-01,4.0,,
1977-02,1.0,,
1977-03,-1.0,,
1977-04,2.0,,
1977-05,4.0,,
1977-06,4.0,,
1977-07,-1.0,,
1977-08,5.0,,
1977-09,5.0,,
1977-10,5.0,,
1977-11,9.0,,
1977-12,13.0,,
1978-01,16.0,,
1978-02,19.0,,
1978-03,15.0,,
1978-04,11.0,,
1978-05,10.0,,
1978-06,6.0,,
1978-07,2.0,,
1978-08,-9.0,,
1978-09,-2.0,,
1978-10,5.0,,
1978-11,4.0,,
1978-12,6.0,,
1979-01,8.0,,
1979-02,10.0,,
1979-03,6.0,,
1979-04,10.0,,
1979-05,1.0,,
1979-06,-8.0,,
1979-07,-10.0,,
1979-08,-5.0,,
1979-09,-1.0,,
1979-10,-2.0,,
1979-11,-1.0,,
1979-12,-1.0,,
1980-01,-1.0,,
1980-02,0.0,,
1980-03,1.0,,
1980-04,-3.0,,
1980-05,-1.0,,
1980-06,2.0,,
1980-07,-2.0,,
1980-08,1.0,,
1980-09,5.0,,
1980-10,10.0,,
1980-11,7.0,,
1980-12,10.0,,
1981-01,13.0,,
1981-02,13.0,,
1981-03,12.0,,
1981-04,7.0,,
1981-05,2.0,,
1981-06,1.0,,
1981-07,-5.0,,
1981-08,-8.0,,
1981-09,-5.0,,
1981-10,-2.0,,
1981-11,-2.0,,
1981-12,-5.0,,
1982-01,-8.0,,
1982-02,-8.0,,
1982-03,-8.0,,
1982-04,-6.0,,
1982-05,-7.0,,
1982-06,-8.0,,
1982-07,-20.0,,
1982-08,-16.0,,
1982-09,-17.0,,
1982-10,-19.0,,
1982-11,-25.0,,
1982-12,-18.0,,
1983-01,-12.0,,
1983-02,-7.0,,
1983-03,-3.0,,
1983-04,-1.0,,
1983-05,-3.0,,
1983-06,-5.0,,
1983-07,-2.0,,
1983-08,1.0,,
1983-09,4.0,,
1983-10,6.0,,
1983-11,13.0,,
1983-12,19.0,,
1984-01,25.0,,
1984-02,21.0,,
1984-03,21.0,,
1984-04,21.0,,
1984-05,18.0,,
1984-06,16.0,,
1984-07,17.0,,
1984-08,18.0,,
1984-09,18.0,,
1984-10,18.0,,
1984-11,16.0,,
1984-12,14.0,,
1985-01,15.0,,
1985-02,12.0,,
1985-03,10.0,,
1985-04,-1.0,,
1985-05,-1.0,,
1985-06,-2.0,,
1985-07,1.0,,
1985-08,7.0,,
1985-09,7.0,,
1985-10,8.0,,
1985-11,-5.0,,
1985-12,3.0,,
1986-01,5.0,,
1986-02,5.0,,
1986-03,4.0,,
1986-04,-5.0,,
1986-05,-5.0,,
1986-06,-8.0,,
1986-07,-20.0,,
1986-08,-20.0,,
1986-09,-21.0,,
1986-10,-10.0,,
1986-11,-14.0,,
1986-12,-11.0,,
1987-01,-9.0,,
1987-02,-12.0,,
1987-03,-13.0,,
1987-04,-10.0,,
1987-05,-8.0,,
1987-06,-7.0,,
1987-07,-1.0,,
1987-08,-4.0,,
1987-09,-5.0,,
1987-10,4.0,,
1987-11,-13.0,,
1987-12,-7.0,,
1988-01,1.0,,
1988-02,-1.0,,
1988-03,4.0,,
1988-04,6.0,,
1988-05,4.0,,
1988-06,4.0,,
1988-07,8.0,,
1988-08,8.0,,
1988-09,12.0,,
1988-10,9.0,,
1988-11,4.0,,
1988-12,6.0,,
1989-01,5.0,,
1989-02,-5.0,,
1989-03,-12.0,,
1989-04,-12.0,,
1989-05,-13.0,,
1989-06,-27.0,,
1989-07,-27.0,,
1989-08,-21.0,,
1989-09,-18.0,,
1989-10,-21.0,,
1989-11,-19.0,,
1989-12,-20.0,,
1990-01,-16.0,,
1990-02,-12.0,,
1990-03,-13.0,,
1990-04,-26.0,,
1990-05,-30.0,,
1990-06,-29.0,,
1990-07,-26.0,,
1990-08,-30.0,,
1990-09,-33.0,,
1990-10,-34.0,,
1990-11,-36.0,,
1990-12,-32.0,,
1991-01,-24.0,,
1991-02,-29.0,,
1991-03,-20.0,,
1991-04,-20.0,,
1991-05,-21.0,,
1991-06,-17.0,,
1991-07,-15.0,,
