country,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI
subject,BCBUTE,BCCI,BCEMFT,BRBUFT,BRCI,BREMFT,BSCI,BSEMFT,BSPRFT,BVBUTE,BVCI,BVEMFT,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,
2010-Q2,35.4,41.04167,35.5,46.66667,39.46667,12.0,37.1656,13.96154,40.1,24.6,25.10471,4.2,6.955075,2.66223,-7.8203
2010-Q3,26.0,20.3,18.0,33.33333,14.8,21.79487,17.2,8.0,26.66667,26.76768,17.4495,12.62626,0.6258891,-4.978663,-20.91038
2010-Q4,14.58333,5.104167,16.66667,51.51515,8.245614,31.81818,8.143939,6.818182,28.0303,34.44444,34.33333,21.66667,-4.43843,-12.71989,-16.37348
2011-Q1,31.91489,18.29787,29.78723,25.5814,11.62791,21.02564,16.15108,11.11111,30.21583,34.35897,16.71795,18.60465,0.5292479,-14.90251,-29.94429
2011-Q2,40.0,24.44444,33.33333,48.64865,21.41892,16.21622,25.23973,13.69863,43.15068,22.45989,8.02139,8.556149,-10.29957,-32.95292,-32.38231
2011-Q3,45.65217,20.65217,30.43478,29.72973,14.45946,17.56757,11.4726,15.75342,40.41096,28.27225,3.717278,1.04712,-19.94326,-47.0922,-26.38298
2011-Q4,46.7,15.0,28.9,73.6,25.2,20.8,15.2,7.7,52.4,38.2,11.2,12.0,-18.3815,-35.40462,-12.71676
2012-Q1,46.7,23.2,40.0,38.0,11.4,3.0,15.4,7.0,49.7,50.3,19.0,18.0,-11.31542,-36.7751,-30.83451
2012-Q2,44.0,17.9,32.0,47.9,32.43706,17.0,19.51923,20.5,55.1,37.0,9.775,2.0,-20.31117,-39.60396,-35.78501
2012-Q3,38.77551,14.2,32.65,33.78378,10.8,13.514,14.4,17.47,44.57831,33.67347,5.0,8.673,-20.68966,-46.75862,-32.96552
2012-Q4,37.2549,4.901961,15.7,58.10811,25.40541,32.4,10.74468,13.5,46.09929,46.36871,10.11173,15.1,-20.0,-37.42857,-27.28572
2013-Q1,32.6087,11.6,17.4,18.30986,2.6,7.0,8.6,10.0,30.57325,34.0,6.8,14.5,-20.05658,-40.16973,-34.65347
2013-Q2,45.09804,12.6,33.3,31.64557,10.4,15.2,12.2,13.0,44.37086,17.48634,1.0,4.0,-11.32791,-23.57724,-27.23577
2013-Q3,30.5,2.875,2.0,40.0,16.86667,20.0,7.78626,2.0,33.03817,25.0,4.61326,2.8,-23.9834,-38.17427,-32.9184
2013-Q4,40.0,10.6,30.0,59.0,20.0,25.0,8.6,8.0,46.0,31.0,7.0,8.7,-24.21488,-41.73554,-35.95041
