country,JPN
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1975,-30.75
1976,-20.25
1977,-19.5
1978,-18.75
1979,-5.25
1980,1.0
1981,-7.0
1982,-13.0
1983,-15.5
1984,-3.5
1985,-4.5
1986,-14.0
1987,-13.75
1988,2.75
1989,9.25
1990,11.75
1991,8.75
1992,-10.0
1993,-23.0
1994,-24.75
1995,-19.0
1996,-15.5
1997,-8.75
1998,-24.0
1999,-27.0
2000,-16.75
2001,-25.5
2002,-26.5
2003,-18.25
2004,-5.0
2005,-2.5
2006,0.75
2007,0.25
2008,-5.5
2009,-34.0
2010,-18.0
2011,-11.25
2012,-12.0
2013,-11.0
2014,-4.25
2015,-2.75
2016,-3.25
2017,1.5
2018,5.75
2019,0.75
2020,-11.75
2021,-3.25
2022,-0.5
