country,NZL
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1962,88.63891
1963,90.78278
1964,90.72423
1965,90.87405
1966,90.53313
1967,86.09623
1968,87.54842
1969,90.13631
1970,90.52031
1971,88.64178
1972,89.98306
1973,91.96543
1974,90.37523
1975,88.30861
1976,88.32615
1977,85.83622
1978,86.5856
1979,88.45807
1980,85.11963
1981,87.99077
1982,86.65859
1983,87.44194
1984,90.53504
1985,89.58148
1986,87.18137
1987,86.38434
1988,84.95079
1989,86.79494
1990,85.9662
1991,84.44453
1992,87.39521
1993,89.54414
1994,90.77091
1995,90.83079
1996,89.93624
1997,88.65662
1998,87.51411
1999,89.05525
2000,89.60599
2001,90.14731
2002,90.95942
2003,90.93386
2004,92.30277
2005,91.90343
2006,91.68301
2007,91.68929
2008,91.14175
2009,89.12841
2010,90.13753
2011,89.4726
2012,89.66624
2013,91.41074
2014,90.64217
2015,92.31762
2016,92.12453
2017,92.46837
2018,93.08205
2019,92.64156
2020,93.15268
2021,94.3289
2022,94.69221
