country,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09,10.2,-30.4,-2.4,-58.3,33.9,,,,,,,-19.0,-13.3,27.1,-54.3,24.3,3.7,41.4,-43.4,,,,,,,,,
1994-10,2.9,-35.6,-6.4,-64.7,30.5,,,,,,,-22.1,-10.8,25.1,-63.3,22.2,-2.0,44.6,-42.7,,,,,,,,,
1994-11,4.7,-34.7,-5.8,-63.6,30.8,,,,,,,-21.8,-9.9,25.1,-63.3,22.9,-0.5,44.6,-43.1,,,,,,,,,
1994-12,6.4,-34.0,-5.2,-62.7,30.7,,,,,,,-21.7,-9.2,25.1,-63.3,23.3,0.1,44.5,-43.1,,,,,,,,,
1995-01,-0.3,-37.1,-7.9,-66.3,29.5,,,,,,,-19.3,-15.8,12.1,-65.3,19.4,3.5,40.8,-50.3,,,,,,,,,
1995-02,1.2,-36.7,-7.6,-65.8,30.1,,,,,,,-19.4,-15.9,12.1,-65.3,19.2,4.8,40.8,-50.3,,,,,,,,,
1995-03,2.4,-36.2,-7.1,-65.4,29.2,,,,,,,-19.3,-15.9,12.1,-65.3,19.4,5.6,40.3,-50.4,,,,,,,,,
1995-04,-0.3,-38.2,-16.3,-60.2,34.7,,,,,,,-18.2,-22.6,14.1,-53.3,12.9,4.8,38.3,-32.2,,,,,,,,,
1995-05,0.8,-38.3,-15.8,-60.8,33.9,,,,,,,-18.3,-21.7,14.1,-53.3,12.3,6.2,38.1,-33.9,,,,,,,,,
1995-06,1.8,-38.4,-15.3,-61.5,35.3,,,,,,,-18.5,-20.9,14.1,-53.3,12.0,5.9,38.0,-34.1,,,,,,,,,
1995-07,-43.1,-55.7,-28.6,-82.9,33.3,,,,,,,-20.7,-13.3,5.1,-63.3,6.4,0.9,37.2,-48.1,,,,,,,,,
1995-08,-42.2,-55.0,-28.0,-82.0,34.9,,,,,,,-20.9,-13.0,5.1,-63.3,5.5,2.9,36.7,-47.6,,,,,,,,,
1995-09,-41.6,-54.6,-27.9,-81.4,33.8,,,,,,,-21.1,-12.3,5.1,-63.3,5.2,2.4,36.3,-47.4,,,,,,,,,
1995-10,-36.1,-43.4,-15.8,-71.0,41.9,,,,,,,-12.4,-12.8,-7.9,-55.3,10.2,-4.1,56.8,-44.7,,,,,,,,,
1995-11,-35.5,-42.9,-15.8,-70.0,40.8,,,,,,,-12.1,-11.9,-7.9,-55.3,11.1,-3.2,56.9,-45.1,,,,,,,,,
1995-12,-34.6,-42.3,-15.5,-69.0,41.5,,,,,,,-12.0,-11.2,-7.9,-55.3,11.5,-3.3,56.9,-45.1,,,,,,,,,
1996-01,-36.8,-51.8,-22.6,-81.0,42.1,14.8,-8.9,5.5,-16.4,7.0,-10.5,-20.3,-10.8,2.1,-62.3,3.5,5.8,34.0,-42.3,,,,,,,,,
1996-02,-36.0,-51.4,-22.4,-80.5,42.3,14.2,-7.5,5.7,-16.4,5.5,-10.5,-20.4,-11.0,2.1,-62.3,3.1,6.9,34.0,-42.3,,,,,,,,,
1996-03,-35.3,-51.1,-22.1,-80.1,41.8,13.6,-6.8,5.8,-16.4,4.8,-10.5,-20.4,-11.1,2.1,-62.3,3.1,5.9,33.6,-42.4,,,,,,,,,
1996-04,-37.2,-56.4,-32.7,-80.0,43.2,10.8,-14.0,1.1,-23.0,1.1,-6.5,-13.2,-19.7,5.1,-59.3,24.8,-5.9,32.8,-41.2,,,,,,,,,
