country,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06,,,,,,,,,,,,,-39.4,-0.7,,13.7,-2.8,27.9,,,,,,,,,,
1992-07,,,,,,,,,,,,,-36.4,-6.3,,10.9,1.3,30.3,,,,,,,,,,
1992-08,,,,,,,,,,,,,-36.9,-10.1,,15.4,-7.4,35.0,,,,,,,,,,
1992-09,,,,,,,,,,,,,-32.3,-12.6,,18.7,1.1,32.2,,,,,,,,,,
1992-10,,,,,,,,,,,,,-32.2,-10.0,,19.1,6.3,26.4,,,,,,,,,,
1992-11,,,,,,,,,,,,,-33.7,-6.6,,16.8,1.1,29.8,,,,,,,,,,
1992-12,,,,,,,,,,,,,-30.7,-8.2,,16.5,5.1,41.8,,,,,,,,,,
1993-01,,,,,,,,,,,,,-33.3,-13.4,,15.5,-0.3,38.4,,,,,,,,,,
1993-02,,,,,,,,,,,,,-32.3,-6.8,,15.9,5.5,29.5,,,,,,,,,,
1993-03,,,,,,,,,,,,,-31.9,-5.7,,16.5,-5.0,26.2,,,,,,,,,,
1993-04,,,,,,,,,,,,,-32.9,-2.5,,12.5,-9.1,27.2,,,,,,,,,,
1993-05,,,,,,,,,,,,,-32.8,-2.8,,15.5,-6.4,29.9,,,,,,,,,,
1993-06,,,,,,,,,,,,,-32.8,-9.0,,-2.9,-5.0,44.6,,,,,,,,,,
1993-07,9.4,,-34.2,,42.2,,,,,,,,-31.3,-8.6,,13.1,-15.0,22.3,,,,,,,,,,
1993-08,6.6,,-32.3,,34.5,,,,,,,,-31.4,-8.7,,12.8,-4.1,21.4,,,,,,,,,,
1993-09,7.1,,-31.6,,32.3,,,,,,,,-30.1,-7.0,,17.4,-3.3,31.8,,,,,,,,,,
1993-10,7.8,,-28.4,,30.5,-8.2,-15.7,-3.1,,,-14.6,,-28.6,-9.2,,18.2,-6.6,29.3,,,,,,,,,,
1993-11,7.8,,-26.9,,34.9,-14.0,-15.1,-5.0,,,-14.1,,-32.0,-13.2,,20.4,1.8,34.7,,,,,,,,,,
1993-12,7.4,,-24.2,,33.9,-14.1,-15.4,-5.0,,,-14.6,,-34.2,-10.1,,22.1,-0.7,25.1,,,,,,,,,,
1994-01,11.3,,-24.6,,33.2,-18.5,-17.8,-7.5,,,-14.0,,-32.9,-8.4,,22.1,-4.1,27.3,,,,,,,,,,
1994-02,8.0,,-25.9,,31.3,-15.0,-13.8,-5.5,,,-12.5,,-32.4,-8.2,,18.8,-3.1,27.0,,,,,,,,,,
1994-03,9.6,,-23.0,,31.7,-17.8,-11.7,-5.7,,,-12.4,,-30.3,-8.2,,17.9,8.5,29.2,,,,,,,,,,
1994-04,11.7,,-21.9,,31.2,-13.8,-14.4,-5.4,,,-12.0,,-28.0,-11.1,,30.1,6.0,32.7,,,,,,,,,,
