country,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS
subject,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSOITE,BSPRFT,BSPRTE,BSSPFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1966-Q1,,,6.0,13.05381,,-10.0,21.0,-6.0,
1966-Q2,2.687433,,10.0,2.9377,-10.0,-8.0,21.0,2.0,11.0
1966-Q3,3.497604,,7.0,1.507188,-9.0,-7.0,21.0,-6.0,33.0
1966-Q4,9.698763,,12.0,1.90371,7.0,22.0,24.0,27.0,13.0
1967-Q1,12.50527,,16.0,4.484197,8.0,8.0,34.0,11.0,11.0
1967-Q2,9.974986,,14.0,1.075041,3.0,10.0,28.0,13.0,12.0
1967-Q3,13.86259,,18.0,-0.5877687,7.0,17.0,34.0,26.0,10.0
1967-Q4,1.304343,,5.0,11.08697,11.0,22.0,4.0,31.0,11.0
1968-Q1,4.507031,,7.0,5.478905,2.0,7.0,17.0,9.0,31.0
1968-Q2,9.655115,,15.0,5.034653,6.0,10.0,28.0,19.0,23.0
1968-Q3,14.92485,,22.0,4.225449,9.0,18.0,40.0,23.0,24.0
1968-Q4,8.879375,,5.0,4.361874,14.0,24.0,17.0,37.0,25.0
1969-Q1,15.50949,,19.0,0.4715305,13.0,16.0,34.0,18.0,25.0
1969-Q2,14.69844,,18.0,1.904677,8.0,16.0,38.0,23.0,18.0
1969-Q3,17.61712,,26.0,-0.8513594,13.0,29.0,39.0,29.0,19.0
1969-Q4,14.4658,,12.0,0.6025895,24.0,38.0,20.0,34.0,29.0
1970-Q1,18.24516,,21.0,3.264515,23.0,29.0,35.0,24.0,28.0
1970-Q2,4.650829,,4.0,5.047513,11.0,9.0,8.0,15.0,26.0
1970-Q3,9.671377,,20.0,10.98587,0.0,1.0,40.0,4.0,33.0
1970-Q4,9.688566,,15.0,1.934301,15.0,16.0,16.0,26.0,36.0
1971-Q1,3.456995,,-2.0,2.629015,6.0,10.0,7.0,9.0,49.0
1971-Q2,-0.9118989,,0.0,7.735697,-8.0,-11.0,13.0,2.0,33.0
