country,IDN
subject,CSCICP02
measure,BLSA
unit,
powercode,Units
reference_period,
time,
2001-04,-33.8
2001-05,-29.68365
2001-06,-33.3
2001-07,-31.1
2001-08,2.4
2001-09,3.5
2001-10,-11.8
2001-11,-21.3
2001-12,-17.82931
2002-01,-27.36573
2002-02,-33.97215
2002-03,-26.00966
2002-04,-26.56646
2002-05,-26.49499
2002-06,-21.02299
2002-07,-19.01069
2002-08,-22.14376
2002-09,-20.84913
2002-10,-24.05519
2002-11,-27.46147
2002-12,-26.15597
2003-01,-41.84604
2003-02,-35.43205
2003-03,-34.4
2003-04,-28.0
2003-05,-21.6
2003-06,-22.7
2003-07,-18.2
2003-08,-23.7
2003-09,-20.3
2003-10,-19.1
2003-11,-17.9
2003-12,-17.1
2004-01,-17.1
2004-02,-16.5
2004-03,-17.6
2004-04,-9.3
2004-05,-8.487443
2004-06,-7.623446
2004-07,-1.561428
2004-08,-1.570951
2004-09,0.658196
2004-10,14.20896
2004-11,20.38323
2004-12,19.06881
2005-01,7.224818
2005-02,5.097943
2005-03,-8.197932
2005-04,-11.56588
2005-05,-2.448255
2005-06,1.702177
2005-07,-1.125868
2005-08,-0.3321879
2005-09,-9.943955
2005-10,-23.06135
2005-11,-19.64149
2005-12,-13.4097
2006-01,-11.56248
2006-02,-14.92343
2006-03,-9.126145
2006-04,-12.12399
2006-05,-11.84422
2006-06,-8.883036
2006-07,-4.53
2006-08,-6.863312
2006-09,-3.850851
2006-10,-1.888304
2006-11,1.55
2006-12,-0.888168
2007-01,-5.363001
2007-02,-7.575723
2007-03,-6.677351
2007-04,-4.331912
2007-05,-1.456553
2007-06,-4.247392
2007-07,-3.666596
2007-08,-1.958689
2007-09,-3.302021
2007-10,0.2456215
2007-11,1.271126
2007-12,-0.9342143
2008-01,-5.487027
2008-02,-7.646892
2008-03,-10.12401
2008-04,-13.22065
2008-05,-17.59537
2008-06,-20.93871
2008-07,-17.90374
2008-08,-10.73289
2008-09,-6.538682
2008-10,-5.247376
2008-11,-3.652626
2008-12,-9.35385
2009-01,-7.189753
2009-02,-3.637142
2009-03,-1.420414
2009-04,2.467551
2009-05,5.939108
2009-06,9.065267
2009-07,15.44437
2009-08,14.32849
2009-09,10.83956
2009-10,10.00784
2009-11,6.721205
2009-12,1.784561
2010-01,1.863273
2010-02,5.640048
2010-03,6.250845
2010-04,4.788189
2010-05,-1.014817
2010-06,-1.864449
2010-07,1.849576
2010-08,6.223467
2010-09,2.199963
2010-10,3.035825
2010-11,5.55288
2010-12,6.438475
2011-01,13.9
2011-02,12.3
2011-03,7.090467
2011-04,6.875494
2011-05,5.305584
2011-06,9.027025
2011-07,11.82826
2011-08,10.57968
2011-09,15.0384
2011-10,16.18027
2011-11,14.29303
2011-12,16.63894
2012-01,19.1931
2012-02,11.73585
2012-03,7.255691
2012-04,2.540912
2012-05,9.040231
2012-06,14.40743
2012-07,13.51005
2012-08,15.71947
2012-09,17.71623
2012-10,19.53368
2012-11,20.09105
2012-12,16.40588
2013-01,16.2
2013-02,16.8
2013-03,16.8
2013-04,13.7
2013-05,11.72495
2013-06,17.05268
2013-07,8.6
2013-08,7.82
2013-09,7.15
2013-10,9.520133
2013-11,14.31999
2013-12,16.45134
2014-01,16.66481
2014-02,16.16159
2014-03,18.17684
2014-04,13.87797
2014-05,16.8824
2014-06,16.25562
2014-07,19.81643
2014-08,20.19637
2014-09,19.78264
2014-10,20.63871
2014-11,20.06149
2014-12,16.50229
2015-01,20.19666
2015-02,20.23325
2015-03,16.85973
2015-04,7.438264
2015-05,12.78768
2015-06,11.33759
2015-07,9.891508
2015-08,12.63545
2015-09,-2.518435
2015-10,-0.6630182
2015-11,3.674178
2015-12,7.520936
2016-01,12.62639
2016-02,9.981181
2016-03,9.842764
2016-04,8.979914
2016-05,12.07338
2016-06,13.70787
2016-07,14.16645
2016-08,13.34548
2016-09,9.990593
2016-10,16.82433
2016-11,15.87809
2016-12,15.4157
2017-01,15.32971
2017-02,17.13918
2017-03,21.53734
2017-04,23.70668
2017-05,25.92956
2017-06,22.35093
2017-07,23.39195
2017-08,21.88433
2017-09,23.75513
2017-10,20.70027
2017-11,22.14997
2017-12,26.35704
2018-01,26.09748
2018-02,22.50396
2018-03,21.6046
2018-04,22.22694
2018-05,25.14051
2018-06,28.10106
2018-07,24.84683
2018-08,21.57118
2018-09,22.39051
2018-10,19.20283
2018-11,22.72758
2018-12,27.01594
2019-01,25.46115
2019-02,25.11612
2019-03,24.54294
2019-04,28.10938
2019-05,28.16589
2019-06,26.38361
2019-07,24.7684
2019-08,23.1397
2019-09,21.83707
2019-10,18.4001
2019-11,24.21041
2019-12,26.37152
2020-01,21.67355
2020-02,17.65233
2020-03,13.77699
2020-04,-15.16978
2020-05,-22.19673
2020-06,-16.2242
2020-07,-13.80904
2020-08,-13.10033
2020-09,-16.64251
2020-10,-20.98187
2020-11,-7.97389
2020-12,-3.503765
2021-01,-15.14573
2021-02,-14.17528
2021-03,-6.629362
2021-04,1.479021
2021-05,4.432515
2021-06,7.358218
2021-07,-19.80259
2021-08,-22.68682
2021-09,-4.534656
2021-10,13.39
2021-11,18.53
2021-12,18.34
2022-01,19.6
2022-02,13.13
2022-03,10.99
2022-04,13.07
2022-05,28.94
2022-06,28.16
2022-07,23.2
2022-08,24.72
2022-09,17.2
2022-10,20.3
2022-11,19.06
2022-12,19.87
2023-01,23.0
2023-02,22.42
2023-03,23.31
2023-04,26.05
