country,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL
subject,BSCI,BSCURT,BSEMFT,BSFGLV,BSOITE,BSPRFT,BSPRTE,BSSPFT,CSCICP02
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1961-Q2,-58.0,89.52541,1.633831,,13.73483,10.57531,24.21353,,
1961-Q3,-62.42692,88.62042,2.044937,,-13.42826,4.089736,10.45175,,
1961-Q4,-57.34497,88.07362,-0.3900975,,-11.39313,3.738571,5.344291,,
1962-Q1,-24.31162,87.61666,4.931728,,-12.5297,8.794508,6.683728,,
1962-Q2,-13.7191,87.61377,-0.7569963,,-4.645636,15.26509,3.078788,,
1962-Q3,-2.785919,89.46941,23.46295,,4.255998,31.55312,9.770271,,
1962-Q4,36.45856,89.8558,26.90118,,26.6869,44.15851,22.33248,,
1963-Q1,48.89671,90.72263,29.41093,,42.11422,51.17851,42.46982,,
1963-Q2,57.20044,90.88965,25.03357,,41.13583,45.08028,43.15741,,
1963-Q3,44.42463,90.79549,21.5387,,40.07196,39.83617,43.73314,-1.206788,
1963-Q4,39.33083,90.72337,19.11922,,37.6455,37.22866,41.61953,6.681814,
1964-Q1,29.2652,90.49603,17.80267,,31.34188,35.43559,30.92099,11.01451,
1964-Q2,31.95308,90.78407,23.91324,,39.85767,43.5476,38.14017,22.60608,
1964-Q3,35.66713,90.71205,22.11927,,43.30417,44.19255,46.75785,42.65269,
1964-Q4,25.91385,90.90475,24.26418,,39.94107,43.18667,26.55851,14.49009,
1965-Q1,21.86983,91.14512,28.8891,,41.83108,46.18567,36.11579,7.182596,
1965-Q2,4.530592,90.87495,14.16286,,36.46905,22.62201,32.20935,10.19151,
1965-Q3,-18.7024,90.81076,14.81581,,31.09548,21.53074,32.28761,5.830082,
1965-Q4,-27.84517,90.66538,16.70995,,24.13143,25.54514,24.67946,7.614748,
1966-Q1,-16.23621,90.80862,14.20135,,22.394,19.43478,23.38362,20.10818,
1966-Q2,-35.76102,90.88965,9.124411,,18.92572,20.67753,28.70492,24.63501,
1966-Q3,-37.91937,90.83463,5.113904,,13.22101,16.30913,15.41445,21.55002,
1966-Q4,-48.58191,89.59961,-10.4516,,-9.008988,-16.55904,5.661518,32.28735,
