country,GRC,GRC
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-Q1,74.4,
1985-Q2,71.5,
1985-Q3,72.5,
1985-Q4,75.5,
1986-Q1,76.5,
1986-Q2,75.6,
1986-Q3,75.5,
1986-Q4,76.5,
1987-Q1,77.5,
1987-Q2,75.6,3.4
1987-Q3,76.5,4.8
1987-Q4,74.5,5.6
1988-Q1,72.4,6.2
1988-Q2,74.6,10.9
1988-Q3,74.7,6.5
1988-Q4,78.0,8.9
1989-Q1,77.4,6.4
1989-Q2,78.5,4.5
1989-Q3,78.4,5.2
1989-Q4,77.0,4.5
1990-Q1,76.9,6.6
1990-Q2,76.0,-4.7
1990-Q3,78.1,-4.4
1990-Q4,76.9,-10.2
1991-Q1,78.5,-13.8
1991-Q2,76.6,-7.3
1991-Q3,77.7,-0.5
1991-Q4,78.0,-3.7
1992-Q1,78.3,-6.9
1992-Q2,75.8,-0.1
1992-Q3,77.7,5.1
1992-Q4,77.7,3.6
1993-Q1,77.0,1.1
1993-Q2,75.6,-0.4
1993-Q3,74.3,-8.2
1993-Q4,75.6,-8.7
1994-Q1,75.3,3.6
1994-Q2,73.9,10.4
1994-Q3,75.7,5.8
1994-Q4,75.6,5.4
1995-Q1,75.9,11.5
1995-Q2,76.6,5.1
1995-Q3,77.6,4.8
1995-Q4,77.3,-4.2
1996-Q1,74.8,-1.2
1996-Q2,75.2,-0.3
1996-Q3,77.0,6.2
1996-Q4,75.4,3.3
1997-Q1,73.5,16.6
1997-Q2,72.6,19.1
1997-Q3,75.7,17.1
1997-Q4,73.9,28.1
1998-Q1,75.5,8.1
1998-Q2,77.5,24.1
1998-Q3,75.9,16.1
1998-Q4,74.2,19.1
1999-Q1,74.6,8.1
1999-Q2,75.9,9.1
1999-Q3,75.4,13.1
1999-Q4,77.6,16.1
2000-Q1,78.8,8.1
2000-Q2,77.4,21.1
2000-Q3,77.4,13.1
2000-Q4,79.0,14.1
2001-Q1,78.8,12.1
2001-Q2,79.1,5.1
2001-Q3,75.9,10.1
2001-Q4,77.1,15.1
2002-Q1,75.7,8.1
2002-Q2,77.3,11.1
2002-Q3,78.7,18.1
2002-Q4,76.8,10.6
2003-Q1,75.6,7.2
2003-Q2,77.9,-6.7
2003-Q3,76.4,17.1
2003-Q4,76.0,11.8
2004-Q1,77.2,6.6
2004-Q2,75.0,7.8
2004-Q3,76.2,6.7
2004-Q4,73.9,7.8
2005-Q1,71.3,0.1
2005-Q2,72.9,-3.4
2005-Q3,72.6,10.5
2005-Q4,72.3,4.1
2006-Q1,73.9,-1.1
2006-Q2,74.9,15.0
2006-Q3,77.8,17.7
2006-Q4,76.1,15.3
2007-Q1,76.1,8.4
2007-Q2,76.6,16.6
2007-Q3,77.3,11.5
2007-Q4,76.6,6.8
2008-Q1,76.0,12.2
2008-Q2,77.5,12.1
2008-Q3,77.1,9.8
2008-Q4,74.8,-4.0
2009-Q1,72.7,-4.1
2009-Q2,70.3,-14.8
2009-Q3,69.3,0.3
2009-Q4,71.1,-3.3
2010-Q1,68.6,-7.3
2010-Q2,69.8,-3.4
2010-Q3,66.8,-11.0
2010-Q4,67.5,-9.6
2011-Q1,69.2,-3.0
2011-Q2,68.8,-10.7
2011-Q3,67.0,-4.7
2011-Q4,65.6,-9.6
2012-Q1,65.2,-18.5
2012-Q2,65.1,-12.1
2012-Q3,63.1,-12.3
2012-Q4,65.5,-13.3
2013-Q1,65.8,-2.1
2013-Q2,64.4,-12.9
2013-Q3,64.1,6.1
2013-Q4,66.1,-1.7
2014-Q1,66.4,0.0
2014-Q2,68.1,4.5
2014-Q3,69.6,7.8
2014-Q4,66.2,4.4
2015-Q1,69.5,-0.5
2015-Q2,67.7,-8.8
2015-Q3,62.6,-23.0
2015-Q4,63.9,-11.4
2016-Q1,66.8,-1.4
2016-Q2,68.8,0.9
2016-Q3,67.0,-1.4
2016-Q4,68.5,1.9
2017-Q1,69.5,2.3
2017-Q2,68.8,-2.4
2017-Q3,71.2,5.8
2017-Q4,70.2,1.8
2018-Q1,71.0,7.3
2018-Q2,71.8,3.1
2018-Q3,70.0,8.7
2018-Q4,70.3,5.1
2019-Q1,70.5,4.0
2019-Q2,72.5,0.9
2019-Q3,71.6,8.4
2019-Q4,71.5,4.7
2020-Q1,72.8,6.8
2020-Q2,67.3,-4.7
2020-Q3,70.3,-32.0
2020-Q4,73.5,-4.3
2021-Q1,73.0,-2.3
2021-Q2,74.4,3.9
2021-Q3,77.8,6.8
2021-Q4,77.3,16.0
2022-Q1,76.8,8.6
2022-Q2,76.7,8.4
2022-Q3,74.6,4.7
2022-Q4,75.5,-4.3
2023-Q1,74.8,9.5
