country,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR
subject,BCBUTE,BCEMFT,BRBUTE,BREMFT,BRODFT,BRVSLV,BSCI,BSCURT,BSEMFT,BSFGLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVEMFT,BVEMTE,CSCICP02,CSESFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,
1983-11,,,,,,,20.0,,,,,,,,,,,,
1983-12,,,,,,,16.69,,,,,,,,,,,,
1984-01,,,,,,,13.38,,,,,,,,,,,,
1984-02,,,,,,,10.07,,,,,,,,,,,,
1984-03,,,,,,,6.773334,,,,,,,,,,,,
1984-04,,,,,,,3.476667,,,,,,,,,,,,
1984-05,,,,,,,0.18,,,,,,,,,,,,
1984-06,,,,,,,2.9,,,,,,,,,,,,
1984-07,,,,,,,5.62,,,,,,,,,,,,
1984-08,,,,,,,8.34,,,,,,,,,,,,
1984-09,,,,,,,7.0,,,,,,,,,,,,
1984-10,,,,,,,5.66,,,,,,,,,,,,
1984-11,,,,,,,4.32,,,,,,,,,,,,
1984-12,,,,,,,0.3866667,,,,,,,,,,,,
1985-01,,,,,,,-3.546667,,,,,,,,,,,,
1985-02,,,,,,,-7.48,,,,,,,,,,,,
1985-03,,,,,,,-2.333333,,,,,,,,,,,,
1985-04,,,,,,,2.813333,,,,,,,,,,,,
1985-05,,,,,,,7.96,,,,,,,,,,,,
1985-06,,,,,,,0.3333333,,,,,,,,,,,,
1985-07,,,,,,,-7.293334,,,,,,,,,,,,
1985-08,,,,,,,-14.92,,,,,,,,,,,,
1985-09,,,,,,,-14.13,,,,,,,,,,,,
1985-10,,,,,,,-13.34,,,,,,,,,,,,
1985-11,,,,,,,-12.55,,,,,,,,,,,,
1985-12,,,,,,,-3.05,,,,,,,,,,,,
1986-01,,,,,,,6.45,,,,,,,,,,,,
1986-02,,,,,,,15.95,,,,,,,,,,,,
1986-03,,,,,,,15.66,,,,,,,,,,,,
1986-04,,,,,,,15.37,,,,,,,,,,,,
1986-05,,,,,,,15.08,,,,,,,,,,,,
1986-06,,,,,,,16.80333,,,,,,,,,,,,
1986-07,,,,,,,18.52667,,,,,,,,,,,,
1986-08,,,,,,,20.25,,,,,,,,,,,,
1986-09,,,,,,,20.35,,,,,,,,,,,,
1986-10,,,,,,,20.45,,,,,,,,,,,,
1986-11,,,,,,,20.55,,,,,,,,,,,,
1986-12,,,,,,,18.02667,,,,,,,,,,,,
1987-01,,,,,,,15.50333,,,,,,,,,,,,
1987-02,,,,,,,12.98,,,,,,,,,,,,
1987-03,,,,,,,12.81333,,,,,,,,,,,,
1987-04,,,,,,,12.64667,,,,,,,,,,,,
1987-05,,,,,,,12.48,,,,,,,,,,,,
1987-06,,,,,,,12.36667,,,,,,,,,,,,
1987-07,,,,,,,12.25333,,,,,,,,,,,,
1987-08,,,,,,,12.14,,,,,,,,,,,,
1987-09,,,,,,,11.34667,,,,,,,,,,,,
1987-10,,,,,,,10.55333,,,,,,,,,,,,
1987-11,,,,,,,9.76,,,,,,,,,,,,
1987-12,,,,,,,9.706667,,,,,,,,,,,,
1988-01,,,,,,,9.653334,,,,,,,,,,,,
1988-02,,,,,,,9.6,,,,,,,,,,,,
1988-03,,,,,,,7.55,,,,,,,,,,,,
1988-04,,,,,,,5.5,,,,,,,,,,,,
1988-05,,,,,,,3.45,,,,,,,,,,,,
1988-06,,,,,,,1.67,,,,,,,,,,,,
1988-07,,,,,,,-0.11,,,,,,,,,,,,
1988-08,,,,,,,-1.89,,,,,,,,,,,,
1988-09,,,,,,,-4.723333,,,,,,,,,,,,
1988-10,,,,,,,-7.556667,,,,,,,,,,,,
1988-11,,,,,,,-10.39,,,,,,,,,,,,
1988-12,,,,,,,-12.02667,,,,,,,,,,,,
1989-01,,,,,,,-13.66333,,,,,,,,,,,,
1989-02,,,,,,,-15.3,,,,,,,,,,,,
1989-03,,,,,,,-11.19,,,,,,,,,,,,
1989-04,,,,,,,-7.08,,,,,,,,,,,,
1989-05,,,,,,,-2.97,,,,,,,,,,,,
1989-06,,,,,,,-4.82,,,,,,,,,,,,
1989-07,,,,,,,-6.67,,,,,,,,,,,,
1989-08,,,,,,,-8.52,,,,,,,,,,,,
1989-09,,,,,,,-3.31,,,,,,,,,,,,
1989-10,,,,,,,1.9,,,,,,,,,,,,
1989-11,,,,,,,7.11,,,,,,,,,,,,
1989-12,,,,,,,8.133333,,,,,,,,,,,,
1990-01,,,,,,,9.156667,,,,,,,,,,,,
1990-02,,,,,,,10.18,,,,,,,,,,,,
1990-03,,,,,,,10.51667,,,,,,,,,,,,
1990-04,,,,,,,10.85333,,,,,,,,,,,,
1990-05,,,,,,,11.19,,,,,,,,,,,,
1990-06,,,,,,,12.78667,,,,,,,,,,,,
1990-07,,,,,,,14.38333,,,,,,,,,,,,
1990-08,,,,,,,15.98,,,,,,,,,,,,
1990-09,,,,,,,16.00333,,,,,,,,,,,,
1990-10,,,,,,,16.02667,,,,,,,,,,,,
1990-11,,,,,,,16.05,,,,,,,,,,,,
1990-12,,,,,,,15.31667,,,,,,,,,,,,
1991-01,,,,,,,14.58333,,,,,,,,,,,,
1991-02,,,,,,,13.85,,,,,,,,,,,,
1991-03,,,,,,,9.32,,,,,,,,,,,,
1991-04,,,,,,,4.79,,,,,,,,,,,,
1991-05,,,,,,,0.26,,,,,,,,,,,,
1991-06,,,,,,,15.11333,,,,,,,,,,,,
1991-07,,,,,,,29.96667,,,,,,,,,,,,
1991-08,,,,,,,44.82,,,,,,,,,,,,
1991-09,,,,,,,36.27667,,,,,,,,,,,,
1991-10,,,,,,,27.73333,,,,,,,,,,,,
1991-11,,,,,,,19.19,,,,,,,,,,,,
1991-12,,,,,,,15.85,,,,,,,,,,,,
1992-01,,,,,,,12.51,,,,,,,,,,,,
1992-02,,,,,,,9.17,,,,,,,,,,,,
1992-03,,,,,,,11.72,,,,,,,,,,,,
1992-04,,,,,,,14.27,,,,,,,,,,,,
1992-05,,,,,,,16.82,,,,,,,,,,,,
1992-06,,,,,,,18.82667,,,,,,,,,,,,
1992-07,,,,,,,20.83333,,,,,,,,,,,,
1992-08,,,,,,,22.84,,,,,,,,,,,,
1992-09,,,,,,,23.32333,,,,,,,,,,,,
1992-10,,,,,,,23.80667,,,,,,,,,,,,
1992-11,,,,,,,24.29,,,,,,,,,,,,
1992-12,,,,,,,22.88333,,,,,,,,,,,,
1993-01,,,,,,,21.47667,,,,,,,,,,,,
1993-02,,,,,,,20.07,,,,,,,,,,,,
1993-03,,,,,,,20.82667,,,,,,,,,,,,
1993-04,,,,,,,21.58333,,,,,,,,,,,,
1993-05,,,,,,,22.34,,,,,,,,,,,,
1993-06,,,,,,,19.58,,,,,,,,,,,,
1993-07,,,,,,,16.82,,,,,,,,,,,,
1993-08,,,,,,,14.06,,,,,,,,,,,,
1993-09,,,,,,,17.48,,,,,,,,,,,,
1993-10,,,,,,,20.9,,,,,,,,,,,,
1993-11,,,,,,,24.32,,,,,,,,,,,,
1993-12,,,,,,,25.93667,,,,,,,,,,,,
1994-01,,,,,,,27.55333,,,,,,,,,,,,
1994-02,,,,,,,29.17,,,,,,,,,,,,
1994-03,,,,,,,25.93,,,,,,,,,,,,
1994-04,,,,,,,22.69,,,,,,,,,,,,
1994-05,,,,,,,19.45,,,,,,,,,,,,
1994-06,,,,,,,17.79333,,,,,,,,,,,,
1994-07,,,,,,,16.13667,,,,,,,,,,,,
1994-08,,,,,,,14.48,,,,,,,,,,,,
1994-09,,,,,,,16.19333,,,,,,,,,,,,
1994-10,,,,,,,17.90667,,,,,,,,,,,,
1994-11,,,,,,,19.62,,,,,,,,,,,,
1994-12,,,,,,,22.00667,,,,,,,,,,,,
1995-01,,,,,,,24.39333,,,,,,,,,,,,
1995-02,,,,,,,26.78,,,,,,,,,,,,
1995-03,,,,,,,25.15667,,,,,,,,,,,,
1995-04,,,,,,,23.53333,,,,,,,,,,,,
1995-05,,,,,,,21.91,,,,,,,,,,,,
1995-06,,,,,,,25.27,,,,,,,,,,,,
1995-07,,,,,,,28.63,,,,,,,,,,,,
1995-08,,,,,,,31.99,,,,,,,,,,,,
1995-09,,,,,,,31.90333,,,,,,,,,,,,
1995-10,,,,,,,31.81667,,,,,,,,,,,,
1995-11,,,,,,,31.73,,,,,,,,,,,,
1995-12,,,,,,,29.59333,,,,,,,,,,,,
1996-01,,,,,,,27.45667,,,,,,,,,,,,
1996-02,,,,,,,25.32,,,,,,,,,,,,
1996-03,,,,,,,24.15,,,,,,,,,,,,
1996-04,,,,,,,22.98,,,,,,,,,,,,
1996-05,,,,,,,21.81,,,,,,,,,,,,
1996-06,,,,,,,13.11333,,,,,,,,,,,,
1996-07,,,,,,,4.416667,,,,,,,,,,,,
1996-08,,,,,,,-4.28,,,,,,,,,,,,
1996-09,,,,,,,-6.36,,,,,,,,,,,,
1996-10,,,,,,,-8.44,,,,,,,,,,,,
1996-11,,,,,,,-10.52,,,,,,,,,,,,
1996-12,,,,,,,-13.75667,,,,,,,,,,,,
1997-01,,,,,,,-16.99333,,,,,,,,,,,,
1997-02,,,,,,,-20.23,,,,,,,,,,,,
1997-03,,,,,,,-18.99,,,,,,,,,,,,
1997-04,,,,,,,-17.75,,,,,,,,,,,,
1997-05,,,,,,,-16.51,,,,,,,,,,,,
1997-06,,,,,,,-14.62667,,,,,,,,,,,,
1997-07,,,,,,,-12.74333,,,,,,,,,,,,
1997-08,,,,,,,-10.86,,,,,,,,,,,,
1997-09,,,,,,,-11.21333,,,,,,,,,,,,
1997-10,,,,,,,-11.56667,,,,,,,,,,,,
1997-11,,,,,,,-11.92,,,,,,,,,,,,
1997-12,,,,,,,-15.74667,,,,,,,,,,,,
1998-01,,,,,,,-19.57333,,,,,,,,,,,,
1998-02,,,,,,,-23.4,,,,,,,,,,,,
1998-03,,,,,,,-22.63667,,,,,,,,,,,,
1998-04,,,,,,,-21.87333,,,,,,,,,,,,
1998-05,,,,,,,-21.11,,,,,,,,,,,,
1998-06,,,,,,,-20.41333,,,,,,,,,,,,
1998-07,,,,,,,-19.71667,,,,,,,,,,,,
1998-08,,,,,,,-19.02,,,,,,,,,,,,
1998-09,,,,,,,-17.8,,,,,,,,,,,,
1998-10,,,,,,,-16.58,,,,,,,,,,,,
1998-11,,,,,,,-15.36,,,,,,,,,,,,
1998-12,,,,,,,-14.03,,,,,,,,,,,,
1999-01,,,,,,,-12.7,,,,,,,,,,,,
1999-02,,,,,,,-11.37,,,,,,,,,,,,
1999-03,,,,,,,-8.303333,,,,,,,,,,,,
1999-04,,,,,,,-5.236667,,,,,,,,,,,,
1999-05,,,,,,,-2.17,,,,,,,,,,,,
1999-06,,,,,,,-0.3633333,,,,,,,,,,,,
1999-07,,,,,,,1.443333,,,,,,,,,,,,
1999-08,,,,,,,3.25,,,,,,,,,,,,
1999-09,,,,,,,6.66,,,,,,,,,,,,
1999-10,,,,,,,10.07,,,,,,,,,,,,
1999-11,,,,,,,13.48,,,,,,,,,,,,
1999-12,,,,,,,15.88,,,,,,,,,,,,
2000-01,,,,,,,18.28,,,,,,,,,,,,
2000-02,,,,,,,20.68,,,,,,,,,,,,
2000-03,,,,,,,21.04333,,,,,,,,,,,,
2000-04,,,,,,,21.40667,,,,,,,,,,,,
2000-05,,,,,,,21.77,,,,,,,,,,,,
2000-06,,,,,,,20.39667,,,,,,,,,,,,
2000-07,,,,,,,19.02333,,,,,,,,,,,,
2000-08,,,,,,,17.65,,,,,,,,,,,,
2000-09,,,,,,,19.68667,,,,,,,,,,,,
2000-10,,,,,,,21.72333,,,,,,,,,,,,
2000-11,,,,,,,23.76,,,,,,,,,,,,
2000-12,,,,,,,8.61,,,,,,,,,,,,
2001-01,,,,,,,-6.54,,,,,,,,,,,,
2001-02,,,,,,,-21.69,,,,,,,,,,,,
2001-03,,,,,,,-20.08,,,,,,,,,,,,
2001-04,,,,,,,-18.47,,,,,,,,,,,,
2001-05,,,,,,,-16.86,,,,,,,,,,,,
2001-06,,,,,,,-18.54333,,,,,,,,,,,,
2001-07,,,,,,,-20.22667,,,,,,,,,,,,
2001-08,,,,,,,-21.91,,,,,,,,,,,,
2001-09,,,,,,,-24.91,,,,,,,,,,,,
2001-10,,,,,,,-27.91,,,,,,,,,,,,
2001-11,,,,,,,-30.91,,,,,,,,,,,,
2001-12,,,,,,,-26.84667,,,,,,,,,,,,
2002-01,,,,,,,-22.78333,,,,,,,,,,,,
2002-02,,,,,,,-18.72,,,,,,,,,,,,
2002-03,,,,,,,-20.42667,,,,,,,,,,,,
2002-04,,,,,,,-22.13333,,,,,,,,,,,,
2002-05,,,,,,,-23.84,,,,,,,,,,,,
2002-06,,,,,,,-23.05333,,,,,,,,,,,,
2002-07,,,,,,,-22.26667,,,,,,,,,,,,
2002-08,,,,,,,-21.48,,,,,,,,,,,,
2002-09,,,,,,,-20.35667,,,,,,,,,,,,
2002-10,,,,,,,-19.23333,,,,,,,,,,,,
2002-11,,,,,,,-18.11,,,,,,,,,,,,
2002-12,,,,,,,-18.14333,,,,,,,,,,,,
2003-01,,,,,,,-18.17667,,,,,,,,,,,,
2003-02,,,,,,,-18.21,,,,,,,,,,,,
2003-03,,,,,,,-21.08,,,,,,,,,,,,
2003-04,,,,,,,-23.95,,,,,,,,,,,,
2003-05,,,,,,,-26.82,,,,,,,,,,,,
2003-06,,,,,,,-19.99667,,,,,,,,,,,,
2003-07,,,,,,,-13.17333,,,,,,,,,,,,
2003-08,,,,,,,-6.35,,,,,,,,,,,,
2003-09,,,,,,,-2.76,,,,,,,,,,,,
2003-10,,,,,,,0.83,,,,,,,,,,,,
2003-11,,,,,,,4.42,,,,,,,,,,,,
2003-12,,,,,,,3.7,,,,,,,,,,,,
2004-01,,,,,,,2.98,,,,,,,,,,,,
2004-02,,,,,,,2.26,,,,,,,,,,,,
2004-03,,,,,,,10.98333,,,,,,,,,,,,
2004-04,,,,,,,19.70667,,,,,,,,,,,,
2004-05,,,,,,,28.43,,,,,,,,,,,,
2004-06,,,,,,,25.01,,,,,,,,,,,,
2004-07,,,,,,,21.59,,,,,,,,,,,,
2004-08,,,,,,,18.17,,,,,,,,,,,,
2004-09,,,,,,,19.35333,,,,,,,,,,,,
2004-10,,,,,,,20.53667,,,,,,,,,,,,
2004-11,,,,,,,21.72,,,,,,,,,,,,
