country,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
subject,BNBUCT,BNEMTE,BNODTE,BNRMTE,BSCI,BSCURT,BSEMFT,BSOBLV,BSOITE,BSPRTE,BSXRLV,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,
1950-01,,,,,18.2,,,,,,,,,
1950-02,,,,,21.0,,,,,,,,,
1950-03,,,,,24.2,,,,,,,,,
1950-04,,,,,36.2,,,,,,,,,
1950-05,,,,,49.4,,,,,,,,,
1950-06,,,,,53.2,,,,,,,,,
1950-07,,,,,55.0,,,,,,,,,
1950-08,,,,,51.6,,,,,,,,,
1950-09,,,,,36.2,,,,,,,,,
1950-10,,,,,18.4,,,,,,,,,
1950-11,,,,,26.2,,,,,,,,,
1950-12,,,,,34.2,,,,,,,,,
1951-01,,,,,35.6,,,,,,,,,
1951-02,,,,,38.6,,,,,,,,,
1951-03,,,,,31.0,,,,,,,,,
1951-04,,,,,7.0,,,,,,,,,
1951-05,,,,,1.4,,,,,,,,,
1951-06,,,,,-9.0,,,,,,,,,
1951-07,,,,,-15.8,,,,,,,,,
1951-08,,,,,-12.8,,,,,,,,,
1951-09,,,,,-3.8,,,,,,,,,
1951-10,,,,,-0.8,,,,,,,,,
1951-11,,,,,-5.6,,,,,,,,,
1951-12,,,,,-7.0,,,,,,,,,
1952-01,,,,,-10.6,,,,,,,,,
1952-02,,,,,-16.4,,,,,,,,,
1952-03,,,,,-20.0,,,,,,,,,
1952-04,,,,,-26.6,,,,,,,,,
1952-05,,,,,-21.0,,,,,,,,,
1952-06,,,,,-13.4,,,,,,,,,
1952-07,,,,,-3.4,,,,,,,,,
1952-08,,,,,20.8,,,,,,,,,
1952-09,,,,,12.2,,,,,,,,,
1952-10,,,,,12.4,,,,,,,,,
1952-11,,,,,13.6,,,,,,,,,
1952-12,,,,,11.6,,,,,,,,,
1953-01,,,,,18.8,,,,,,,,,
1953-02,,,,,10.8,,,,,,,,,
1953-03,,,,,1.0,,,,,,,,,
1953-04,,,,,2.2,,,,,,,,,
1953-05,,,,,-2.2,,,,,,,,,
1953-06,,,,,-3.0,,,,,,,,,
1953-07,,,,,-7.4,,,,,,,,,
1953-08,,,,,-13.0,,,,,,,,,
1953-09,,,,,-19.6,,,,,,,,,
1953-10,,,,,-25.2,,,,,,,,,
1953-11,,,,,-26.2,,,,,,,,,
1953-12,,,,,-28.8,,,,,,,,,
1954-01,,,,,-25.2,,,,,,,,,
1954-02,,,,,-18.6,,,,,,,,,
1954-03,,,,,-10.6,,,,,,,,,
1954-04,,,,,-4.6,,,,,,,,,
1954-05,,,,,0.2,,,,,,,,,
1954-06,,,,,4.2,,,,,,,,,
1954-07,,,,,3.4,,,,,,,,,
1954-08,,,,,-2.8,,,,,,,,,
1954-09,,,,,7.0,,,,,,,,,
1954-10,,,,,16.4,,,,,,,,,
1954-11,,,,,17.6,,,,,,,,,
1954-12,,,,,27.6,,,,,,,,,
1955-01,,,,,26.0,,,,,,,,,
1955-02,,,,,35.6,,,,,,,,,
1955-03,,,,,35.0,,,,,,,,,
1955-04,,,,,37.4,,,,,,,,,
1955-05,,,,,39.0,,,,,,,,,
1955-06,,,,,26.6,,,,,,,,,
1955-07,,,,,32.4,,,,,,,,,
1955-08,,,,,29.6,,,,,,,,,
1955-09,,,,,24.8,,,,,,,,,
1955-10,,,,,27.4,,,,,,,,,
1955-11,,,,,24.0,,,,,,,,,
1955-12,,,,,31.2,,,,,,,,,
1956-01,,,,,20.4,,18.2657,,20.98371,35.48619,,,,
1956-02,,,,,16.4,,14.61162,,16.09142,28.4295,,,,
1956-03,,,,,14.4,,10.64617,,19.7032,24.6276,,,,
