country,SVK
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1994,74.25
1995,74.0
1996,78.0
1997,80.0
1998,82.25
1999,79.75
2000,84.525
2001,84.6
2002,78.825
2003,81.95
2004,82.55
2005,82.575
2006,84.6
2007,86.475
2008,83.375
2009,68.075
2010,76.1
2011,78.25
2012,77.475
2013,77.125
2014,80.55
2015,82.325
2016,84.525
2017,84.9
2018,85.575
2019,87.2
2020,79.45
2021,82.225
2022,83.3
2023,82.05
