country,EU27_2020,EU27_2020
subject,BSCI,CSCICP02
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-01,-5.8,-10.2
1985-02,-7.4,-10.6
1985-03,-8.5,-11.5
1985-04,-8.0,-10.8
1985-05,-7.1,-11.3
1985-06,-7.3,-11.7
1985-07,-7.4,-11.3
1985-08,-7.4,-11.0
1985-09,-5.9,-10.8
1985-10,-5.9,-8.0
1985-11,-5.7,-7.7
1985-12,-6.7,-8.0
1986-01,-7.3,-5.5
1986-02,-6.6,-4.9
1986-03,-6.3,-4.3
1986-04,-7.0,-5.0
1986-05,-6.9,-5.4
1986-06,-6.9,-5.4
1986-07,-6.7,-5.4
1986-08,-6.8,-4.5
1986-09,-7.2,-4.6
1986-10,-8.4,-3.9
1986-11,-8.1,-4.5
1986-12,-7.2,-4.8
1987-01,-8.4,-4.7
1987-02,-9.3,-5.5
1987-03,-7.7,-5.7
1987-04,-7.4,-6.1
1987-05,-7.0,-6.7
1987-06,-7.0,-7.3
1987-07,-6.5,-7.1
1987-08,-5.0,-7.2
1987-09,-3.7,-5.6
1987-10,-3.5,-6.1
1987-11,-3.9,-7.0
1987-12,-4.4,-6.7
1988-01,-3.5,-6.8
1988-02,-2.4,-6.4
1988-03,-1.7,-6.1
1988-04,-0.7,-5.3
1988-05,0.1,-5.9
1988-06,1.6,-5.9
1988-07,1.9,-6.2
1988-08,2.4,-5.1
1988-09,3.8,-4.6
1988-10,5.7,-3.5
1988-11,5.1,-2.9
1988-12,4.9,-3.4
1989-01,5.1,-3.6
1989-02,5.7,-4.2
1989-03,5.0,-4.6
1989-04,4.9,-5.0
1989-05,5.5,-5.5
1989-06,6.0,-4.3
1989-07,5.8,-3.6
1989-08,5.0,-3.7
1989-09,4.3,-2.9
1989-10,4.4,-2.6
1989-11,4.9,-2.6
1989-12,4.3,-1.9
1990-01,4.0,-2.2
1990-02,2.6,-2.3
1990-03,3.4,-3.1
1990-04,2.7,-2.5
1990-05,1.3,-3.4
1990-06,0.8,-3.3
1990-07,0.4,-3.0
1990-08,-1.1,-3.5
1990-09,-0.6,-8.4
1990-10,-2.7,-8.6
1990-11,-3.6,-7.1
1990-12,-4.3,-6.7
1991-01,-7.9,-9.8
1991-02,-10.1,-10.3
1991-03,-10.8,-7.3
1991-04,-10.7,-8.0
1991-05,-11.1,-7.5
1991-06,-11.4,-8.6
1991-07,-11.6,-10.8
1991-08,-11.8,-11.1
1991-09,-13.0,-9.5
1991-10,-12.7,-10.0
1991-11,-12.6,-9.6
1991-12,-13.7,-9.7
1992-01,-13.1,-10.8
1992-02,-13.0,-10.2
1992-03,-13.6,-10.7
1992-04,-14.8,-12.0
1992-05,-14.9,-12.7
1992-06,-15.4,-12.7
1992-07,-17.9,-12.5
1992-08,-19.8,-13.5
1992-09,-21.8,-15.3
1992-10,-24.9,-16.4
1992-11,-27.0,-17.1
1992-12,-28.0,-17.8
1993-01,-28.5,-18.5
1993-02,-28.2,-18.3
1993-03,-27.8,-18.9
1993-04,-28.5,-17.0
1993-05,-27.6,-17.0
1993-06,-27.5,-18.9
1993-07,-27.5,-18.9
1993-08,-26.0,-18.6
1993-09,-24.0,-17.9
1993-10,-21.8,-18.5
1993-11,-19.3,-18.9
1993-12,-18.6,-17.3
1994-01,-15.9,-17.3
1994-02,-13.6,-15.5
1994-03,-11.4,-14.1
1994-04,-8.3,-11.9
1994-05,-7.2,-9.7
1994-06,-5.8,-8.3
1994-07,-3.4,-8.4
1994-08,-2.1,-7.9
1994-09,-0.1,-7.1
1994-10,1.9,-7.3
1994-11,2.8,-7.7
1994-12,3.7,-8.2
1995-01,3.5,-8.4
1995-02,4.0,-8.6
1995-03,2.7,-8.9
1995-04,1.5,-8.4
1995-05,0.4,-7.6
1995-06,-1.2,-7.7
1995-07,-1.9,-8.2
1995-08,-3.8,-8.4
1995-09,-5.6,-9.5
1995-10,-6.3,-10.3
1995-11,-7.6,-10.6
1995-12,-8.9,-11.6
1996-01,-11.2,-12.2
1996-02,-13.0,-12.8
1996-03,-13.8,-12.2
1996-04,-13.6,-12.8
1996-05,-14.0,-12.2
1996-06,-14.0,-12.2
1996-07,-13.6,-13.0
1996-08,-12.9,-12.1
1996-09,-11.8,-12.3
1996-10,-9.7,-12.5
1996-11,-10.4,-12.9
1996-12,-10.3,-12.6
1997-01,-7.4,-11.4
1997-02,-6.5,-12.2
1997-03,-5.9,-12.0
1997-04,-5.3,-11.9
1997-05,-4.0,-11.3
1997-06,-2.7,-10.5
1997-07,-1.0,-9.9
1997-08,-0.7,-8.8
1997-09,1.3,-7.9
1997-10,1.7,-8.1
1997-11,1.6,-7.7
1997-12,2.5,-8.2
1998-01,2.3,-8.1
1998-02,1.8,-7.7
1998-03,2.4,-6.3
1998-04,1.1,-7.0
1998-05,-0.2,-6.0
1998-06,0.2,-6.3
1998-07,-1.0,-4.4
1998-08,-2.8,-4.9
1998-09,-5.1,-4.9
1998-10,-8.6,-4.1
1998-11,-9.1,-3.5
1998-12,-9.7,-4.4
1999-01,-10.9,-3.9
