country,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,4.2,12.2
1986-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.8,11.5
1986-08,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,12.0
1986-09,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.9,8.9
1986-10,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,5.1,10.7
1986-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6.3,8.2
1986-12,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,1.3,13.7
1987-01,,,,,,,,,,,,10.3,7.8,-7.6,0.1,23.3,13.5,9.8,13.2,,,,,,,1.1,5.8,7.6
1987-02,,,,,,,,,,,,12.7,7.5,-8.6,2.1,27.4,11.8,20.0,6.6,,,,,,,1.0,5.2,11.7
1987-03,,,,,,,,,,,,15.1,7.4,-11.4,8.1,25.9,12.5,17.4,7.1,,,,,,,1.0,4.3,14.2
1987-04,,,,,,,,,,,,14.1,10.5,-10.6,9.1,22.5,10.9,18.1,5.6,,,,,,,0.5,1.1,12.3
1987-05,,,,,,,,,,,,12.5,10.3,-6.7,9.1,21.9,13.1,17.4,6.4,,,,,,,3.0,3.4,12.4
1987-06,,,,,,,,,,,,11.8,10.1,-6.3,9.1,20.2,11.4,21.0,7.0,,,,,,,1.1,2.3,12.5
1987-07,,,,,,,,,,,,11.5,10.2,-10.2,7.1,17.4,10.9,23.1,7.0,,,,,,,4.5,10.7,9.9
1987-08,,,,,,,,,,,,11.2,9.9,-7.7,6.1,19.9,8.5,22.8,6.6,,,,,,,4.0,11.4,8.5
1987-09,,,,,,,,,,,,12.8,10.0,-10.9,6.1,21.5,9.5,19.5,0.2,,,,,,,4.1,11.0,9.6
1987-10,,,,,,,,,,,,10.6,10.1,-6.4,6.1,19.3,9.8,26.3,2.0,,,,,,,6.9,12.5,16.6
1987-11,,,,,,,,,,,,9.1,10.0,-4.1,6.1,17.1,7.6,22.5,-2.6,,,,,,,6.6,8.5,23.8
1987-12,,,,,,,,,,,,7.8,10.2,-5.4,4.1,14.0,7.3,22.3,-5.5,,,,,,,4.4,6.2,23.7
1988-01,,,,,,,,,,,,5.6,7.7,-0.6,-2.9,19.3,9.6,24.8,-0.8,,,,,,,2.8,1.9,20.0
1988-02,,,,,,,,,,,,3.4,7.5,2.4,-3.9,16.5,4.2,19.1,0.4,,,,,,,3.6,0.4,25.1
1988-03,,,,,,,,,,,,4.2,7.4,-1.4,-1.9,13.0,9.3,18.4,-1.6,,,,,,,-0.7,0.6,20.0
