country,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-05,,,,,,,,,,,,,,,,25.9,,18.3,,,,,,,,,,
1962-06,,,,,,,,,,,,,,,,28.9,,18.3,,,,,,,,,,
1962-07,,,,,,,,,,,,,,,,28.9,,21.3,,,,,,,,,,
1962-08,,,,,,,,,,,,,,,,27.9,,23.3,,,,,,,,,,
1962-09,,,,,,,,,,,,,,,,22.9,,25.3,,,,,,,,,,
1962-10,,,,,,,,,,,,,,,,25.9,,24.3,,,,,,,,,,
1962-11,,,,,,,,,,,,,,,,32.9,,24.3,,,,,,,,,,
1962-12,,,,,,,,,,,,,,,,29.9,,23.3,,,,,,,,,,
1963-01,,,,,,,,,,,,,,,,31.9,,22.3,,,,,,,,,,
1963-02,,,,,,,,,,,,,,,,31.9,,19.3,,,,,,,,,,
1963-03,,,,,,,,,,,,,,,,30.9,,28.3,,,,,,,,,,
1963-04,,,,,,,,,,,,,,,,31.9,,31.3,,,,,,,,,,
1963-05,,,,,,,,,,,,,,,,31.9,,30.3,,,,,,,,,,
1963-06,,,,,,,,,,,,,,,,30.9,,29.3,,,,,,,,,,
1963-07,,,,,,,,,,,,,,,,30.9,,29.3,,,,,,,,,,
1963-08,,,,,,,,,,,,,,,,31.9,,29.3,,,,,,,,,,
1963-09,,,,,,,,,,,,,,,,29.9,,16.3,,,,,,,,,,
1963-10,,,,,,,,,,,,,,,,31.9,,10.3,,,,,,,,,,
1963-11,,,,,,,,,,,,,,,,28.9,,14.3,,,,,,,,,,
1963-12,,,,,,,,,,,,,,,,28.9,,14.3,,,,,,,,,,
1964-01,,,,,,,,,,,,,,,,28.9,,17.3,,,,,,,,,,
1964-02,,,,,,,,,,,,,,,,23.9,,11.3,,,,,,,,,,
1964-03,,,,,,,,,,,,,,,,22.9,,13.3,,,,,,,,,,
1964-04,,,,,,,,,,,,,,,,19.9,,12.3,,,,,,,,,,
1964-05,,,,,,,,,,,,,,,,18.9,,9.3,,,,,,,,,,
1964-06,,,,,,,,,,,,,,,,15.9,,10.3,,,,,,,,,,
1964-07,,,,,,,,,,,,,,,,12.9,,10.3,,,,,,,,,,
1964-08,,,,,,,,,,,,,,,,9.9,,9.3,,,,,,,,,,
1964-09,,,,,,,,,,,,,,,,11.9,,8.3,,,,,,,,,,
1964-10,,,,,,,,,,,,,,,,10.9,,3.3,,,,,,,,,,
1964-11,,,,,,,,,,,,,,,,3.9,,10.3,,,,,,,,,,
1964-12,,,,,,,,,,,,,,,,3.9,,10.3,,,,,,,,,,
1965-01,,,,,,,,,,,,,,,,2.9,,8.3,,,,,,,,,,
1965-02,,,,,,,,,,,,,,,,3.9,,2.3,,,,,,,,,,
1965-03,,,,,,,,,,,,,,,,8.9,,1.3,,,,,,,,,,
