country,ESP,ESP
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1965-Q2,83.41,
1965-Q3,83.26,
1965-Q4,82.93,
1966-Q1,83.37,
1966-Q2,83.47,
1966-Q3,83.23,
1966-Q4,82.92,
1967-Q1,82.36,
1967-Q2,81.52,
1967-Q3,80.23,
1967-Q4,80.87,
1968-Q1,77.33,
1968-Q2,79.62,
1968-Q3,80.2,
1968-Q4,80.84,
1969-Q1,81.27,
1969-Q2,81.72,
1969-Q3,85.21,
1969-Q4,83.79,
1970-Q1,84.22,
1970-Q2,84.82,
1970-Q3,83.17,
1970-Q4,83.8,
1971-Q1,83.19,
1971-Q2,81.85,
1971-Q3,82.15,
1971-Q4,81.8,
1972-Q1,83.23,
1972-Q2,83.83,
1972-Q3,86.09,
1972-Q4,88.84,
1973-Q1,88.3,
1973-Q2,90.77,
1973-Q3,89.05,
1973-Q4,87.84,
1974-Q1,87.42,
1974-Q2,86.69,
1974-Q3,85.98,
1974-Q4,82.9,
1975-Q1,80.48,
1975-Q2,79.65,
1975-Q3,77.91,
1975-Q4,79.96,
1976-Q1,80.51,
1976-Q2,80.65,
1976-Q3,80.81,
1976-Q4,82.09,
1977-Q1,82.45,
1977-Q2,83.66,
1977-Q3,83.71,
1977-Q4,82.27,
1978-Q1,81.39,
1978-Q2,79.58,
1978-Q3,79.66,
1978-Q4,80.51,
1979-Q1,80.31,
1979-Q2,78.97,
1979-Q3,80.65,
1979-Q4,80.28,
1980-Q1,79.12,
1980-Q2,78.95,
1980-Q3,78.65,
1980-Q4,78.28,
1981-Q1,79.16,
1981-Q2,78.88,
1981-Q3,77.69,
1981-Q4,79.27,
1982-Q1,79.17,
1982-Q2,79.85,
1982-Q3,81.76,
1982-Q4,79.16,
1983-Q1,79.21,
1983-Q2,80.92,
1983-Q3,77.74,
1983-Q4,78.58,
1984-Q1,78.19,
1984-Q2,79.08,
1984-Q3,78.75,
1984-Q4,77.88,
1985-Q1,78.2,
1985-Q2,77.3,
1985-Q3,77.67,
1985-Q4,77.76,
1986-Q1,77.13,
1986-Q2,78.06,
1986-Q3,78.62,
1986-Q4,78.98,
1987-Q1,79.26,
1987-Q2,79.2,9.2
1987-Q3,76.8,8.7
1987-Q4,78.8,8.0
1988-Q1,79.4,8.3
1988-Q2,78.9,8.5
1988-Q3,80.9,10.6
1988-Q4,78.7,13.8
1989-Q1,82.1,9.1
1989-Q2,80.9,10.2
1989-Q3,82.4,7.7
1989-Q4,81.0,10.0
1990-Q1,81.3,9.9
1990-Q2,79.6,2.9
1990-Q3,81.0,0.0
1990-Q4,80.2,-1.8
1991-Q1,79.2,-2.6
1991-Q2,77.7,12.4
1991-Q3,77.9,9.4
1991-Q4,78.1,6.9
1992-Q1,77.3,2.8
1992-Q2,75.1,5.0
1992-Q3,79.5,-4.1
1992-Q4,76.8,-4.0
1993-Q1,74.2,-1.8
1993-Q2,73.1,-1.8
1993-Q3,72.4,-3.9
1993-Q4,73.1,-0.1
1994-Q1,76.8,8.6
1994-Q2,74.3,3.4
1994-Q3,76.4,11.8
1994-Q4,78.3,8.6
1995-Q1,78.7,6.6
1995-Q2,78.3,4.8
