country,ROU,ROU
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
2001-Q1,73.6,
2001-Q2,78.7,
2001-Q3,78.2,
2001-Q4,77.3,
2002-Q1,78.2,
2002-Q2,79.1,
2002-Q3,76.8,15.9
2002-Q4,77.8,9.9
2003-Q1,78.8,3.9
2003-Q2,81.8,0.9
2003-Q3,83.4,26.9
2003-Q4,85.3,14.9
2004-Q1,79.2,9.9
2004-Q2,78.4,10.9
2004-Q3,80.2,10.9
2004-Q4,82.0,13.9
2005-Q1,81.8,11.2
2005-Q2,78.3,-0.1
2005-Q3,78.8,3.6
2005-Q4,80.6,5.4
2006-Q1,82.2,-0.3
2006-Q2,81.9,-0.6
2006-Q3,85.0,13.4
2006-Q4,82.2,7.6
2007-Q1,84.8,8.2
2007-Q2,85.5,5.0
2007-Q3,83.0,8.5
2007-Q4,81.7,2.2
2008-Q1,83.9,1.0
2008-Q2,82.8,1.7
2008-Q3,82.0,5.5
2008-Q4,80.9,-1.9
2009-Q1,75.0,-22.6
2009-Q2,70.8,-34.9
2009-Q3,71.4,-23.0
2009-Q4,71.8,-25.3
2010-Q1,73.0,-21.9
2010-Q2,73.3,-20.7
2010-Q3,76.4,-5.8
2010-Q4,76.4,-3.7
2011-Q1,79.1,-8.1
2011-Q2,80.9,1.6
2011-Q3,80.6,5.3
2011-Q4,79.0,1.8
2012-Q1,78.4,1.2
2012-Q2,79.5,-4.3
2012-Q3,77.3,-2.7
2012-Q4,79.8,-5.0
2013-Q1,74.9,-7.3
2013-Q2,79.0,-9.6
2013-Q3,79.7,1.3
2013-Q4,78.1,-3.1
2014-Q1,78.6,-3.0
2014-Q2,79.7,1.7
2014-Q3,79.9,4.4
2014-Q4,79.5,0.5
2015-Q1,76.1,-1.4
2015-Q2,76.2,2.5
2015-Q3,77.2,3.5
2015-Q4,77.9,3.6
2016-Q1,77.5,0.2
2016-Q2,78.8,1.1
2016-Q3,78.0,4.3
2016-Q4,77.4,1.1
2017-Q1,76.6,0.7
2017-Q2,75.4,1.0
2017-Q3,75.4,4.6
2017-Q4,77.7,3.6
2018-Q1,77.0,1.9
2018-Q2,75.2,0.0
2018-Q3,76.2,3.6
2018-Q4,75.6,0.6
2019-Q1,75.2,0.0
2019-Q2,74.7,0.4
2019-Q3,74.7,0.1
2019-Q4,73.8,-1.6
2020-Q1,74.2,-2.5
2020-Q2,72.9,-31.2
2020-Q3,66.2,-39.6
2020-Q4,70.0,-6.1
2021-Q1,72.5,-9.4
2021-Q2,74.2,-5.6
2021-Q3,73.7,7.0
2021-Q4,71.8,-6.1
2022-Q1,72.1,1.7
2022-Q2,72.7,1.3
2022-Q3,70.8,2.1
2022-Q4,74.4,-3.0
2023-Q1,71.9,-2.0
2023-Q2,68.7,-1.1
2023-Q3,68.8,1.5
2023-Q4,66.5,-2.5
2024-Q1,71.3,-3.8
