country,HUN,HUN
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1986-Q2,76.8,
1986-Q3,74.8,
1986-Q4,71.9,
1987-Q1,73.6,
1987-Q2,78.9,
1987-Q3,75.4,
1987-Q4,79.8,
1988-Q1,76.7,0.6
1988-Q2,72.5,11.1
1988-Q3,76.9,37.1
1988-Q4,75.5,25.9
1989-Q1,77.0,21.3
1989-Q2,74.4,15.3
1989-Q3,76.7,29.4
1989-Q4,75.3,23.1
1990-Q1,76.4,24.9
1990-Q2,75.5,11.1
1990-Q3,73.1,8.7
1990-Q4,75.8,8.6
1991-Q1,72.9,30.2
1991-Q2,73.8,4.9
1991-Q3,71.6,11.5
1991-Q4,69.7,-6.2
1992-Q1,69.7,3.7
1992-Q2,75.5,19.2
1992-Q3,76.0,14.9
1992-Q4,70.8,-22.4
1993-Q1,70.1,-7.7
1993-Q2,74.0,7.6
1993-Q3,74.7,-13.7
1993-Q4,73.8,-6.5
1994-Q1,76.3,15.4
1994-Q2,73.4,18.4
1994-Q3,72.7,-1.6
1994-Q4,75.1,15.8
1995-Q1,77.4,12.4
1995-Q2,74.7,13.5
1995-Q3,76.5,17.4
1995-Q4,77.2,7.1
1996-Q1,76.7,26.8
1996-Q2,77.5,16.7
1996-Q3,78.3,8.6
1996-Q4,79.2,16.3
1997-Q1,80.0,1.3
1997-Q2,81.3,15.3
1997-Q3,79.9,4.8
1997-Q4,79.6,21.6
1998-Q1,80.7,7.2
1998-Q2,81.4,9.2
1998-Q3,79.1,14.5
1998-Q4,79.4,-0.6
1999-Q1,79.5,2.1
1999-Q2,77.4,-10.0
1999-Q3,80.8,-0.8
1999-Q4,77.4,10.0
2000-Q1,82.3,9.5
2000-Q2,82.3,13.0
2000-Q3,81.6,22.9
2000-Q4,85.1,19.2
2001-Q1,82.4,13.5
2001-Q2,83.0,2.3
2001-Q3,80.6,-9.2
2001-Q4,82.8,-6.7
2002-Q1,81.7,-17.7
2002-Q2,79.2,-15.8
2002-Q3,79.4,-9.8
2002-Q4,82.4,-1.6
2003-Q1,80.2,-8.6
2003-Q2,80.1,-16.5
2003-Q3,79.8,-6.1
2003-Q4,80.6,-8.3
2004-Q1,81.8,0.4
2004-Q2,80.2,0.8
2004-Q3,81.8,-6.8
2004-Q4,80.8,-10.6
2005-Q1,80.5,-14.0
2005-Q2,82.5,-23.9
2005-Q3,83.8,-7.2
2005-Q4,83.0,1.7
2006-Q1,84.6,4.2
2006-Q2,84.0,6.1
2006-Q3,84.7,-0.8
2006-Q4,86.8,10.3
2007-Q1,84.8,9.2
2007-Q2,82.9,7.8
2007-Q3,87.9,6.4
2007-Q4,85.0,-7.1
2008-Q1,83.5,-2.1
2008-Q2,85.5,-4.8
2008-Q3,85.7,-8.8
2008-Q4,84.4,-17.6
2009-Q1,72.9,-56.9
2009-Q2,67.8,-58.6
2009-Q3,73.8,-28.1
2009-Q4,75.8,-9.7
2010-Q1,76.0,-15.5
2010-Q2,77.2,-6.6
2010-Q3,78.6,-1.6
2010-Q4,78.1,10.7
2011-Q1,77.9,3.8
2011-Q2,81.9,11.3
2011-Q3,77.4,23.0
2011-Q4,76.1,-16.3
2012-Q1,75.1,-22.2
2012-Q2,77.5,0.0
2012-Q3,76.8,-9.2
2012-Q4,76.1,-19.6
2013-Q1,75.9,-17.1
2013-Q2,76.3,-12.8
2013-Q3,78.8,-13.4
2013-Q4,78.4,0.4
2014-Q1,79.7,2.7
2014-Q2,79.4,8.5
2014-Q3,79.7,-0.9
2014-Q4,82.0,9.5
2015-Q1,82.1,1.3
2015-Q2,81.6,12.4
2015-Q3,81.1,9.5
2015-Q4,82.0,12.8
2016-Q1,81.6,6.3
2016-Q2,81.3,0.5
2016-Q3,82.2,2.5
2016-Q4,81.6,-1.5
2017-Q1,80.3,3.5
2017-Q2,83.1,11.5
2017-Q3,83.8,22.5
2017-Q4,83.5,18.0
2018-Q1,84.7,8.8
2018-Q2,84.2,15.8
2018-Q3,85.9,28.7
2018-Q4,86.7,17.7
2019-Q1,84.8,9.3
2019-Q2,85.2,1.1
2019-Q3,84.0,13.7
2019-Q4,80.2,-2.2
2020-Q1,80.8,-14.4
2020-Q2,71.8,-41.3
2020-Q3,75.2,-29.4
2020-Q4,79.1,-20.3
2021-Q1,78.7,-10.8
2021-Q2,78.2,-3.9
2021-Q3,79.5,12.7
2021-Q4,82.7,12.6
2022-Q1,82.3,19.3
2022-Q2,80.6,2.1
2022-Q3,79.9,-3.4
