country,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL
2003-10,,,,,,,,,,,,,,,,,,,48.0,60.0
2003-11,29.41176,-16.17647,,-16.17647,7.352943,77.09497,62.01117,31.84358,,13.40782,6.016846,40.39999,,7.942238,-8.617186,33.11553,12.70933,2.166061,47.0,62.0
2003-12,27.77778,10.55556,35.55556,-15.55556,14.44444,70.54263,55.03876,29.45737,,12.4031,3.0,43.44,,7.5,-11.87803,36.91081,6.278069,-13.0,48.0,64.0
2004-01,31.78295,6.976746,28.68217,-14.72868,21.70543,78.61635,60.0,31.66667,,3.75,14.0975,42.52965,,-0.395256,-5.99354,38.7444,8.621792,2.7668,53.0,66.0
2004-02,38.34586,3.759399,27.06767,-19.54887,17.29324,69.67741,61.78343,35.03185,,-2.547768,14.19271,39.51328,,1.5625,-4.290826,38.05886,10.79854,10.9375,54.0,67.0
2004-03,21.21212,6.060608,24.24242,-12.12122,21.9697,66.31017,56.14973,30.12477,,2.673798,15.54192,50.17178,,-1.840492,-1.104399,37.46865,24.45497,22.08589,53.0,63.0
2004-04,14.8,2.049179,16.4,-12.2,19.6,62.0,55.2,30.84291,,5.199997,11.43163,49.60001,,0.5999985,-0.1967017,37.0013,18.15123,20.6,50.0,57.0
2004-05,15.78947,2.192986,11.40351,-7.017548,27.19299,44.23077,44.93671,25.31645,,6.962029,7.220215,45.11914,,-0.3610077,1.279794,32.83808,18.67345,21.29964,50.0,56.0
2004-06,13.49206,3.174606,11.90476,-5.555557,11.11111,35.32935,44.91019,26.94611,2.39521,6.58683,6.968643,47.58188,1.74216,-2.090591,1.443099,29.34967,7.045383,10.45296,48.0,58.0
2004-07,20.0,11.25,25.83333,-3.333336,9.166664,26.35135,44.59459,25.67567,1.538462,10.81081,11.23882,44.49042,3.153153,-1.91571,5.289974,30.38504,20.43862,5.363983,46.0,55.0
2004-08,17.32283,15.74803,29.92126,1.574806,18.11024,23.17073,48.17073,26.21951,-5.645161,8.536583,10.14493,44.6689,7.264957,1.672241,7.047706,31.12844,16.83972,12.37458,47.0,58.0
2004-09,31.09244,28.57143,39.4958,17.64706,24.36975,39.26381,47.85277,26.99387,12.88344,7.361961,13.35616,43.82191,15.41096,6.849312,3.310954,32.99532,18.77613,15.0685,46.0,55.0
2004-10,46.8254,33.73016,44.44444,23.01588,19.84127,53.7037,51.23457,29.01234,16.66667,11.72839,9.837959,46.20833,9.375,7.291664,0.562866,30.72635,10.42093,13.54166,49.0,59.0
2004-11,54.46429,39.73215,53.57143,25.89286,21.42857,48.96552,48.27586,29.88506,7.586207,7.586205,6.338028,49.5845,10.56338,11.97183,-5.394108,34.98476,16.1038,10.21127,52.0,65.0
2004-12,53.78151,44.11765,52.94118,35.29411,21.0084,59.09091,51.29871,29.87013,18.83117,11.03896,6.060608,48.89455,12.0,6.545456,1.812887,30.77144,15.87005,7.63636,50.0,61.0
2005-01,46.45669,34.25197,44.88189,23.62205,26.77165,63.46153,57.69231,34.61539,19.23077,5.128204,13.62531,45.64233,10.9489,2.189781,1.665955,32.8,19.48845,13.13869,56.0,65.0
2005-02,42.30769,29.80769,38.46154,21.15385,20.19231,64.33566,59.44057,33.10023,16.08392,13.98602,13.67188,43.88281,6.25,4.6875,2.246346,33.56518,14.38662,15.625,55.0,65.0
2005-03,27.67857,29.91072,38.39286,21.42857,26.78571,53.20512,53.20512,31.41026,16.02564,7.051285,12.18906,51.00746,4.104477,3.358208,2.235415,30.45821,21.31754,20.89552,53.0,61.0
2005-04,26.49573,28.63248,34.18803,23.07692,23.93163,34.54546,47.87878,30.30302,13.33333,10.90909,9.488136,49.45319,1.872659,2.247192,6.140862,26.95602,14.55872,21.34831,50.0,58.0
2005-05,26.95652,24.78261,27.82609,21.73913,36.52174,28.75,40.625,27.70834,16.875,5.625,2.661598,48.513,-2.661597,9.885933,2.519084,27.78595,17.79526,12.92776,49.0,58.0
2005-06,25.83333,27.08334,32.5,21.66666,23.33334,29.11392,44.93671,24.47257,15.82278,13.29114,6.273064,48.00391,1.845019,6.273064,4.893648,31.43199,15.6745,12.91513,51.0,58.0
2005-07,23.21428,19.19643,21.42857,16.96429,25.89286,28.28947,41.44737,21.49123,10.52632,17.10526,5.220886,46.56145,5.220883,10.84338,2.564597,27.8686,17.86109,9.638557,49.0,60.0
2005-08,29.20354,34.0708,38.0531,30.0885,28.31859,38.66667,48.0,24.66666,16.0,19.33334,6.273064,43.36812,5.535055,8.11808,1.101806,30.95988,13.55133,1.845016,50.0,60.0
2005-09,21.10092,25.68807,23.85321,27.52293,28.44037,32.27849,45.56963,26.79325,17.72152,8.860756,11.46572,46.77078,7.446808,7.092201,4.671112,25.32655,14.13337,2.482269,50.0,61.0
2005-10,23.85321,22.93578,21.10092,24.77065,18.34863,21.65605,43.3121,25.69002,21.65605,14.64968,9.299515,45.33862,2.898551,6.521736,3.222743,24.89951,13.50241,9.420288,53.0,60.0
2005-11,27.27273,20.0,20.90909,19.09091,18.18182,18.86793,42.76729,24.31866,18.23899,13.20755,8.455879,49.83456,7.720588,6.985291,4.807758,26.53824,9.306961,5.147057,53.0,63.0
2005-12,13.20755,18.86793,24.5283,13.20755,11.32076,16.33987,39.21568,21.35076,19.60784,13.72549,5.992508,51.91611,-0.3745318,8.614235,3.82445,29.86827,14.9432,2.247192,57.0,65.0
2006-01,9.708738,16.01942,22.3301,9.70874,15.53398,11.6129,40.0,22.36559,14.83871,16.77419,6.337135,49.59695,-4.562737,5.323196,5.199359,11.94983,8.622153,6.463875,61.0,70.0
2006-02,16.66667,21.11111,22.22222,20.0,22.22222,19.00826,42.14876,23.69146,13.22314,13.22314,13.55662,44.57416,2.870813,-3.349281,2.011677,26.3919,13.94594,15.311,58.0,69.0
2006-03,18.75,17.41071,17.85714,16.96429,25.89286,23.71795,43.58974,25.0,14.10256,11.53846,13.28321,50.27068,-4.887218,-3.383461,3.586669,28.03785,10.36784,21.80451,61.0,70.0
2006-04,14.81481,15.74074,18.51852,12.96296,21.2963,13.0137,37.67123,25.79909,8.219178,10.27397,9.305557,48.73334,-5.833333,-4.583336,1.199445,25.28346,12.7946,22.08334,58.0,66.0
2006-05,6.19469,15.92921,15.9292,15.92921,34.51328,8.609268,35.09933,20.97131,7.94702,13.90729,4.878052,49.57724,-6.097561,-4.065041,1.425864,20.78271,10.46444,18.69919,55.8,62.0
2006-06,-8.108109,2.252251,5.405406,-0.9009018,20.72072,-19.01408,21.83099,13.38028,2.112676,14.08451,-2.150536,43.91129,-7.258065,6.854836,-6.213006,16.38852,-2.926782,11.29032,49.0,55.0
2006-07,-12.38938,-1.769913,3.539823,-7.079643,13.27434,-15.86207,24.82758,13.10345,3.448276,12.4138,1.897018,43.813,-4.471545,6.504066,-6.947285,23.2259,6.290347,15.04065,48.0,53.0
2006-08,-10.92437,0.420166,5.042017,-4.201683,13.44538,-6.666664,38.0,21.11111,8.0,8.666664,-2.411346,41.50638,-2.978723,7.234039,-11.28269,14.70916,0.7079071,15.74468,47.0,53.0
2006-09,-12.87129,-1.980202,6.930693,-10.89109,7.920792,-4.794518,39.04109,18.03653,12.32877,10.9589,3.083702,43.94714,3.524229,9.251099,-10.34679,15.85492,14.30128,7.488983,49.0,56.0
2006-10,-10.43478,2.608696,6.956522,-1.739128,10.43478,-0.6711426,42.28188,17.89709,18.12081,14.09396,2.459015,44.54918,0.0,9.426231,-10.01346,19.5981,4.912926,4.098358,49.0,56.0
2006-11,-1.754386,3.508774,10.52632,-3.508774,14.91228,5.128204,35.25641,16.88034,10.89744,12.17949,2.239792,47.97629,3.557312,5.138336,-8.114768,19.83466,10.89576,-0.7905121,50.0,57.0
2006-12,0.0,7.009346,14.95327,-0.9345779,4.672897,16.0,30.66667,16.22222,17.33333,15.33334,-0.7246399,48.36522,2.608696,6.95652,-8.815668,20.27287,15.35748,1.739128,54.0,62.0
2007-01,2.912621,3.398056,15.53398,-8.737862,9.70874,14.07407,38.51852,24.69136,10.37037,11.11111,6.725143,46.89473,9.649123,3.508774,-8.53781,26.83543,13.20564,1.315788,52.0,60.0
2007-02,4.901961,11.76471,22.54902,0.9803925,16.66666,23.57143,44.28572,25.47619,11.42857,7.85714,8.095238,45.53334,2.857143,7.14286,2.366183,21.4054,10.75758,9.047623,50.0,58.0
2007-03,0.990099,10.89109,14.85149,6.930695,22.77228,5.263161,36.8421,22.80701,9.774436,8.270676,7.009346,50.01869,0.0,0.4672928,-5.581419,25.0844,9.395657,15.88785,46.0,53.0
2007-04,-2.803738,7.009346,13.08411,0.9345779,24.29906,8.270676,31.57895,21.80451,13.53383,6.015038,1.689705,50.94009,-6.912442,5.990784,-6.439138,20.83818,8.071308,17.97235,47.2,54.6
2007-05,0.990099,8.910889,16.83168,0.990097,23.76237,17.16418,37.31343,24.62687,8.208955,1.492538,1.164482,46.50655,-6.986899,2.620087,-5.896275,22.09876,5.94358,15.72053,46.0,51.0
2007-06,0.0,18.2243,28.03738,8.411217,22.42991,13.84615,38.46153,26.15385,13.84615,3.07692,4.072395,45.40271,-1.809955,2.714935,-2.119658,25.50298,14.81218,10.40724,45.0,51.0
2007-07,8.108109,15.76576,20.72072,10.81081,33.33333,2.898552,39.13043,21.73913,3.623188,4.347824,2.739723,43.0685,2.283105,7.305939,-5.28951,25.1838,10.86037,11.87215,45.0,50.0
2007-08,8.490566,13.67924,23.58491,3.773582,29.24529,-16.66666,25.75758,15.15151,8.333333,11.36364,2.966103,42.94916,2.118644,5.508476,-3.688313,19.7328,11.81552,26.27119,43.0,47.0
2007-09,7.407407,16.66666,22.22222,11.11111,21.2963,-11.02941,30.14706,18.13725,16.17647,7.352943,9.132423,42.40182,0.456621,4.109589,-7.412011,24.49513,5.608147,22.83105,42.2,47.6
2007-10,11.32076,13.20755,23.58491,2.830185,32.07547,-17.82946,27.90697,14.72868,12.4031,7.751938,8.455284,47.78537,9.756098,5.853661,-0.9938443,24.37177,10.67957,20.48781,41.3,47.7
2007-11,6.930693,7.920792,15.84158,0.0,23.76237,-14.0625,25.0,15.625,14.84375,5.46875,1.969696,50.42728,5.0,9.090912,-2.959723,18.50961,7.362286,20.0,42.3,49.7
2007-12,3.125,10.9375,14.58333,7.291664,30.20833,-4.065041,30.8943,17.61517,11.38211,8.130081,3.159561,52.60663,-1.421801,5.213272,-0.01365174,21.56153,4.519564,26.06635,47.0,53.8
2008-01,-6.730769,-3.365387,0.9615384,-7.692307,22.11539,-19.37984,25.5814,17.05426,6.20155,6.976746,2.34742,48.41315,-0.4694836,6.103287,-5.084245,14.75941,7.626521,29.10799,47.3,51.3
2008-02,2.12766,5.319145,15.95745,-5.319145,22.34042,-33.06451,23.3871,17.2043,1.612903,3.225807,6.197655,48.43216,-11.55779,1.507538,0.4099474,12.76872,5.2284,32.66331,46.0,47.0
2008-03,-8.163265,0.0,5.102041,-5.102043,22.44898,-29.83871,9.677422,9.4086,11.29032,10.48387,-5.582138,52.3158,-23.92344,4.784691,-18.66712,7.107733,-7.770905,23.92345,44.0,48.0
2008-04,-10.0,-0.5,7.0,-8.0,21.0,-30.0813,16.26016,10.56911,6.504065,9.756096,-5.103668,50.22009,-16.74641,4.784691,-16.14792,9.000106,11.81548,32.05742,40.2,45.0
2008-05,-11.11111,-3.030304,4.040404,-10.10101,30.30302,-32.53968,20.63492,16.13757,5.555555,3.968254,-5.479454,47.50685,-14.61187,6.849312,-10.565,9.872149,1.887212,35.15982,40.5,42.0
2008-06,-20.79208,-16.83168,-15.84158,-17.82178,43.56436,-44.71545,12.19512,9.756096,0.0,8.130081,-8.252426,44.70874,-13.59223,10.19418,-14.3644,6.50095,-0.7041861,38.34952,35.6,38.7
2008-07,-33.33333,-23.65591,-17.2043,-30.10753,24.73119,-53.96825,0.0,0.5290985,-7.142857,14.28571,-11.53846,43.76923,-19.23077,14.90385,-13.21733,-1.95627,-1.299212,38.94231,33.0,39.7
2008-08,-31.31313,-21.71717,-15.15152,-28.28283,25.25253,-38.84892,16.54676,5.27578,-1.438849,15.82734,-7.902298,45.06897,-12.5,14.65517,-11.5469,2.4535,0.2287526,38.36208,31.6,39.6
2008-09,-26.73267,-21.28713,-13.86139,-28.71287,17.82178,-31.57895,14.28571,6.265663,2.255639,15.78947,-4.888885,43.67999,-3.555556,15.55556,-22.67665,8.156491,0.6608316,30.66667,34.8,41.1
2008-10,-46.07843,-43.62745,-37.2549,-50.0,-22.54902,-68.75,-13.28125,-11.45834,-10.9375,25.78125,-20.0957,45.95215,-20.57416,24.88039,-31.63383,-11.0484,-29.91918,11.96172,38.5,42.4
2008-11,-51.06383,-51.06383,-46.80851,-55.31915,-38.29787,-70.86614,-25.98425,-18.89764,-30.70866,34.64568,-31.0789,43.63284,-30.43478,29.4686,-47.1874,-15.2055,-20.86569,-3.864731,38.5,41.3
2008-12,-52.57732,-56.70103,-53.60825,-59.79382,-48.45361,-71.9697,-31.06061,-20.70707,-37.87879,32.57576,-31.30841,42.09346,-34.11215,28.97197,-49.28353,-8.131506,-20.59261,-14.01869,42.4,42.2
2009-01,-53.48837,-54.06977,-51.16279,-56.97675,-54.65116,-69.23077,-26.49573,-20.79772,-30.76923,34.18803,-34.79854,38.24176,-39.01099,31.31868,-52.62192,-22.44507,-18.66646,-25.27473,41.4,43.1
2009-02,-62.63736,-59.89011,-56.04396,-63.73626,-62.63736,-72.88136,-22.88136,-21.18644,-33.8983,37.28813,-36.23188,33.95653,-44.02174,30.43478,-59.69857,-25.73931,-15.30418,-25.54348,40.8,41.6
2009-03,-47.87234,-51.59575,-45.74468,-57.44681,-52.12766,-66.15385,-20.0,-18.97436,-36.92308,33.07692,-37.87085,35.14136,-42.40838,35.07854,-60.89069,-16.28175,-24.83331,-29.31937,39.8,45.2
2009-04,-46.46465,-45.95959,-35.35353,-56.56565,-35.35354,-34.375,-1.5625,-11.97916,-25.0,32.8125,-34.2246,34.10695,-34.2246,33.15508,-62.55631,-4.409177,-17.35622,-24.59893,40.4,47.8
2009-05,-52.12766,-39.3617,-25.53192,-53.19149,-28.7234,-20.96774,9.677422,-7.7957,-24.19355,29.03226,-32.10526,28.88422,-37.36842,28.94737,-61.00732,1.36442,-11.7112,-23.68421,43.1,50.8
2009-06,-40.0,-33.0,-17.0,-49.0,-28.0,-2.307693,11.53846,-2.051285,-10.76923,20.0,-26.95036,33.43617,-25.53192,25.0,-53.63862,3.816226,-4.789985,-9.042557,44.3,54.5
2009-07,-34.73684,-32.10526,-8.421053,-55.78947,-23.1579,14.50381,32.82443,7.12468,-3.816794,18.32061,-21.5,29.34,-16.0,20.5,-48.21048,8.879642,-2.823048,-1.0,42.9,55.1
2009-08,-33.33333,-24.44444,-3.333333,-45.55556,-8.888885,50.76923,48.46153,15.1282,2.307692,15.38461,-10.32609,35.28261,-5.434783,17.3913,-36.35809,21.93378,8.240582,5.434784,46.2,60.9
2009-09,-15.73034,-25.2809,-4.494382,-46.06742,0.0,59.84251,54.3307,18.3727,11.02362,10.23622,-1.604279,34.4599,8.02139,11.22995,-32.9894,24.03476,17.61463,4.812836,53.5,63.5
2009-10,-4.255319,-12.76596,11.70213,-37.23404,1.063828,66.66667,57.14285,21.95767,13.49206,7.14286,-2.367943,42.05464,-0.5464481,8.196724,-30.48322,25.88205,12.69683,4.91803,55.9,64.3
2009-11,-9.574468,-17.02128,7.446808,-41.48936,-4.255318,59.23077,48.46153,21.79487,15.38461,0.0,-3.061226,45.39796,11.22449,12.7551,-26.40554,31.44716,8.351348,4.591835,54.1,63.8
2009-12,-10.30928,-17.01031,8.247422,-42.26804,-9.278351,61.83206,48.85497,22.90076,12.9771,0.0,-4.411766,44.10785,10.29412,13.72549,-20.18127,29.11049,10.33888,2.941177,55.6,66.2
2010-01,-7.692307,-9.34066,17.58242,-36.26374,3.2967,63.56589,48.8372,22.99741,17.82946,5.426353,6.563042,42.87047,14.50777,5.181351,-15.26106,39.09581,16.55399,15.02591,58.2,67.5
2010-02,1.030928,-6.701035,11.34021,-24.74227,4.123711,71.7742,49.19354,23.3871,14.51613,1.6129,10.12216,42.9843,10.4712,1.570679,-13.09695,36.79048,22.228,23.56021,59.6,68.0
2010-03,-4.347826,-5.434784,27.17391,-38.04348,32.60869,13.6,24.8,15.46667,0.8,-12.8,15.88132,27.22513,0.5235602,-22.51309,-12.92433,38.42052,-38.16502,30.36649,49.4,61.3
2010-04,-16.85393,-18.53933,1.123595,-38.20225,23.5955,47.54099,54.09836,29.78142,9.016394,-13.93443,25.53191,40.42554,0.0,-19.14893,13.07034,45.84705,26.42341,38.82979,49.0,62.8
2010-05,-26.66667,-12.77778,8.888889,-34.44444,23.33334,54.16667,48.33333,27.77778,14.16667,-7.5,21.7803,42.51137,9.090909,-15.34091,15.35988,41.94267,30.33753,31.81818,48.6,60.2
2010-06,-20.83333,-19.27084,2.083333,-40.625,14.58334,65.57378,44.2623,28.96175,17.21312,-2.459015,20.07169,43.34409,8.602151,-12.90323,8.767179,44.49491,27.73108,27.41936,49.6,59.1
2010-07,-15.84158,-11.38614,6.930693,-29.70297,13.86139,70.96774,58.06451,31.45161,22.58064,4.032257,15.67567,41.2,15.13513,-8.108109,4.340962,39.41963,19.95335,18.91892,47.1,56.8
2010-08,-3.191489,-3.723404,12.76596,-20.21277,14.89362,71.54471,55.28455,31.16531,26.01626,3.252029,14.10256,42.5934,12.63736,-3.2967,0.4517934,37.52739,22.77876,20.32967,49.8,62.2
2010-09,1.030928,0.0,14.43299,-14.43299,20.61855,73.6842,57.01755,33.91812,31.57895,2.631577,18.93491,46.67456,26.0355,-2.95858,5.501572,34.33067,20.10828,22.48521,55.2,67.0
2010-10,14.13043,8.152176,22.82609,-6.521736,19.56522,70.43478,57.39131,32.17392,30.43478,5.217392,15.75092,42.82417,18.68132,3.2967,6.4135,40.80685,23.31224,16.48351,57.0,66.0
2010-11,12.35955,6.179779,22.47191,-10.11236,20.22472,72.80702,52.63158,27.19299,32.45614,12.2807,15.0838,48.59218,13.40782,0.0,4.223365,42.19836,23.5308,25.13966,55.0,63.2
2010-12,10.75269,17.2043,32.25806,2.150536,16.12904,65.75342,52.73973,32.64841,30.13699,10.9589,12.02186,48.59016,11.47541,0.0,5.169135,40.335,24.12309,24.59016,52.2,63.7
2011-01,30.95238,22.02381,42.85714,1.190475,27.38095,72.05882,55.88235,35.78432,36.02941,1.470589,13.14286,46.08,20.57143,0.0,2.65366,35.67208,21.5491,33.71428,53.4,60.3
2011-02,20.87912,25.82417,40.65934,10.98901,41.75824,68.05556,61.11111,38.19444,31.25,2.083336,17.34893,45.83626,16.37427,0.0,4.456928,37.80082,24.35918,36.8421,49.4,54.0
2011-03,30.0,27.0,36.0,18.0,42.0,62.06897,54.48276,35.63219,31.03448,2.068962,14.18439,51.62766,17.02128,-2.127663,1.156821,37.00462,20.57221,38.82979,49.3,54.8
2011-04,30.30303,28.78787,44.44444,13.13131,36.36363,48.9796,48.29932,33.56009,33.33333,2.040817,10.94017,50.88205,13.84615,1.53846,4.520252,29.85647,33.23743,38.97437,48.5,53.9
2011-05,28.86598,18.04124,34.02062,2.061859,36.08247,47.91667,50.69444,32.17592,29.86111,6.25,7.468124,49.1694,13.11475,1.639343,-0.9344095,31.51976,10.87671,30.05464,49.9,52.4
2011-06,26.88172,22.04301,34.4086,9.677422,35.48387,37.58865,48.22694,30.02364,29.78723,9.219856,8.888885,46.32222,8.888889,3.333336,7.927255,28.69703,15.10145,29.44444,44.1,49.4
2011-07,9.183674,23.97959,37.7551,10.20408,27.55102,25.0,46.21213,27.52525,25.0,9.090912,11.49426,48.09195,13.21839,5.172417,10.81406,34.03005,21.32017,21.83908,45.7,52.2
2011-08,28.42105,25.26316,36.84211,13.68421,29.47368,6.428574,42.85715,21.90476,27.14286,12.85714,7.784431,46.86227,15.56886,6.58683,1.229975,29.05237,9.754088,22.15569,44.4,46.3
2011-09,17.77778,20.55556,28.88889,12.22222,16.66666,-17.42424,23.48485,15.15151,21.9697,12.12122,8.686867,47.16364,10.30303,12.72727,-1.048346,28.77966,20.12456,14.54546,49.9,52.1
2011-10,16.30435,24.45652,39.13044,9.782608,15.21739,-28.8,20.8,13.33334,15.2,13.6,0.6134949,49.12883,13.49693,13.49693,-5.947855,19.66238,11.30761,27.60736,46.0,48.2
2011-11,23.5955,28.65169,37.07865,20.22472,17.97753,-7.874016,29.13387,14.96063,28.34646,16.53543,0.7889557,51.72781,7.692307,13.01775,-4.43682,20.5503,23.29996,11.24261,48.5,52.0
2011-12,25.88235,26.47059,35.29412,17.64706,20.0,-17.64706,20.58823,12.74509,22.05882,12.5,-0.6172867,50.24692,9.259259,6.172836,-4.943402,19.06087,11.92931,20.37037,50.0,49.7
2012-01,32.22222,27.77778,38.88889,16.66666,21.11111,-6.92308,35.38461,21.02564,26.15385,12.30769,4.988663,47.31973,14.28571,4.081635,-4.663812,22.14658,13.5207,14.96599,54.2,52.5
2012-02,41.17647,30.58824,40.0,21.17647,22.35294,4.255318,42.55319,22.93144,34.04255,14.18439,11.30605,46.2924,9.356725,-1.754387,-0.6509351,21.43682,6.375366,20.46783,53.2,53.5
2012-03,36.04651,38.37209,47.67442,29.06976,37.2093,22.04724,41.73228,23.62205,22.83465,7.874016,10.97561,57.12195,4.878049,1.219513,7.471748,20.56229,16.95742,22.56097,46.6,49.7
2012-04,40.0,35.625,36.25,35.0,32.5,22.83465,32.28346,18.3727,18.11024,11.81102,6.024094,52.27711,11.44578,3.012047,2.26513,17.91819,10.04564,21.08434,47.2,50.6
2012-05,35.29412,31.76471,32.94118,30.58824,36.47058,18.04511,33.83458,21.55389,18.79699,9.02256,4.655495,49.65363,1.117318,-2.793297,-2.811948,20.38714,15.19205,12.2905,51.0,55.0
2012-06,23.45679,24.07407,27.16049,20.98766,19.75309,-26.5625,18.75,11.71875,4.6875,14.0625,2.365593,47.71613,7.096774,1.935486,-3.094186,19.03992,6.266003,7.741936,55.5,54.7
2012-07,16.25,15.625,16.25,15.0,17.5,-12.5,21.09375,12.76041,12.5,12.5,3.354301,48.72955,9.433962,5.031448,-3.384288,24.00604,14.62767,8.176102,54.9,55.8
2012-08,19.75309,28.39507,33.33333,23.45679,27.16049,3.149605,35.43307,16.27296,15.74803,13.38583,2.927925,47.93243,10.13513,6.081078,-4.786971,21.78362,19.53698,16.21622,55.4,57.6
2012-09,24.32432,33.78378,37.83784,29.72974,25.67567,-1.574806,45.6693,20.73491,20.47244,9.448822,4.026848,44.09396,13.42282,8.053688,-13.6829,26.24204,10.27245,14.7651,56.7,58.8
2012-10,16.86747,27.10844,31.3253,22.89156,24.09638,8.029198,35.76642,20.43796,20.43796,5.109489,6.458336,48.375,15.0,6.25,-3.249103,28.28596,15.12614,11.875,55.1,57.9
2012-11,18.42105,27.63158,28.94737,26.31579,17.10526,8.633095,33.81294,18.22542,19.42446,9.352516,7.34127,51.64285,22.02381,5.35714,0.4141499,27.72853,8.613379,12.5,55.1,59.1
2012-12,20.54795,29.45206,35.61644,23.28767,19.17809,8.064514,30.64516,16.12904,17.74194,12.09677,3.508774,50.97076,12.2807,5.847954,-1.356223,27.60942,16.18962,11.69591,61.9,63.6
2013-01,27.5,22.5,26.25,18.75,20.0,14.48276,39.31035,19.77012,16.55172,13.10345,6.910568,49.35365,7.317073,3.048782,-5.375931,27.01399,23.25354,15.85366,60.8,63.5
2013-02,16.43836,21.23288,26.0274,16.43835,20.54794,24.8062,43.41086,20.41344,19.37984,13.95349,8.843536,41.25169,6.802721,2.040817,-8.122929,23.39664,-1.278949,12.92517,61.8,63.2
2013-03,25.75758,28.78787,27.27273,30.30302,37.87878,23.77049,50.81967,24.59016,17.21312,14.7541,9.112709,47.09352,10.07194,0.0,-5.938206,23.72816,13.15785,10.07195,59.0,62.8
2013-04,9.523809,13.69048,17.85714,9.523811,26.19048,13.69863,42.46576,20.31963,20.54795,11.64384,3.639847,48.66667,-2.298851,4.022987,-14.90938,28.19132,12.56651,10.34483,63.3,64.4
2013-05,-2.564103,3.205132,6.410256,0.0,57.69231,-11.67883,59.85402,25.79076,3.649635,11.67883,1.176468,46.54118,2.352941,2.941177,-5.072016,17.93483,10.76101,1.176468,60.0,59.1
2013-06,-12.0,-3.333336,0.0,-6.666664,12.0,-29.85075,20.89552,9.203979,1.492537,14.17911,-2.729042,47.7193,0.0,6.432747,-12.01657,17.3548,14.51558,11.69591,55.6,57.1
2013-07,-18.98734,-10.75949,-10.12658,-11.3924,7.59494,-36.76471,16.91177,7.107841,0.7352941,15.44118,-4.819275,47.36145,-3.012048,4.216866,-9.953306,5.758807,7.070336,3.012047,54.4,54.8
2013-08,-17.5,-12.5,-11.25,-13.75,5.0,-27.14286,22.14286,9.523811,0.7142857,12.85714,0.5405426,49.68649,1.081081,6.486488,-6.724379,18.69907,15.29492,9.189186,52.2,55.7
2013-09,-10.81081,-5.405403,2.702703,-13.51351,5.405403,-23.07692,26.15385,10.51282,0.0,19.23077,3.563942,43.8239,5.660378,6.918236,-10.73549,23.85804,3.68939,11.94968,57.3,59.8
2013-10,-16.86747,-10.84338,-8.433735,-13.25301,6.024094,-16.90141,28.87325,12.9108,5.633803,13.38028,0.3603592,48.55135,-5.405406,3.783783,-9.19123,13.09029,11.19809,12.97298,58.3,61.0
2013-11,-23.07692,-12.82051,-12.82051,-12.82051,6.410255,-26.15385,18.46154,9.487183,3.076923,14.61539,0.19841,49.65475,-1.190476,1.785713,-6.629295,10.73215,5.373847,11.30952,59.0,60.2
