country,CHN,CHN,CHN
subject,BSCI,CSCICP02,CSESFT
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1990-01,,107.1122,105.7536
1990-02,,107.1122,105.984
1990-03,,107.3456,106.6752
1990-04,,107.6956,107.4816
1990-05,,108.1624,108.7488
1990-06,,108.3957,109.5552
1990-07,,108.1624,109.7856
1990-08,,107.6956,109.2096
1990-09,,107.2289,108.5184
1990-10,,107.2289,108.0576
1990-11,,107.8123,108.0576
1990-12,,108.9791,108.9792
1991-01,,110.496,110.2464
1991-02,,112.0128,111.8592
1991-03,,112.8296,112.896
1991-04,,112.9462,113.2416
1991-05,,112.3628,112.6656
1991-06,,111.196,111.3984
1991-07,,110.1459,110.1312
1991-08,,109.2125,108.9792
1991-09,,108.7458,108.4032
1991-10,,108.6291,108.4032
1991-11,,108.7458,108.864
1991-12,,108.9791,109.5552
1992-01,,109.2125,125.3376
1992-02,,109.6792,125.3376
1992-03,,110.496,125.2224
1992-04,,112.0128,124.992
1992-05,,113.9964,125.2224
1992-06,,116.2133,126.0288
1992-07,,117.9635,127.1808
1992-08,,119.3636,128.2176
1992-09,,120.2971,128.448
1992-10,,120.6471,127.0656
1992-11,,120.8805,124.0704
1992-12,,120.9972,120.0384
1993-01,,121.2305,110.2464
1993-02,,121.3472,111.0528
1993-03,,121.4639,112.32
1993-04,,121.5806,114.048
1993-05,,121.9306,116.5824
1993-06,,122.864,119.232
1993-07,,123.7975,121.536
1993-08,,124.6142,123.264
1993-09,,124.6142,124.3008
1993-10,,123.6808,124.6464
1993-11,,121.8139,124.8768
1993-12,,119.1303,124.992
1994-01,,116.4466,108.1728
1994-02,,113.9964,107.712
1994-03,,112.1295,107.3664
1994-04,,110.7293,107.2512
1994-05,,109.5625,107.2512
1994-06,,108.6291,107.2512
1994-07,,108.1624,106.7904
1994-08,,108.279,106.2144
1994-09,,108.7458,105.5232
1994-10,,109.9126,104.6016
1994-11,,111.4294,103.7952
1994-12,,112.9462,103.4496
1995-01,,114.8131,111.9744
1995-02,,116.5633,113.9328
1995-03,,117.8468,115.2
1995-04,,118.8969,116.0064
1995-05,,119.247,116.352
1995-06,,118.8969,116.1216
1995-07,,117.9635,115.4304
1995-08,,117.03,114.7392
1995-09,,116.33,114.3936
1995-10,,115.8632,114.048
1995-11,,115.9799,114.1632
1995-12,,116.33,114.5088
1996-01,,116.9134,115.4304
1996-02,,117.3801,115.8912
1996-03,,117.3801,115.6608
1996-04,,117.1467,115.6608
1996-05,,117.03,116.1216
1996-06,,116.68,115.2
1996-07,,116.7967,115.6608
1996-08,,116.33,115.0848
1996-09,,116.2133,114.9696
1996-10,,116.0966,114.7392
1996-11,,116.2133,114.3936
1996-12,,115.9799,113.5872
1997-01,,110.6126,115.6608
1997-02,,109.9126,111.5136
1997-03,,109.4458,107.9424
1997-04,,109.4458,105.0624
1997-05,,110.0292,102.7584
1997-06,,110.7293,101.376
1997-07,,111.3127,100.6848
1997-08,,111.4294,101.2608
1997-09,,111.196,102.4128
1997-10,,110.7293,104.7168
1997-11,,110.2626,107.136
1997-12,,110.1459,109.6704
1998-01,,112.1295,110.7072
1998-02,,110.1459,108.7488
1998-03,,106.6455,105.2928
1998-04,,106.6455,107.0208
1998-05,,105.362,104.832
1998-06,,103.6118,102.4128
1998-07,,101.0449,98.9568
1998-08,,103.1451,102.9888
1998-09,,103.3785,105.0624
1998-10,,104.7786,106.3296
1998-11,,103.8452,105.408
