country,EST,EST
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1993-Q2,52.0,
1993-Q3,54.4,
1993-Q4,52.3,
1994-Q1,55.2,
1994-Q2,56.2,
1994-Q3,57.4,
1994-Q4,58.1,
1995-Q1,56.2,
1995-Q2,57.2,
1995-Q3,55.6,
1995-Q4,57.9,
1996-Q1,59.2,
1996-Q2,55.1,
1996-Q3,56.7,
1996-Q4,58.9,
1997-Q1,60.3,
1997-Q2,62.2,
1997-Q3,63.5,
1997-Q4,62.8,
1998-Q1,67.6,-9.7
1998-Q2,67.2,-91.7
1998-Q3,69.4,22.9
1998-Q4,67.6,-82.3
1999-Q1,64.8,-29.5
1999-Q2,62.8,-0.4
1999-Q3,61.7,-17.0
1999-Q4,64.6,-40.2
2000-Q1,66.2,-9.4
2000-Q2,67.0,-6.2
2000-Q3,66.2,-2.5
2000-Q4,68.5,18.3
2001-Q1,70.2,29.6
2001-Q2,71.5,11.8
2001-Q3,74.7,-5.5
2001-Q4,72.9,-13.7
2002-Q1,71.6,-7.9
2002-Q2,74.9,12.5
2002-Q3,75.1,8.1
2002-Q4,76.3,8.8
2003-Q1,74.0,4.3
2003-Q2,74.1,3.1
2003-Q3,73.5,18.8
2003-Q4,74.0,24.1
2004-Q1,73.1,27.4
2004-Q2,75.6,27.6
2004-Q3,74.7,27.5
2004-Q4,75.2,19.9
2005-Q1,75.7,18.3
2005-Q2,77.5,31.4
2005-Q3,77.5,32.9
2005-Q4,78.2,36.2
2006-Q1,79.0,36.9
2006-Q2,79.1,26.6
2006-Q3,78.2,37.9
2006-Q4,78.2,39.5
2007-Q1,78.4,43.7
2007-Q2,78.0,31.6
2007-Q3,77.0,22.1
2007-Q4,74.6,0.0
2008-Q1,74.5,11.7
2008-Q2,72.6,-6.8
2008-Q3,69.2,-13.1
2008-Q4,66.3,-29.1
2009-Q1,60.4,-39.1
2009-Q2,57.2,-49.9
2009-Q3,57.4,-27.6
2009-Q4,59.0,-17.1
2010-Q1,62.3,-3.3
2010-Q2,67.2,15.0
2010-Q3,68.6,16.0
2010-Q4,70.6,33.2
2011-Q1,72.5,26.6
2011-Q2,72.9,26.2
2011-Q3,71.8,18.0
2011-Q4,72.6,11.4
2012-Q1,71.2,6.0
2012-Q2,70.1,14.8
2012-Q3,71.0,8.2
2012-Q4,70.4,-7.0
2013-Q1,71.0,-7.8
2013-Q2,71.1,-6.9
2013-Q3,71.3,12.7
2013-Q4,72.8,11.5
2014-Q1,73.2,-3.1
2014-Q2,73.3,-3.0
2014-Q3,73.5,-2.5
2014-Q4,73.2,0.9
2015-Q1,71.0,-8.6
2015-Q2,70.5,2.3
2015-Q3,72.7,2.7
2015-Q4,71.5,3.9
2016-Q1,72.6,5.0
2016-Q2,73.7,7.5
2016-Q3,73.0,9.2
2016-Q4,75.4,14.8
2017-Q1,74.2,6.8
2017-Q2,76.2,20.4
2017-Q3,73.4,16.5
2017-Q4,75.2,17.1
2018-Q1,75.2,3.8
2018-Q2,74.0,2.0
2018-Q3,74.6,8.5
2018-Q4,73.5,2.0
2019-Q1,75.5,-0.6
2019-Q2,73.6,-1.2
2019-Q3,71.6,-8.6
2019-Q4,70.2,-15.1
2020-Q1,71.4,-10.2
2020-Q2,62.8,-33.5
2020-Q3,65.7,-36.9
2020-Q4,70.7,2.4
2021-Q1,73.5,23.7
2021-Q2,76.6,24.0
2021-Q3,77.1,27.1
2021-Q4,85.2,31.4
2022-Q1,71.7,26.0
2022-Q2,69.7,29.1
2022-Q3,73.8,4.4
2022-Q4,71.5,-21.7
2023-Q1,71.5,-17.8
