country,ISR
subject,BRVSLV
measure,BLSA
unit,
powercode,Units
reference_period,
time,
2011-Q1,6.7
2011-Q2,8.266666
2011-Q3,7.8
2011-Q4,1.633333
2012-Q1,1.3
2012-Q2,2.166667
2012-Q3,1.3
2012-Q4,-2.866667
2013-Q1,0.7733333
2013-Q2,0.05666667
2013-Q3,0.4666667
2013-Q4,-0.1233333
2014-Q1,-0.99
2014-Q2,1.223333
2014-Q3,8.093333
2014-Q4,3.02
2015-Q1,2.446667
2015-Q2,1.613333
2015-Q3,2.933333
2015-Q4,-0.84
2016-Q1,4.766667
2016-Q2,5.133333
2016-Q3,5.423333
2016-Q4,4.726666
2017-Q1,5.173333
2017-Q2,6.446667
2017-Q3,5.24
2017-Q4,3.343333
2018-Q1,6.89
2018-Q2,5.69
2018-Q3,6.536667
2018-Q4,3.836667
2019-Q1,5.503334
2019-Q2,10.17
2019-Q3,8.806666
2019-Q4,7.17
2020-Q1,10.02
2020-Q2,12.87333
2020-Q3,6.41
2020-Q4,6.946667
2021-Q1,7.043334
2021-Q2,7.203333
2021-Q3,9.146667
2021-Q4,7.21
2022-Q1,9.613334
