country,SWE
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1996,84.75
1997,85.525
1998,85.45
1999,84.75
2000,86.625
2001,83.925
2002,83.2
2003,83.1
2004,85.275
2005,86.025
2006,87.05
2007,87.6
2008,86.275
2009,73.725
2010,80.225
2011,85.05
2012,82.175
2013,80.05
2014,80.7
2015,80.95
2016,83.125
2017,85.25
2018,87.75
2019,86.0
2020,79.25
2021,85.0
2022,85.5
2023,85.0
