country,JPN
subject,CSCICP02
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1982-04,44.0
1982-05,43.33333
1982-06,42.66667
1982-07,42.0
1982-08,42.0
1982-09,42.0
1982-10,42.0
1982-11,42.33333
1982-12,42.66667
1983-01,43.0
1983-02,43.66667
1983-03,44.33333
1983-04,45.0
1983-05,45.0
1983-06,45.0
1983-07,45.0
1983-08,45.66667
1983-09,46.33333
1983-10,47.0
1983-11,47.0
1983-12,47.0
1984-01,47.0
1984-02,47.0
1984-03,47.0
1984-04,47.0
1984-05,47.33333
1984-06,47.66667
1984-07,48.0
1984-08,48.0
1984-09,48.0
1984-10,48.0
1984-11,48.33333
1984-12,48.66667
1985-01,49.0
1985-02,48.66667
1985-03,48.33333
1985-04,48.0
1985-05,48.0
1985-06,48.0
1985-07,48.0
1985-08,48.0
1985-09,48.0
1985-10,48.0
1985-11,47.66667
1985-12,47.33333
1986-01,47.0
1986-02,46.66667
1986-03,46.33333
1986-04,46.0
1986-05,45.33333
1986-06,44.66667
1986-07,44.0
1986-08,43.33333
1986-09,42.66667
1986-10,42.0
1986-11,41.66667
1986-12,41.33333
1987-01,41.0
1987-02,42.0
1987-03,43.0
1987-04,44.0
1987-05,45.0
1987-06,46.0
1987-07,47.0
1987-08,47.33333
1987-09,47.66667
1987-10,48.0
1987-11,48.66667
1987-12,49.33333
1988-01,50.0
1988-02,50.0
1988-03,50.0
1988-04,50.0
1988-05,50.0
1988-06,50.0
1988-07,50.0
1988-08,50.33333
1988-09,50.66667
1988-10,51.0
1988-11,50.33333
1988-12,49.66667
1989-01,49.0
1989-02,48.66667
1989-03,48.33333
1989-04,48.0
1989-05,48.33333
1989-06,48.66667
1989-07,49.0
1989-08,49.66667
1989-09,50.33333
1989-10,51.0
1989-11,50.66667
1989-12,50.33333
1990-01,50.0
1990-02,50.0
1990-03,50.0
1990-04,50.0
1990-05,49.66667
1990-06,49.33333
1990-07,49.0
1990-08,49.0
1990-09,49.0
1990-10,49.0
1990-11,49.33333
1990-12,49.66667
1991-01,50.0
1991-02,49.66667
1991-03,49.33333
1991-04,49.0
1991-05,48.66667
1991-06,48.33333
1991-07,48.0
1991-08,47.33333
1991-09,46.66667
1991-10,46.0
1991-11,45.66667
1991-12,45.33333
1992-01,45.0
1992-02,44.66667
1992-03,44.33333
1992-04,44.0
1992-05,43.33333
1992-06,42.66667
1992-07,42.0
1992-08,41.33333
1992-09,40.66667
1992-10,40.0
1992-11,39.66667
1992-12,39.33333
1993-01,39.0
1993-02,40.0
1993-03,41.0
1993-04,42.0
1993-05,41.33333
1993-06,40.66667
1993-07,40.0
1993-08,38.66667
1993-09,37.33333
1993-10,36.0
1993-11,37.66667
1993-12,39.33333
1994-01,41.0
1994-02,41.66667
1994-03,42.33333
1994-04,43.0
1994-05,43.66667
1994-06,44.33333
1994-07,45.0
1994-08,45.66667
1994-09,46.33333
1994-10,47.0
1994-11,46.33333
1994-12,45.66667
1995-01,45.0
1995-02,44.0
1995-03,43.0
1995-04,42.0
1995-05,42.0
1995-06,42.0
1995-07,42.0
1995-08,42.66667
1995-09,43.33333
1995-10,44.0
1995-11,44.33333
1995-12,44.66667
1996-01,45.0
1996-02,45.33333
1996-03,45.66667
1996-04,46.0
1996-05,45.66667
1996-06,45.33333
1996-07,45.0
1996-08,44.66667
1996-09,44.33333
1996-10,44.0
1996-11,42.0
1996-12,40.0
1997-01,38.0
1997-02,39.33333
1997-03,40.66667
1997-04,42.0
1997-05,42.33333
1997-06,42.66667
1997-07,43.0
1997-08,41.0
1997-09,39.0
1997-10,37.0
1997-11,37.0
1997-12,37.0
1998-01,37.0
1998-02,36.66667
1998-03,36.33333
1998-04,36.0
1998-05,35.66667
1998-06,35.33333
1998-07,35.0
1998-08,35.33333
1998-09,35.66667
1998-10,36.0
1998-11,37.0
1998-12,38.0
1999-01,39.0
1999-02,39.0
1999-03,39.0
1999-04,39.0
1999-05,39.33333
1999-06,39.66667
1999-07,40.0
1999-08,40.33333
1999-09,40.66667
1999-10,41.0
1999-11,41.33333
1999-12,41.66667
2000-01,42.0
2000-02,42.33333
2000-03,42.66667
2000-04,43.0
2000-05,43.33333
2000-06,43.66667
2000-07,44.0
2000-08,43.66667
2000-09,43.33333
2000-10,43.0
2000-11,41.66667
2000-12,40.33333
2001-01,39.0
2001-02,39.0
2001-03,39.0
2001-04,39.0
2001-05,37.33333
2001-06,35.66667
2001-07,34.0
2001-08,34.0
2001-09,34.0
2001-10,34.0
2001-11,34.66667
2001-12,35.33333
2002-01,36.0
2002-02,36.66667
2002-03,37.33333
2002-04,38.0
2002-05,37.66667
2002-06,37.33333
2002-07,37.0
2002-08,36.66667
2002-09,36.33333
2002-10,36.0
2002-11,35.66667
2002-12,35.33333
2003-01,35.0
2003-02,35.33333
2003-03,35.66667
2003-04,36.0
2003-05,37.33333
2003-06,38.66667
2003-07,40.0
2003-08,40.0
2003-09,40.0
2003-10,40.0
2003-11,41.0
2003-12,42.0
2004-01,43.0
2004-02,43.0
2004-03,42.7
2004-04,45.1
2004-05,47.3
2004-06,44.3
2004-07,48.7
2004-08,49.1
2004-09,46.2
2004-10,48.3
2004-11,48.3
2004-12,45.0
2005-01,47.7
2005-02,47.7
2005-03,44.7
2005-04,47.1
2005-05,47.3
2005-06,46.1
2005-07,48.2
2005-08,48.4
2005-09,45.6
2005-10,48.1
2005-11,48.6
2005-12,47.4
2006-01,50.0
2006-02,50.1
2006-03,47.7
2006-04,49.5
2006-05,48.9
2006-06,46.6
2006-07,48.4
2006-08,47.5
2006-09,46.0
2006-10,48.3
2006-11,49.1
2006-12,47.0
2007-01,49.0
2007-02,49.0
2007-03,46.7
2007-04,47.0
2007-05,46.3
2007-06,44.3
2007-07,44.1
2007-08,43.9
2007-09,43.5
2007-10,42.7
2007-11,40.3
2007-12,39.2
2008-01,38.5
2008-02,37.5
2008-03,36.9
2008-04,34.8
2008-05,33.0
2008-06,31.8
2008-07,30.7
2008-08,29.6
2008-09,30.7
2008-10,29.2
2008-11,28.8
2008-12,27.6
2009-01,27.5
2009-02,27.7
2009-03,29.4
2009-04,32.1
2009-05,34.9
2009-06,36.5
2009-07,38.6
2009-08,39.4
2009-09,39.8
2009-10,40.2
2009-11,40.2
2009-12,38.9
2010-01,40.1
2010-02,40.7
2010-03,41.4
2010-04,41.9
2010-05,42.0
2010-06,42.3
2010-07,42.3
2010-08,41.7
2010-09,40.7
2010-10,40.8
2010-11,41.3
2010-12,41.5
2011-01,41.7
2011-02,41.2
2011-03,38.5
2011-04,33.2
2011-05,34.2
2011-06,35.2
2011-07,36.8
2011-08,36.9
2011-09,38.2
2011-10,38.7
2011-11,38.6
2011-12,39.2
2012-01,39.9
2012-02,39.8
2012-03,40.0
2012-04,39.8
2012-05,40.2
2012-06,40.0
2012-07,39.8
2012-08,40.3
2012-09,40.2
2012-10,40.0
2012-11,40.1
2012-12,39.9
2013-01,43.2
2013-02,44.2
2013-03,44.8
2013-04,44.8
2013-05,45.2
2013-06,43.7
2013-07,43.5
2013-08,42.8
2013-09,45.5
2013-10,41.7
2013-11,42.9
2013-12,41.6
2014-01,40.3
2014-02,38.6
2014-03,37.2
2014-04,37.3
2014-05,39.0
2014-06,40.4
2014-07,41.5
2014-08,40.8
2014-09,40.1
2014-10,39.3
2014-11,38.2
2014-12,39.0
2015-01,39.0
2015-02,40.8
2015-03,41.3
2015-04,41.9
2015-05,41.4
2015-06,41.6
2015-07,41.0
2015-08,41.7
2015-09,40.8
2015-10,41.6
2015-11,42.4
2015-12,42.3
2016-01,42.0
2016-02,40.0
2016-03,41.3
2016-04,41.1
2016-05,41.0
2016-06,41.9
2016-07,41.6
2016-08,42.3
2016-09,43.0
2016-10,42.4
2016-11,40.8
2016-12,42.7
2017-01,42.7
2017-02,42.9
2017-03,43.8
2017-04,43.5
2017-05,43.7
2017-06,43.3
2017-07,44.1
2017-08,43.7
2017-09,44.1
2017-10,44.6
2017-11,44.4
2017-12,44.3
2018-01,44.4
2018-02,44.1
2018-03,44.1
2018-04,43.8
2018-05,44.2
2018-06,43.7
2018-07,43.8
2018-08,43.8
2018-09,43.4
2018-10,43.0
2018-11,42.5
2018-12,42.4
2019-01,41.6
2019-02,41.4
2019-03,40.3
2019-04,40.5
2019-05,39.8
2019-06,38.4
2019-07,38.0
2019-08,37.6
2019-09,35.6
2019-10,36.1
2019-11,38.4
2019-12,38.9
2020-01,39.0
2020-02,38.3
2020-03,30.9
2020-04,21.8
2020-05,24.4
2020-06,28.1
2020-07,29.6
2020-08,29.8
2020-09,32.5
2020-10,33.1
2020-11,33.3
2020-12,31.7
2021-01,29.9
2021-02,34.0
2021-03,36.0
2021-04,35.3
2021-05,34.4
2021-06,37.1
2021-07,37.6
2021-08,37.0
2021-09,37.6
2021-10,38.9
2021-11,39.2
2021-12,38.8
2022-01,36.8
2022-02,35.5
2022-03,32.5
2022-04,32.4
2022-05,33.1
2022-06,31.7
2022-07,30.1
2022-08,32.2
2022-09,30.8
2022-10,30.5
2022-11,29.7
2022-12,31.0
2023-01,31.3
2023-02,31.3
2023-03,33.9
2023-04,35.4
2023-05,36.0
2023-06,36.2
2023-07,37.1
2023-08,36.2
2023-09,35.2
2023-10,35.7
2023-11,36.1
