country,BGR,BGR
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1992-Q1,57.4,
1992-Q2,59.3,
1992-Q3,57.0,
1992-Q4,55.1,
1993-Q1,59.1,
1993-Q2,55.1,
1993-Q3,55.0,
1993-Q4,53.2,
1994-Q1,56.4,
1994-Q2,58.4,
1994-Q3,58.0,
1994-Q4,58.9,
1995-Q1,59.4,
1995-Q2,59.5,
1995-Q3,61.1,
1995-Q4,61.7,
1996-Q1,62.4,
1996-Q2,59.6,
1996-Q3,59.1,
1996-Q4,62.6,
1997-Q1,62.4,
1997-Q2,59.7,
1997-Q3,61.1,
1997-Q4,62.6,
1998-Q1,60.4,
1998-Q2,59.4,33.7
1998-Q3,58.9,27.6
1998-Q4,57.5,8.3
1999-Q1,54.3,20.8
1999-Q2,53.6,19.2
1999-Q3,51.6,17.4
1999-Q4,53.7,16.0
2000-Q1,54.1,14.4
2000-Q2,56.0,12.8
2000-Q3,55.8,10.9
2000-Q4,55.1,9.5
2001-Q1,55.9,8.4
2001-Q2,56.3,5.3
2001-Q3,57.1,3.0
2001-Q4,56.6,0.1
2002-Q1,56.4,0.0
2002-Q2,55.5,0.3
2002-Q3,57.4,2.2
2002-Q4,56.4,0.3
2003-Q1,57.7,-4.4
2003-Q2,59.0,-4.5
2003-Q3,60.1,-8.8
2003-Q4,60.3,-2.1
2004-Q1,60.2,-3.5
2004-Q2,61.7,-0.2
2004-Q3,62.5,4.3
2004-Q4,62.0,0.5
2005-Q1,63.5,5.1
2005-Q2,63.5,5.3
2005-Q3,63.2,6.4
2005-Q4,63.8,6.3
2006-Q1,61.7,3.9
2006-Q2,61.9,1.5
2006-Q3,73.7,22.3
2006-Q4,75.5,20.5
2007-Q1,75.4,18.4
2007-Q2,73.9,17.0
2007-Q3,70.7,15.3
2007-Q4,72.7,11.6
2008-Q1,72.0,11.0
2008-Q2,72.9,8.7
2008-Q3,71.6,8.1
2008-Q4,70.1,3.4
2009-Q1,66.3,-16.7
2009-Q2,65.3,-41.7
2009-Q3,63.0,-36.1
2009-Q4,62.3,-27.2
2010-Q1,62.9,-23.3
2010-Q2,64.7,-16.8
2010-Q3,65.4,-10.3
2010-Q4,67.1,-8.9
2011-Q1,67.1,-7.8
2011-Q2,67.7,-8.7
2011-Q3,69.1,-9.3
2011-Q4,68.0,-8.5
2012-Q1,68.3,-9.7
2012-Q2,66.7,-10.3
2012-Q3,68.1,-5.7
2012-Q4,65.7,-9.2
2013-Q1,67.3,-10.2
2013-Q2,66.3,-9.9
2013-Q3,67.7,-6.8
2013-Q4,67.5,-2.3
2014-Q1,68.1,0.7
2014-Q2,67.7,2.3
2014-Q3,74.1,5.3
2014-Q4,73.8,5.5
2015-Q1,73.8,6.4
2015-Q2,73.5,7.3
2015-Q3,73.6,6.1
2015-Q4,73.3,6.4
2016-Q1,74.4,5.3
2016-Q2,74.1,6.3
2016-Q3,74.4,6.4
2016-Q4,74.0,5.6
2017-Q1,73.7,6.2
2017-Q2,75.1,7.5
2017-Q3,75.2,8.1
2017-Q4,76.1,10.5
2018-Q1,76.3,10.4
2018-Q2,75.7,7.2
2018-Q3,77.5,10.6
2018-Q4,78.4,7.4
2019-Q1,78.4,8.3
2019-Q2,77.4,7.0
2019-Q3,77.6,2.4
2019-Q4,76.6,-0.6
2020-Q1,77.5,-4.1
2020-Q2,66.7,-41.6
2020-Q3,69.2,-35.4
2020-Q4,71.6,-7.2
2021-Q1,72.8,-6.2
2021-Q2,73.1,-7.1
2021-Q3,74.3,0.0
2021-Q4,73.5,-0.3
2022-Q1,73.9,-1.1
2022-Q2,75.3,2.2
2022-Q3,75.2,0.3
2022-Q4,75.1,-2.0
2023-Q1,75.5,-0.8
2023-Q2,75.9,-2.0
2023-Q3,74.3,-2.9
2023-Q4,74.4,-2.7
2024-Q1,73.3,-4.8
