country,DNK
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1987,80.925
1988,79.925
1989,81.175
1990,82.1
1991,80.925
1992,79.675
1993,77.8
1994,81.725
1995,83.0
1996,81.7
1997,83.425
1998,85.3
1999,82.025
2000,82.6
2001,82.625
2002,81.25
2003,80.475
2004,82.25
2005,83.3
2006,85.55
2007,87.95
2008,84.025
2009,74.75
2010,75.975
2011,78.025
2012,79.0
2013,78.15
2014,79.85
2015,80.625
2016,79.875
2017,79.75
2018,80.825
2019,81.0
2020,78.025
2021,81.85
2022,83.725
2023,82.1
