country,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-02,,,,,,,,,,,,,,,,,,19.80503,,,,,,,,,,
1972-05,,,,,,,,,,,,,,,,,,36.30936,,,,,,,,,,
1972-08,,,,,,,,,,,,,,,,,,45.22073,,,,,,,,,,
1972-11,,,,,,,,,,,,,,,,,,51.35588,,,,,,,,,,
1973-02,,,,,,,,,,,,,,,,,,50.79013,,,,,,,,,,
1973-05,,,,,,,,,,,,,,,,,,30.16902,,,,,,,,,,
1973-08,,,,,,,,,,,,,,,,,,40.23106,,,,,,,,,,
1973-11,,,,,,,,,,,,,,,,,,51.46693,,,,,,,,,,
1974-01,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,
1974-02,,,,,,,,,,,,,,,,,,51.72108,,,,,,,,-19.0,,
1974-03,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,
1974-04,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,,
1974-05,,,,,,,,,,,,,,,,,,70.83154,,,,,,,,-17.0,,
1974-06,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,
1974-07,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,
1974-08,,,,,,,,,,,,,,,,,,75.50838,,,,,,,,-17.0,,
1974-09,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,,
1974-10,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,,
1974-11,,,,,,,,,,,,,,,,,,67.8196,,,,,,,,-18.0,,
1974-12,,,,,,,,,,,,,,,,,,68.83,,,,,,,,-21.0,,
1975-01,,,,,,,,,,,,,,,,-14.46,,70.32,,,,,,,,-21.0,,
1975-02,,,,,,,,,,,,,,,,-19.61,,67.36,,,,,,,,-25.0,,
1975-03,,,,,,,,,,,,,,,,-17.62,,63.9,,,,,,,,-28.0,,
1975-04,,,,,,,,,,,,,,,,-20.09,,57.86,,,,,,,,-30.0,,
1975-05,,,,,,,,,,,,,,,,-14.54,,59.9,,,,,,,,-32.0,,
1975-06,,,,,,,,,,,,,,,,-11.18,,61.36,,,,,,,,-30.0,,
1975-07,,,,,,,,,,,,,,,,-10.53,,61.3,,,,,,,,-27.0,,
1975-08,,,,,,,,,,,,,,,,-11.76,,63.01,,,,,,,,-25.0,,
1975-09,,,,,,,,,,,,,,,,-1.75,,62.53,,,,,,,,-23.0,,
1975-10,,,,,,,,,,,,,,,,12.07,,62.86,,,,,,,,-21.0,,
1975-11,,,,,,,,,,,,,,,,3.35,,64.78,,,,,,,,-20.0,,
1975-12,,,,,,,,,,,,,,,,8.82,,62.4,,,,,,,,-18.0,,
1976-01,,,,,,,,,,,,,,,,16.88,,64.49,,,,,,,,-15.0,,
1976-02,,,,,,,,,,,,,,,,21.24,,64.72,,,,,,,,-13.0,,
