country,USA,USA,USA,USA
subject,BSCI,BSCURT,BSEMFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA
unit,,,,
powercode,Units,Units,Units,Units
reference_period,,,,
time,,,,
1950-Q1,21.13333,,,
1950-Q2,46.26667,,,
1950-Q3,47.6,,,
1950-Q4,26.26667,,,
1951-Q1,35.06667,,,
1951-Q2,-0.2,,,
1951-Q3,-10.8,,,
1951-Q4,-4.466667,,,
1952-Q1,-15.66667,,,
1952-Q2,-20.33333,,,
1952-Q3,9.866667,,,
1952-Q4,12.53333,,,
1953-Q1,10.2,,,
1953-Q2,-1.0,,,
1953-Q3,-13.33333,,,
1953-Q4,-26.73333,,,
1954-Q1,-18.13333,,,
1954-Q2,-0.06666667,,,
1954-Q3,2.533333,,,
1954-Q4,20.53333,,,
1955-Q1,32.2,,,
1955-Q2,34.33333,,,
1955-Q3,28.93333,,,
1955-Q4,27.53333,,,
1956-Q1,17.06667,,19.4288,
1956-Q2,3.2,,0.2623311,
1956-Q3,0.8,,1.971208,
1956-Q4,6.933333,,9.718764,
1957-Q1,1.4,,8.942272,
1957-Q2,-11.73333,,-14.99714,
1957-Q3,-8.8,,-15.59618,
1957-Q4,-21.13333,,-30.55757,
1958-Q1,-26.4,,-35.91194,
1958-Q2,-8.6,,-21.1046,
1958-Q3,14.53333,,2.625898,
1958-Q4,23.66667,,17.43153,
1959-Q1,32.26667,,21.55515,
1959-Q2,33.0,,29.69736,
1959-Q3,9.933333,,7.214605,
1959-Q4,5.666667,,0.387099,
1960-Q1,7.733333,,8.0797,
1960-Q2,-11.8,,-17.17505,
1960-Q3,-8.866667,,-16.96593,
1960-Q4,-10.26667,,-14.56653,
1961-Q1,-8.933333,,-21.53191,
1961-Q2,16.4,,11.27052,
1961-Q3,21.26667,,16.11266,
1961-Q4,23.6,,15.02012,
1962-Q1,21.73333,,17.59884,
1962-Q2,5.4,,7.247836,
1962-Q3,0.3333333,,-1.394969,
1962-Q4,8.133333,,2.097317,
1963-Q1,10.0,,3.271162,
1963-Q2,17.06667,,6.259186,
1963-Q3,11.66667,,5.35148,
1963-Q4,12.8,,4.404767,
1964-Q1,16.8,,5.475419,
1964-Q2,18.66667,,11.64003,
1964-Q3,26.33333,,14.22179,
1964-Q4,23.26667,,11.5091,
1965-Q1,25.33333,,17.60061,
1965-Q2,21.33333,,14.24338,
1965-Q3,18.13333,,13.71688,
1965-Q4,20.53333,,14.30353,
1966-Q1,31.33333,,23.34955,
1966-Q2,20.6,,17.53624,
1966-Q3,18.33333,,14.76428,
1966-Q4,8.866667,,8.767469,
1967-Q1,-5.333333,88.58453,-3.791021,
1967-Q2,-10.6,86.7784,-11.61022,
1967-Q3,4.4,85.95454,2.687831,
1967-Q4,9.266666,87.3031,2.46104,
1968-Q1,10.26667,87.3264,2.50432,
1968-Q2,11.2,87.27853,6.746921,
1968-Q3,5.733333,86.67236,-3.552296,
1968-Q4,13.33333,87.09914,6.413254,
1969-Q1,12.66667,87.67143,8.689733,
1969-Q2,11.6,86.92397,6.428815,
1969-Q3,8.0,86.843,3.007185,
1969-Q4,6.533333,85.17727,0.08552818,
1970-Q1,-4.666667,81.84277,-9.431889,
1970-Q2,-4.466667,80.44603,-18.98577,
1970-Q3,-6.066667,79.1387,-20.13059,
1970-Q4,-15.0,76.40183,-23.86193,
1971-Q1,2.6,77.5462,-11.16369,
1971-Q2,8.333333,77.67727,-6.593891,
1971-Q3,8.733334,77.42893,0.4596044,
1971-Q4,9.933333,79.16206,-1.360997,
1972-Q1,20.0,81.80177,7.067335,
1972-Q2,19.53333,82.8565,11.07088,
1972-Q3,24.6,83.35993,11.99735,
1972-Q4,38.26667,85.70907,21.07229,
1973-Q1,40.86666,87.6636,29.12304,
1973-Q2,31.66667,87.61923,22.95705,
1973-Q3,22.66667,87.36383,12.09761,
1973-Q4,31.93333,88.11663,18.21325,
1974-Q1,21.66667,86.56087,9.587718,
1974-Q2,13.53333,85.72107,3.124887,
1974-Q3,2.6,84.7454,-3.373195,
1974-Q4,-25.66667,80.4802,-19.58377,
1975-Q1,-35.53333,73.51157,-34.24146,
1975-Q2,-17.46667,71.92564,-21.41956,
1975-Q3,2.0,73.84607,-1.636574,
1975-Q4,9.933333,75.32417,-0.2314005,
1976-Q1,19.13333,77.3502,8.92969,
1976-Q2,18.4,78.0969,11.14494,
1976-Q3,9.333333,78.68677,8.458262,
1976-Q4,7.866667,79.3082,3.092891,
1977-Q1,12.13333,80.6792,3.876972,
1977-Q2,15.6,82.8604,6.21243,
1977-Q3,11.0,83.1817,6.137672,
1977-Q4,14.2,83.23873,11.14915,
1978-Q1,12.2,82.63696,7.064233,7.366667
1978-Q2,18.93333,84.7155,12.53424,8.3
1978-Q3,22.0,84.79697,14.44145,8.866667
1978-Q4,20.53333,85.73367,16.13876,8.6
1979-Q1,16.26667,85.33707,11.8572,10.36667
1979-Q2,8.866667,84.34883,3.306772,11.7
1979-Q3,0.2666667,83.5143,0.6475943,11.03333
1979-Q4,-5.466667,82.94144,-2.379517,11.03333
1980-Q1,-6.666667,82.55103,-8.200377,12.56667
1980-Q2,-35.26667,77.8801,-28.66729,10.16667
1980-Q3,-12.93333,75.72894,-19.83453,9.366667
1980-Q4,11.13333,78.5143,3.658182,10.23333
1981-Q1,-1.6,78.0007,-4.494552,8.533334
1981-Q2,3.866667,77.90047,-1.774465,8.566667
1981-Q3,-8.333333,77.2097,-11.31678,8.033334
1981-Q4,-24.06667,74.67173,-27.76991,7.866667
1982-Q1,-24.46667,72.4271,-31.61561,6.2
1982-Q2,-25.6,71.63177,-40.76292,5.233333
1982-Q3,-23.0,70.64187,-38.57323,5.833333
1982-Q4,-19.06667,68.92637,-34.25013,5.3
1983-Q1,2.866667,70.2942,-12.65333,4.1
1983-Q2,11.86667,72.2148,-2.795453,4.533333
1983-Q3,26.13333,74.6901,11.35837,4.833333
1983-Q4,33.53333,76.7528,16.79947,5.066667
1984-Q1,20.46667,78.80497,9.568172,4.9
1984-Q2,18.46667,79.58183,10.50941,5.3
1984-Q3,6.066667,79.68597,3.366397,4.4
1984-Q4,1.133333,79.53976,-6.381698,5.033333
1985-Q1,-1.333333,78.86594,-10.17753,4.366667
1985-Q2,-4.6,78.33717,-11.39189,4.833333
1985-Q3,-3.0,77.77496,-14.79242,4.066667
1985-Q4,2.4,77.7767,-12.94404,4.733333
1986-Q1,2.133333,78.38696,-11.5677,3.633333
1986-Q2,2.4,78.17907,-11.90352,3.466667
1986-Q3,2.0,78.37724,-13.11754,3.733333
1986-Q4,1.933333,78.9446,-15.18958,3.766667
1987-Q1,8.333333,79.54093,-4.323411,3.866667
1987-Q2,13.4,80.29076,3.235095,4.266667
1987-Q3,17.93333,81.1952,2.306943,4.266667
1987-Q4,20.33333,82.92783,8.823986,4.0
1988-Q1,12.2,83.23434,2.461037,4.233333
1988-Q2,13.73333,83.98557,0.3661429,4.966667
1988-Q3,12.53333,84.0521,2.040446,5.466667
1988-Q4,11.4,84.7809,6.337364,5.166667
1989-Q1,6.866667,84.90504,1.699134,5.166667
1989-Q2,-0.8,83.81807,-3.045999,5.266667
1989-Q3,-8.666667,82.5197,-10.31888,4.733333
1989-Q4,-6.0,81.92627,-10.4958,4.566667
1990-Q1,-2.533333,82.17613,-7.810253,5.1
1990-Q2,-0.8666667,82.16946,-8.078321,4.633333
1990-Q3,-8.533334,81.87746,-12.63763,5.5
1990-Q4,-16.46667,80.10827,-23.01852,5.6
1991-Q1,-20.46667,77.98457,-28.55485,4.6
1991-Q2,-8.266666,78.09033,-22.95277,4.4
1991-Q3,5.6,79.2156,-11.5312,3.833333
1991-Q4,-0.4,79.19736,-14.91029,4.233333
1992-Q1,3.066667,78.83787,-14.7685,3.133333
1992-Q2,7.933333,79.86197,-6.230515,3.566667
1992-Q3,4.666667,80.0819,-8.016859,3.9
1992-Q4,5.4,80.12313,-8.055851,3.7
1993-Q1,9.666667,80.5712,-5.517907,4.266667
1993-Q2,0.6666667,80.43687,-12.83078,4.366667
1993-Q3,1.133333,80.18224,-13.3373,4.6
1993-Q4,8.533334,81.12704,-7.312734,3.7
1994-Q1,12.93333,81.52177,-3.32415,3.833333
1994-Q2,16.26667,82.69043,0.3555961,4.133333
1994-Q3,17.0,83.08313,4.251104,4.5
1994-Q4,16.46667,84.16973,-0.2914563,4.1
1995-Q1,9.733334,84.10474,0.3848428,4.1
1995-Q2,-3.933333,83.25423,-8.790827,4.033333
1995-Q3,-2.733333,82.82613,-7.536176,3.9
1995-Q4,-7.466667,82.4916,-8.695596,3.466667
1996-Q1,-7.8,81.60664,-10.88225,3.9
1996-Q2,1.333333,82.24757,-8.742902,4.466667
1996-Q3,1.6,82.452,-5.828414,4.2
1996-Q4,5.8,82.29557,-5.140863,3.966667
1997-Q1,7.133333,82.76293,-1.988218,3.8
1997-Q2,9.8,82.69276,2.796852,3.633333
1997-Q3,11.93333,83.18867,3.026131,3.4
1997-Q4,11.06667,83.71563,5.204154,3.333333
1998-Q1,6.4,83.11607,3.218286,2.766667
1998-Q2,1.333333,81.76503,-3.200146,3.0
1998-Q3,-1.866667,80.86463,-8.152933,2.833333
1998-Q4,-4.2,81.05354,-11.76548,2.7
1999-Q1,3.133333,80.85207,-6.741694,2.966667
1999-Q2,8.266666,80.6023,0.8962611,3.1
1999-Q3,10.26667,80.21357,3.352736,3.133333
1999-Q4,15.4,80.8811,7.355134,3.466667
2000-Q1,11.6,80.7776,4.477598,3.6
2000-Q2,6.2,80.772,4.529026,3.466667
2000-Q3,1.4,79.73386,1.183382,3.633333
2000-Q4,-5.933333,78.2838,-7.667249,3.766667
2001-Q1,-16.6,76.2684,-19.58421,3.433333
2001-Q2,-14.06667,74.54333,-28.76123,3.866667
2001-Q3,-6.2,72.88654,-19.82761,3.1
2001-Q4,-11.86667,71.78257,-24.87667,1.5
2002-Q1,4.866667,72.16187,-11.90433,2.566667
2002-Q2,10.26667,73.08307,-5.405428,3.066667
2002-Q3,2.266667,73.63177,-8.146009,2.8
2002-Q4,1.533333,73.53313,-7.313365,2.7
2003-Q1,-0.6,73.91814,-11.76384,3.233333
2003-Q2,-2.0,73.50487,-14.01737,2.566667
2003-Q3,8.133333,74.00536,-6.864362,2.833333
2003-Q4,20.6,74.86266,2.386465,3.0
2004-Q1,24.93333,75.42834,10.79085,3.066667
2004-Q2,24.93333,76.11407,19.13779,3.966667
2004-Q3,19.4,76.85146,13.77234,3.266667
2004-Q4,14.86667,77.734,10.52259,3.433333
2005-Q1,11.46667,78.64817,12.35524,3.6
2005-Q2,6.4,78.69913,0.9356195,3.933333
2005-Q3,11.93333,78.1064,5.281116,4.266667
2005-Q4,14.0,78.8068,9.306942,4.566667
2006-Q1,9.4,79.1551,7.772027,3.733333
2006-Q2,8.266666,78.9365,4.869902,4.5
2006-Q3,5.866667,78.7101,0.958738,4.0
2006-Q4,1.533333,78.482,-0.432439,3.5
2007-Q1,1.0,78.7188,2.25785,3.6
2007-Q2,6.0,79.18763,3.974535,4.166667
2007-Q3,2.666667,78.697,-0.9577567,4.066667
2007-Q4,-0.8,78.56727,-0.7996114,4.133333
2008-Q1,-1.6,77.97697,-3.568653,4.166667
2008-Q2,-1.066667,76.461,-10.12043,6.4
2008-Q3,-4.4,73.94817,-7.341622,5.4
2008-Q4,-28.33333,69.79763,-32.84092,2.966667
2009-Q1,-28.2,65.29263,-42.2771,2.4
2009-Q2,-14.06667,63.7623,-29.08002,3.4
2009-Q3,2.866667,65.3514,-8.307912,3.133333
2009-Q4,9.2,66.74667,4.668379,3.1
2010-Q1,17.26667,68.14336,10.80438,3.466667
2010-Q2,15.13333,70.2245,13.83358,3.733333
2010-Q3,10.4,71.33466,16.43879,3.033333
2010-Q4,15.73333,71.94196,17.85454,3.633333
2011-Q1,18.93333,72.72614,24.19269,4.6
2011-Q2,13.0,72.8293,19.89987,4.833333
2011-Q3,5.6,73.59213,7.845058,4.366667
2011-Q4,3.666667,74.13527,8.144003,3.9
2012-Q1,6.8,74.8661,9.419279,4.266667
2012-Q2,5.6,74.717,13.82128,3.7
2012-Q3,1.666667,74.22803,4.365356,4.066667
2012-Q4,-0.6,74.2101,2.478019,4.0
2013-Q1,6.666667,74.52267,7.722561,4.3
2013-Q2,1.933333,74.4512,0.7673045,4.0
2013-Q3,9.866667,74.45596,7.406799,4.133333
2013-Q4,11.53333,74.77734,8.987572,3.7
2014-Q1,8.0,74.6624,6.239388,4.166667
2014-Q2,11.0,75.63486,9.027741,4.033333
2014-Q3,13.0,76.1195,10.73269,3.933333
2014-Q4,13.13333,76.3817,9.350957,3.166667
2015-Q1,6.333333,75.989,5.404222,3.1
