country,LUX,LUX
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-Q1,73.4,-3.3
1985-Q2,82.4,53.7
1985-Q3,80.4,-2.3
1985-Q4,79.4,-3.3
1986-Q1,83.4,-9.3
1986-Q2,83.4,-5.3
1986-Q3,81.4,-35.3
1986-Q4,81.4,-41.3
1987-Q1,73.4,-37.3
1987-Q2,79.4,4.7
1987-Q3,78.4,-0.3
1987-Q4,80.4,1.7
1988-Q1,80.4,-1.3
1988-Q2,81.4,1.7
1988-Q3,82.4,2.7
1988-Q4,82.4,-2.3
1989-Q1,81.4,-0.3
1989-Q2,84.4,7.7
1989-Q3,84.4,1.7
1989-Q4,85.4,4.7
1990-Q1,80.4,-3.3
1990-Q2,82.4,-2.3
1990-Q3,82.4,-3.3
1990-Q4,81.4,-12.3
1991-Q1,81.4,-13.3
1991-Q2,80.4,-41.3
1991-Q3,79.4,-48.3
1991-Q4,81.4,-42.3
1992-Q1,77.4,-36.3
1992-Q2,79.4,-36.3
1992-Q3,78.4,-35.3
1992-Q4,77.4,-41.3
1993-Q1,77.3,-50.3
1993-Q2,79.3,-12.3
1993-Q3,79.5,-30.3
1993-Q4,77.4,-23.3
1994-Q1,78.2,-20.3
1994-Q2,79.2,-5.3
1994-Q3,81.1,-4.3
1994-Q4,80.2,15.7
1995-Q1,80.9,16.7
1995-Q2,81.6,12.7
1995-Q3,81.8,-4.3
1995-Q4,80.0,-10.3
1996-Q1,77.2,-38.3
1996-Q2,79.1,-34.3
1996-Q3,77.4,-16.3
1996-Q4,76.0,-7.3
1997-Q1,77.4,-5.3
1997-Q2,81.1,5.7
1997-Q3,82.9,-5.3
1997-Q4,83.3,26.7
1998-Q1,86.3,7.7
1998-Q2,87.4,19.7
1998-Q3,84.5,4.7
1998-Q4,85.1,-5.3
1999-Q1,83.7,-15.3
1999-Q2,83.4,-12.3
1999-Q3,85.0,-7.3
1999-Q4,86.2,25.7
2000-Q1,85.5,26.7
2000-Q2,86.9,24.7
2000-Q3,87.6,20.6
2000-Q4,87.8,6.3
2001-Q1,86.7,3.8
2001-Q2,86.9,-12.5
2001-Q3,86.5,-33.6
2001-Q4,84.7,-34.1
2002-Q1,83.9,-55.2
2002-Q2,83.1,-38.0
2002-Q3,83.6,-35.5
2002-Q4,84.0,-4.1
2003-Q1,82.5,-4.2
2003-Q2,84.5,-12.1
2003-Q3,83.8,-5.0
2003-Q4,83.2,-0.6
2004-Q1,81.5,-3.8
2004-Q2,84.4,18.5
2004-Q3,86.8,10.1
2004-Q4,84.2,-19.6
2005-Q1,81.5,-20.8
2005-Q2,79.5,-23.8
2005-Q3,74.9,-24.6
2005-Q4,80.1,1.8
2006-Q1,79.2,1.6
2006-Q2,81.7,13.3
2006-Q3,86.1,6.2
2006-Q4,87.2,3.2
2007-Q1,87.0,10.3
2007-Q2,86.5,11.2
2007-Q3,86.5,10.6
2007-Q4,86.4,11.8
2008-Q1,84.1,-32.7
2008-Q2,84.3,1.9
2008-Q3,85.1,1.9
2008-Q4,84.3,-34.1
2009-Q1,64.4,-75.8
2009-Q2,61.4,-47.1
2009-Q3,65.4,-22.6
2009-Q4,73.6,14.3
2010-Q1,76.2,15.4
2010-Q2,78.5,-2.1
2010-Q3,80.9,-16.4
2010-Q4,80.0,-15.0
2011-Q1,80.3,2.7
2011-Q2,85.2,12.9
2011-Q3,82.2,-0.3
2011-Q4,81.5,12.8
2012-Q1,77.2,-24.8
2012-Q2,82.3,-21.8
2012-Q3,77.8,-17.9
2012-Q4,65.8,-36.3
2013-Q1,65.7,-45.5
2013-Q2,64.6,-33.1
2013-Q3,64.7,-23.0
2013-Q4,67.1,-16.5
2014-Q1,66.9,-14.4
2014-Q2,65.9,-8.6
2014-Q3,65.8,-8.3
2014-Q4,65.9,-15.0
2015-Q1,65.0,-13.2
2015-Q2,66.3,-6.5
2015-Q3,70.4,-1.4
2015-Q4,72.4,-4.6
2016-Q1,71.7,-10.1
2016-Q2,76.3,20.3
2016-Q3,78.5,-1.3
2016-Q4,81.0,-10.5
2017-Q1,81.2,2.2
2017-Q2,81.5,12.3
2017-Q3,80.2,19.2
2017-Q4,81.9,7.3
2018-Q1,82.8,11.8
2018-Q2,81.8,1.7
2018-Q3,80.7,7.2
2018-Q4,80.0,13.3
2019-Q1,80.2,3.3
2019-Q2,79.8,-23.9
2019-Q3,80.3,-26.3
2019-Q4,79.7,-31.9
2020-Q1,84.2,-24.5
2020-Q2,49.9,-44.1
2020-Q3,78.6,-23.7
2020-Q4,77.2,-4.5
2021-Q1,78.7,11.7
2021-Q2,83.6,22.9
2021-Q3,83.7,42.1
2021-Q4,81.8,37.2
2022-Q1,81.9,10.0
2022-Q2,79.9,9.3
2022-Q3,81.4,-13.1
