country,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07,,,,,,,,,,,,4.8,,22.1,18.2,18.4,,,,,,,,,,,,
1991-08,,,,,,,,,,,,5.1,,21.0,18.3,18.2,,,,,,,,,,,,
1991-09,,,,,,,,,,,,5.4,,20.2,18.5,17.9,,,,,,,,,,,,
1991-10,,,,,,,,,,,,1.2,,15.1,18.9,-0.3,,,,,,,,,,,,
1991-11,,,,,,,,,,,,1.3,,14.6,19.1,-0.6,,,,,,,,,,,,
1991-12,,,,,,,,,,,,1.5,,14.0,19.3,-0.8,,,,,,,,,,,,
1992-01,,,,,,,,,,,,1.0,-55.1,12.4,16.0,-0.7,,,,,,,,,,,,
1992-02,,,,,,,,,,,,1.1,-56.0,12.0,16.3,-1.0,,,,,,,,,,,,
1992-03,,,,,,,,,,,,1.3,-56.4,11.6,16.5,-1.2,,,,,,,,,,,,
1992-04,,,,,,,,,,,,-3.5,-65.4,43.2,14.2,18.6,,,,,,,,,,,,
1992-05,,,,,,,,,,,,-3.4,-65.3,42.9,14.4,18.3,,,,,,,,,,,,
1992-06,,,,,,,,,,,,-3.3,-65.4,42.5,14.6,18.1,,,,,,,,,,,,
1992-07,,,,,,,,,,,,-26.9,-73.5,53.3,-15.8,-11.6,,,,,,,,,,,,
1992-08,,,,,,,,,,,,-26.6,-73.5,52.3,-15.6,-11.9,,,,,,,,,,,,
1992-09,,,,,,,,,,,,-26.3,-73.5,51.4,-15.4,-12.1,,,,,,,,,,,,
1992-10,,,,,,,,,,,,-19.4,-58.9,30.9,-15.9,-11.3,,,,,,,,,,,,
1992-11,,,,,,,,,,,,-19.2,-58.4,30.4,-15.7,-11.6,,,,,,,,,,,,
1992-12,,,,,,,,,,,,-19.1,-58.1,29.9,-15.4,-11.9,,,,,,,,,,,,
1993-01,,,,,,,,,,,,-4.6,-52.0,24.1,-12.0,22.4,,,,,,,,,,,,
1993-02,,,,,,,,,,,,-4.5,-53.0,23.8,-11.7,22.1,,,,,,,,,,,,
1993-03,,,,,,,,,,,,-4.3,-53.4,23.4,-11.4,21.9,,,,,,,,,,,,
1993-04,,,,,,,,,,,,-9.6,-39.4,18.1,-28.1,17.4,,81.4,,,,,,,,,,
1993-05,,,,,,,,,,,,-9.5,-39.3,17.8,-27.9,17.2,,81.6,,,,,,,,,,
1993-06,,,,,,,,,,,,-9.4,-39.4,17.5,-27.6,17.0,,82.0,,,,,,,,,,
1993-07,,,,,,,,,,,,-6.5,-39.6,3.4,-25.9,9.9,19.1,85.9,-22.5,,,,,,,,,
1993-08,,,,,,,,,,,,-6.2,-39.5,2.6,-25.6,9.8,18.4,86.1,-22.5,,,,,,,,,
