country,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
subject,BCBUTE,BCEMFT,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRVSLV,BSBUCT,BSCI,BSCURT,BSEMFT,BSFGLV,BSSPFT,BVBUTE,BVEMFT,BVEMTE
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,
1974-Q2,-20.0,-22.0,,-20.75252,-8.824231,,-25.0,,9.339855,9.339855,11.0,-27.17126,28.0,-16.31864,14.0,-35.0,
1974-Q3,-27.0,-17.0,,-3.714657,-9.853863,,-25.0,,-18.2492,-18.2492,0.0,-14.53719,46.0,-10.29954,-1.0,-31.0,
1974-Q4,-31.0,-1.0,,-6.255267,-18.91031,,-21.0,,-33.51328,-33.51328,-13.0,6.15269,50.0,0.6997782,-11.0,-20.0,
1975-Q1,-23.0,12.0,,-14.55291,-23.67359,,-5.0,,-46.52886,-46.52886,-29.0,16.61308,53.0,5.887345,-20.0,-1.0,
1975-Q2,-11.0,11.0,,-8.31794,-19.42898,,-6.0,,-53.78135,-53.78135,-34.0,16.79785,47.0,2.831715,-22.0,-4.0,
1975-Q3,-15.0,16.0,,-19.70937,-23.83135,,-11.0,,-50.22024,-50.22024,-31.0,16.33595,40.0,3.488618,-19.0,-6.0,
1975-Q4,-9.0,23.0,,-23.56454,-21.17292,,-2.0,,-39.29224,-39.29224,-29.0,14.21212,32.0,-2.323453,-15.0,-3.0,
1976-Q1,-8.0,24.0,,-10.72701,-18.84822,,3.0,,-28.71501,-28.71501,-28.0,8.810243,30.0,-6.974839,-6.0,5.0,
1976-Q2,5.0,14.0,,3.1468,-11.05158,,-6.0,,-15.94208,-15.94208,-22.0,4.714087,24.0,-10.87429,0.0,-1.0,
1976-Q3,-7.0,18.0,,2.606824,-9.533115,,-8.0,,-6.097017,-6.097017,-17.0,0.003947305,22.0,-17.07305,7.0,-3.0,
1976-Q4,-8.0,20.0,,10.85202,-9.601709,,-13.0,,-4.935271,-4.935271,-14.0,-2.639149,23.0,-15.29788,5.0,-8.0,
1977-Q1,-9.0,15.0,,5.820936,-8.263655,,-4.0,,-10.06243,-10.06243,-18.0,1.264186,28.0,-10.67375,2.0,-11.0,
1977-Q2,-12.0,15.0,,-6.14529,-16.57815,,-5.0,,-16.17539,-16.17539,-18.0,6.450657,30.0,-2.493312,5.0,-12.0,
1977-Q3,-11.0,14.0,,-2.801069,-15.13431,,-2.0,,-21.86336,-21.86336,-21.0,9.577779,33.0,3.194014,6.0,2.0,
1977-Q4,-11.0,13.0,,-6.054532,-12.8741,,-3.0,,-21.45512,-21.45512,-21.0,11.57851,30.0,5.656266,12.0,-3.0,
1978-Q1,-2.0,6.0,,-4.866789,-12.04004,,1.0,,-16.68098,-16.68098,-24.0,12.83882,30.0,11.80258,1.0,1.0,
1978-Q2,9.0,2.0,,6.109787,-2.962168,,0.0,,-10.36192,-10.36192,-21.0,10.0511,26.0,13.80577,5.0,-3.0,
1978-Q3,9.0,1.0,,16.46173,13.4257,,-4.0,,-1.364949,-1.364949,-16.0,8.147506,22.0,14.30817,7.0,3.0,
1978-Q4,11.0,-3.0,,22.08277,21.61266,,-5.0,,2.90927,2.90927,-14.0,7.855552,21.0,12.93475,9.0,-3.0,
