country,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
subject,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSOITE,BSPRFT,BSPRTE,BSSPFT,BSXRLV
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,
time,,,,,,,,,,
1992-09,-45.41829,,,55.0,-40.0,,-41.25486,,71.81405,-39.0
1992-10,-29.38408,,,36.0,-27.0,,-25.15224,,75.09165,-34.0
1992-11,-26.36835,,,35.0,-30.0,,-14.10504,,81.37657,-36.0
1992-12,-23.82637,,,42.0,-26.0,,-3.479098,,81.75005,-44.0
1993-01,-12.91541,,,22.0,-32.0,,15.25377,,83.23667,-31.0
1993-02,-16.65506,,,23.0,-30.0,,3.034814,,86.43512,-34.0
1993-03,-19.14997,,,27.0,-33.0,,2.550092,,88.96143,-34.0
1993-04,-17.15819,,,14.0,-34.0,0.9306456,-3.474583,-17.77405,95.69663,-29.0
1993-05,-22.94965,,,22.0,-41.0,1.983644,-5.84895,-8.902363,92.37673,-36.0
1993-06,-27.79482,,,32.0,-42.0,-1.442102,-9.384452,-14.53924,98.07476,-30.0
1993-07,-23.80759,,,19.0,-42.0,-13.61496,-10.42278,-21.13036,96.37574,-26.0
1993-08,-25.2179,,,16.0,-41.0,-23.62856,-18.65371,-31.72532,92.05893,-40.0
1993-09,-28.51178,,,24.0,-47.0,-36.23952,-14.53533,-39.82743,92.16744,-32.0
1993-10,-42.6742,,,38.0,-70.0,-42.70103,-20.02259,-31.9206,91.06065,-29.0
1993-11,-48.4129,,,41.0,-80.0,-47.08396,-24.2387,-39.66922,87.71462,-36.0
1993-12,-50.30139,,,41.0,-82.0,-52.80122,-27.90417,-44.2301,76.82605,-40.0
1994-01,-54.67106,,,47.0,-81.0,-56.26075,-36.01319,-23.64938,83.28996,-34.0
1994-02,-56.81411,,,47.0,-86.0,-57.07829,-37.44234,-49.45361,84.87612,-38.0
