country,SVN
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1996,77.5
1997,78.75
1998,80.25
1999,78.05
2000,79.75
2001,81.2
2002,80.9
2003,81.275
2004,81.6
2005,82.325
2006,83.875
2007,85.7
2008,83.825
2009,71.25
2010,76.35
2011,79.8
2012,78.8
2013,78.275
2014,80.3
2015,83.35
2016,83.65
2017,85.15
2018,85.325
2019,84.3
2020,78.4
2021,84.475
2022,84.95
2023,83.15
