country,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
subject,BCCI,BCEMFT,BCOBLV,BRBUFT,BRBUTE,BRCI,BREMFT,BRVSLV,BSCURT,BSSPFT,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,
time,,,,,,,,,,,,,
1967-Q2,,,,,,,,,86.79,,,,
1967-Q3,,,,,,,,,85.61,,,,
1967-Q4,,,,,,,,,85.48,,,,
1968-Q1,,,,,,,,,85.11,,,,
1968-Q2,,,,,,,,,87.8,,,,
1968-Q3,,,,,,,,,82.62,,,,
1968-Q4,,,,,,,,,87.48,,,,
1969-Q1,,,,,,,,,87.06,,,,
1969-Q2,,,,,,,,,85.83,,,,
1969-Q3,,,,,,,,,87.64,,,,
1969-Q4,,,,,,,,,89.48,,,,
1970-Q1,,,,,,,,,87.99,,,,
1970-Q2,,,,,,,,,88.88,,,,
1970-Q3,,,,,,,,,88.7,,,,
1970-Q4,,,,,,,,,88.44,,,,
1971-Q1,,,,,,,,,89.94,,,,
1971-Q2,,,,,,,,,84.17,,,,
1971-Q3,,,,,,,,,89.75,,,,
1971-Q4,,,,,,,,,82.41,,,,
1972-Q1,,,,,,,,,88.24,,,,
1972-Q2,,,,,,,,,85.12,,,,
1972-Q3,,,,,,,,,87.09,,,,
1972-Q4,,,,,,,,,86.22,,19.95339,-2.704036,150.8807
1973-Q1,,,,,,,,,86.79,,11.17134,-12.47844,127.5633
1973-Q2,,,,,35.52,,,17.92667,81.61,,8.187784,-23.60866,131.2818
1973-Q3,,,,,20.27,,,22.35333,78.49,,6.371005,-21.10717,119.4955
1973-Q4,,,,,25.90333,,,16.04667,86.08,,-1.00954,-31.43782,146.749
1974-Q1,,,,,23.7,,,19.33,85.98,,-1.61672,-31.77983,147.5697
1974-Q2,,,,,16.89667,,,30.6,89.55,,-13.24268,-58.81911,143.6375
1974-Q3,,,,,24.45,,,21.80667,87.71,,-12.71084,-46.81134,136.7793
1974-Q4,,,,,38.46,,,2.44,85.41,,-17.36426,-59.08693,131.8261
1975-Q1,,,,,3.253333,,,13.9,82.24,,-21.65046,-48.14907,113.927
1975-Q2,,,,,-10.15,,,35.2,81.49,,-18.19679,-43.54035,52.12095
1975-Q3,,,,,-22.85333,,,26.34,75.61,,-19.59223,-28.96543,41.96599
1975-Q4,,,,,-37.12667,,,27.0,75.24,,-15.65107,-35.9708,30.28055
1976-Q1,,,,,-13.70333,,,12.91333,75.38,,-18.0456,-32.49949,25.83882
1976-Q2,,,,,2.703333,,,7.323333,76.47,,-2.357714,8.285444,42.05716
1976-Q3,,,,,2.273333,,,16.58667,79.18,,8.082212,27.0515,61.8378
1976-Q4,,,,,2.563333,,,21.68333,78.67,,4.644619,17.11502,50.14513
1977-Q1,,,,,10.06,,,10.88333,78.5,,-9.61395,-13.87906,57.47604
1977-Q2,,,,,22.37,,,12.83,78.4,,3.428825,-0.4594368,64.05268
1977-Q3,,,,,34.19667,,,21.69667,78.93,,6.719834,13.16008,65.36211
1977-Q4,,,,,23.76667,,,20.70333,80.45,,4.196763,13.2221,65.38409
1978-Q1,,,,,16.89667,,,21.47333,80.91,,8.142725,10.95432,60.10212
1978-Q2,,,,,13.43333,,,24.19,80.23,,3.79218,0.6428287,61.39756
1978-Q3,,,,,-7.82,,,23.70333,80.09,,4.800713,-8.361291,44.18064
1978-Q4,,,,,-22.45667,,,24.83333,78.75,,-3.709563,-28.98567,53.24783
1979-Q1,,,,,-11.19,,,18.22667,79.32,,3.955378,-11.4911,68.94349
1979-Q2,,,,,-8.156667,,,10.89333,81.52,,6.477407,2.141451,80.24057
1979-Q3,,,,,-17.76667,,,10.01667,81.5,,-3.321281,-25.01718,82.74801
1979-Q4,,,,,17.94,,,13.39667,82.96,,-1.497868,-22.65135,88.36683
1980-Q1,,,,,29.55333,,,14.81667,84.37,,0.3773606,-15.88268,95.56398
1980-Q2,,,,,36.68667,,,12.58333,86.68,,-0.305052,-18.36403,96.17049
1980-Q3,,,,,25.66,,,20.24667,87.26,,-0.3725471,-19.73905,87.53059
1980-Q4,,,,,48.15,,,7.256667,86.9,,-1.262673,-25.07619,98.51331
1981-Q1,,,,,34.30333,,,16.63333,86.72,,-4.371711,-28.69884,111.8968
1981-Q2,,,,,29.03333,,,16.94,85.17,,-15.8785,-41.86311,112.5233
1981-Q3,,,,,30.83333,,,22.07333,84.72,,-15.34994,-45.45869,123.9612
1981-Q4,,,,,27.29333,,,23.86333,85.06,,-20.04461,-43.47905,108.8325
1982-Q1,,,,,8.01,,,15.98,83.74,,-14.95262,-40.84637,94.9998
1982-Q2,,,,,4.896667,,,27.35667,81.32,,-15.25226,-36.82578,89.17863
1982-Q3,,,,,5.75,,,14.54667,79.87,,-20.13923,-52.66798,105.4263
1982-Q4,,,,,-6.456666,,,21.54333,78.74,,-18.86142,-47.41099,89.67576
1983-Q1,,,,,14.92333,,,26.47667,78.88,,-18.33703,-42.14891,70.38754
1983-Q2,,,,,10.58667,,,11.61,79.48,,-5.522699,-9.677341,73.72065
1983-Q3,,,,,2.143333,,,26.31,80.31,,-7.548876,-18.23944,98.8786
1983-Q4,,,,,12.22667,,,6.596667,79.63,,-5.493552,-5.167211,83.25262
1984-Q1,,,,,17.29,,,7.78,81.11,,0.757039,6.201988,88.59315
1984-Q2,,,,,18.07333,,,10.73,82.24,,-4.377749,-9.598372,92.58784
1984-Q3,,,,,37.67,,,26.71,82.39,,1.550023,1.144845,88.86889
1984-Q4,,,,,26.26667,,,21.68667,83.84,,-0.1755652,2.805366,91.48389
1985-Q1,,,,,27.58,,,18.97667,83.82,,4.650242,5.734396,97.84785
1985-Q2,,,,,35.33667,,,28.84,84.34,,-0.3500054,1.08583,103.6168
1985-Q3,,,,,22.89667,,,36.66,85.08,,1.909775,2.774589,90.85564
1985-Q4,,,,,25.59667,,,35.82333,85.69,,8.729347,11.32602,86.75127
1986-Q1,,,,,25.32667,,,26.31,86.29,,14.43358,20.44058,94.50481
1986-Q2,,,,,30.35,,,29.47333,86.78,,10.77761,11.24918,92.93096
1986-Q3,,,,,25.14,,,20.28,86.86,,4.717388,5.404202,85.44082
1986-Q4,,,,,20.44667,,,21.86667,86.41,,10.37031,9.153519,74.64745
1987-Q1,,,,,23.24667,,,16.23667,85.95,,8.598926,3.243026,70.8758
