country,CZE,CZE
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-Q1,,-8.0
1985-Q2,,3.6
1985-Q3,,3.9
1985-Q4,,6.4
1986-Q1,,-6.3
1986-Q2,,0.3
1986-Q3,,21.6
1986-Q4,,0.7
1987-Q1,,0.0
1987-Q2,,-6.6
1987-Q3,,-2.0
1987-Q4,,6.0
1988-Q1,,2.0
1988-Q2,,8.8
1988-Q3,,10.6
1988-Q4,,16.5
1989-Q1,,21.2
1989-Q2,,11.4
1989-Q3,,12.5
1989-Q4,,17.5
1990-Q1,,10.1
1990-Q2,,2.4
1990-Q3,,13.3
1990-Q4,,9.6
1991-Q1,88.8,-1.3
1991-Q2,87.9,-4.1
1991-Q3,86.9,-4.1
1991-Q4,70.9,-4.7
1992-Q1,72.9,-1.8
1992-Q2,75.5,-2.4
1992-Q3,73.7,-8.4
1992-Q4,71.9,-25.7
1993-Q1,71.8,-24.7
1993-Q2,71.6,-17.1
1993-Q3,76.4,-17.3
1993-Q4,76.4,-6.2
1994-Q1,75.6,6.4
1994-Q2,73.2,11.6
1994-Q3,72.1,-4.3
1994-Q4,73.7,-4.5
1995-Q1,75.9,-5.9
1995-Q2,77.9,-7.4
1995-Q3,76.8,-1.2
1995-Q4,79.5,11.0
1996-Q1,78.5,7.3
1996-Q2,80.0,11.7
1996-Q3,79.8,17.2
1996-Q4,83.9,18.5
1997-Q1,82.2,21.1
1997-Q2,80.3,32.1
1997-Q3,83.2,25.4
1997-Q4,82.7,10.4
1998-Q1,80.3,29.8
1998-Q2,81.6,15.9
1998-Q3,84.5,15.9
1998-Q4,81.9,12.3
1999-Q1,82.2,12.5
1999-Q2,83.1,5.2
1999-Q3,83.4,7.5
1999-Q4,81.4,6.0
2000-Q1,81.0,10.3
2000-Q2,79.9,27.1
2000-Q3,81.3,0.6
2000-Q4,84.1,6.3
2001-Q1,84.7,-11.2
2001-Q2,84.0,4.0
2001-Q3,84.8,11.0
2001-Q4,86.1,-13.9
2002-Q1,87.5,1.2
2002-Q2,86.2,3.7
2002-Q3,84.8,6.2
2002-Q4,83.8,8.1
2003-Q1,85.0,7.2
2003-Q2,84.0,4.0
2003-Q3,82.5,2.9
2003-Q4,83.7,22.9
2004-Q1,84.3,26.2
2004-Q2,85.2,6.0
2004-Q3,85.5,18.6
2004-Q4,86.5,21.0
2005-Q1,86.8,14.4
2005-Q2,87.1,-3.9
2005-Q3,86.5,12.4
2005-Q4,86.7,11.1
2006-Q1,86.5,19.8
2006-Q2,87.1,29.6
2006-Q3,88.0,33.1
2006-Q4,87.2,42.6
2007-Q1,89.2,27.4
2007-Q2,88.4,34.4
2007-Q3,88.9,33.2
2007-Q4,90.0,23.1
2008-Q1,89.7,23.1
2008-Q2,91.2,26.3
2008-Q3,89.4,5.2
2008-Q4,85.8,-19.6
2009-Q1,77.6,-51.4
2009-Q2,75.2,-33.6
2009-Q3,75.3,-14.4
2009-Q4,77.2,-2.5
2010-Q1,77.2,1.8
2010-Q2,78.1,17.8
2010-Q3,81.5,29.9
2010-Q4,81.3,32.2
2011-Q1,83.7,42.3
2011-Q2,85.5,19.0
2011-Q3,84.7,2.1
2011-Q4,82.8,-1.0
2012-Q1,84.6,7.2
2012-Q2,83.6,-3.0
2012-Q3,81.2,-15.3
2012-Q4,81.2,-12.0
2013-Q1,80.9,-8.4
2013-Q2,82.2,-5.2
2013-Q3,80.7,-5.3
2013-Q4,82.2,3.6
2014-Q1,81.2,13.9
2014-Q2,83.5,13.4
2014-Q3,82.8,20.7
2014-Q4,84.4,16.5
2015-Q1,86.2,9.4
2015-Q2,85.0,14.6
2015-Q3,85.6,17.0
2015-Q4,83.9,10.6
2016-Q1,84.5,12.6
2016-Q2,84.7,8.1
2016-Q3,84.7,5.4
2016-Q4,84.1,10.0
2017-Q1,84.9,5.2
2017-Q2,83.1,5.4
2017-Q3,84.4,7.0
2017-Q4,84.3,9.1
2018-Q1,85.8,9.6
2018-Q2,85.4,13.6
2018-Q3,86.2,14.5
2018-Q4,85.8,8.8
2019-Q1,85.8,9.9
2019-Q2,85.9,-1.1
2019-Q3,84.8,-10.7
2019-Q4,84.1,-6.2
2020-Q1,84.2,-3.2
2020-Q2,71.0,-28.8
2020-Q3,75.5,-20.1
2020-Q4,81.1,2.0
2021-Q1,83.4,-0.8
2021-Q2,87.5,10.8
2021-Q3,88.1,17.7
2021-Q4,77.3,1.8
2022-Q1,81.7,15.5
