,id,name
0,NCML,"National currency, monthly level"
1,NCMLSA,"National currency, monthly level, s.a."
2,CXMLSA,"US Dollars, monthly level, s.a."
3,GPSA,"Growth rate previous period, s.a."
4,GYSA,"Growth rate same period previous year, s.a."
5,IXOB,Index 2015=100
6,IXOBSA,"Index 2015=100, s.a."
7,ML,Monthly level
8,MLSA,"Monthly level, s.a."
9,GY,Growth rate same period previous year
10,ST,"Level, rate or national currency"
11,STSA,"Level, rate or national currency, s.a."
12,GP,Growth rate previous period
13,CXML,"US Dollars, monthly level"
14,IXNB,Index source base
15,IXEB,Index Eurostat base
16,CTGY,Contribution to annual inflation
