country,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7
1959-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.272081773778,101.941547521092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34457959465796,,,,4.31241859198295,,,,0.0321610026750097,
1959-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.37003464947,102.031360248344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56266196140094,,,,4.55234313908769,,,,0.010318822313242,
1959-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.354997078952,102.02133990828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64942620185655,,,,4.41533066169247,,,,0.234095540164081,
1959-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.244118474435,101.924827875493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50420662279835,,,,4.62631381616973,,,,-0.122107193371379,
1959-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.074988295276,101.773201794834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61898572608484,,,,4.52670616231735,,,,0.0922795637674885,
1959-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.906995124472,101.616859589244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39437729973794,,,,4.16989945129474,,,,0.2244778484432,
1959-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.792932065377,101.501393511971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56038359259634,,,,4.56709962261977,,,,-0.00671603002343559,
1959-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.742730369194,101.438859666815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98498088104349,,,,4.61122852836185,,,,0.373752352681642,
1959-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.728537654213,101.410026735629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90509788332667,,,,4.64984594650392,,,,0.25525193682275,
1959-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.700791846215,101.375629575247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39381031463689,,,,5.19712043841699,,,,0.196689876219897,
1960-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.577759870479,101.266771306442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.172181333212,,,,,,,,,,4.81021872216852,,,,4.58769764656958,,,,0.222521075598942,
1960-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.346424689485,101.070696050904,,19.947399214668,100.3151960372,,19.7337097304377,100.260736024642,19.682390647509,,,,,,,,,,,,,,,,,,,,,,,,,0.803358123862361,,22.3503033531899,,,,,,,,,,5.02518097196243,,,,4.94831646462353,,,,0.0768645073388996,
1960-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.064253861185,100.833618828378,,19.9673365013671,100.247791561849,,19.7950699364741,100.192330265119,19.7570711092299,,,,,,,,,,,,,,,,,,,,,,,,,-0.0201167357809909,,22.3458072017181,,,,,,,,,,5.48032066096133,,,,5.32889577982658,,,,0.15142488113475,
1960-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.785018543101,100.599832691354,,19.9880881574823,100.146645370689,,19.8487307664969,100.082343173454,19.8324001388504,,,,,,,,,,,,,,,,,,,,,,,,,0.567272215793435,,22.4725687573682,,,,,,,,,,5.19387804174392,,,,4.97156453384095,,,,0.222313507902975,
1960-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.541771139856,100.396453566998,,20.0162453119979,100.035159814664,,19.9000720160782,99.9582316823377,19.908387414575,,,,,,,,,,,,,,,,,,,,,,,,,-0.0303637512886307,,22.4657452424825,,,,,,,,,,5.43552008866742,,,,5.1405221285177,,,,0.294997960149713,
1960-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.343788526134,100.230778035749,,20.0537492528084,99.9314982114769,,19.9533106919311,99.8412198749808,19.985042968141,,,,,,,,,,,,,,,,,,,,,,,,,-0.217817726235148,,22.4168108670136,,,,,,,,,,5.12761262708994,,,,5.0408775754547,,,,0.0867350516352406,
1960-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.182460856685,100.095038912288,,20.0989826412427,99.8333277982018,,20.0078763382043,99.728345650913,20.062376656923,,,,,,,,,,,,,,,,,,,,,,,,,1.15418731251562,,22.6755428539113,,,,,,,,,,5.21097691001813,,,,4.91552860947729,,,,0.295448300540835,
1960-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.053265799971,99.9855928603968,,20.1511262279388,99.730820880536,,20.0614231275995,99.6078768901995,20.1403982836756,,,,,,,,,,,,,,,,,,,,,,,,,-0.0878631602384335,,22.6556194053586,,,,,,,,,,4.89145185888546,,,,4.78331819324656,,,,0.108133665638899,
1960-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9453957745623,99.8936223014546,,20.2080772195044,99.6188429173778,,20.1127524403152,99.473937125642,20.2191177121215,,,,,,,,,,,,,,,,,,,,,,,,,0.519125718453467,,22.7732305523667,,,,,,,,,,5.03668435922959,,,,4.7653863157131,,,,0.271298043516486,
1960-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8688981882443,99.828822390411,,20.2719332179864,99.5090270275724,,20.1648123263531,99.3411712415677,20.2985449782129,,,,,,,,,,,,,,,,,,,,,,,,,0.523853070304909,,22.8925288198229,,,,,,,,,,5.34358825229592,,,,4.87869281866783,,,,0.464895433628092,
1960-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8418435045862,99.8069837445871,,20.3464595023966,99.4197466227796,,20.2222598645912,99.2323850973566,20.3786897238751,,,,,,,,,,,,,,,,,,,,,,,,,-0.103905524542789,,22.8687422176716,,,,,,,,,,5.59312862469584,,,,5.11075222159555,,,,0.482376403100286,
1960-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8867104420956,99.8469889622904,,20.4363820682901,99.3659736762621,,20.2889609408005,99.1661615981075,20.459560614059,,,,,,,,,,,,,,,,,,,,,,,,,-0.375903636049502,,22.7827777841566,,,,,,,,,,5.77438807063263,,,,5.14614004990926,,,,0.628248020723373,
1961-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.013272386438,99.9577802685348,,20.5438910390978,99.3476584703168,,20.365077481407,99.1427591512529,20.5411647363352,,,,,,,,,,,,,,,,,,,,,,,,,1.22437385622421,4.01197704676429,23.0617241590674,,,,,,,,,,5.1270768957926,,,,4.9124221595363,,,,0.214654736256296,
1961-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.16169972635,100.090113978749,3.55663717142731,20.6568558298698,99.3587908699304,3.62598105258997,20.4492503062365,99.1550546545663,20.6235076743965,,,,,,,,,,,,,,,,,,,,,,,,,0.388612961229393,3.58403034797445,23.1513450082325,,,,,,,,,,5.10918408529437,,,,4.63222217479966,,,,0.476961910494718,
1961-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.355918119965,100.264481306475,4.07615224618776,20.7812355366714,99.4032114641435,3.77942842114936,20.5432104356395,99.2064567461456,20.7075336721344,,,,,,,,,,,,,,,,,,,,,,,,,1.05349837703685,4.69634791424197,23.3952440521565,,,,,,,,,,5.8236871337121,,,,5.38297082683099,,,,0.440716306881109,
1961-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.562953368661,100.452905254237,4.60904767368043,20.909348669718,99.4677814512663,4.00179045737341,20.6430353802203,99.2821267233052,20.7922977292293,,,,,,,,,,,,,,,,,,,,,,,,,1.05542384010478,5.20454199336682,23.6421630353336,,,,,,,,,,5.45339205518863,,,,4.9026512638255,,,,0.550740791363127,
1961-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.744863971456,100.621878640964,5.08120789103271,21.0333123482796,99.5527916697326,4.2650125112263,20.748812577307,99.3821736708535,20.8778011296328,,,,,,,,,,,,,,,,,,,,,,,,,0.911506953974879,6.19573371799905,23.8576629954708,,,,,,,,,,5.42177534391714,,,,5.41101037106672,,,,0.0107649728504238,
1961-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.883174213212,100.754431109291,5.46253758026865,21.1491928419959,99.6589804028409,4.54774617584457,20.8607366158777,99.5072172237526,20.9640438129931,,,,,,,,,,,,,,,,,,,,,,,,,1.0815610675096,7.57863075667819,24.1156981900474,,,,,,,,,,5.58603303509516,,,,5.2810294885424,,,,0.305003546552753,
1961-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.96333408982,100.837450660362,5.74573091762592,21.2538161009888,99.7836012330783,4.84935704744428,20.9781296994549,99.6537237059797,21.0510244066235,,,,,,,,,,,,,,,,,,,,,,,,,1.51867459479974,7.96626713435187,24.4819371718183,,,,,,,,,,5.50231800211953,,,,5.10573491479193,,,,0.3965830873276,
1961-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.987179192928,100.871144088261,5.93659861011328,21.3474177075088,99.921821270087,5.17593501960983,21.099789352693,99.8157359118873,21.1387404600402,,,,,,,,,,,,,,,,,,,,,,,,,0.621420366466842,8.73272751784936,24.6340729155096,,,,,,,,,,5.32650512353731,,,,5.00982949747397,,,,0.316675626063339,
1961-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.964276058528,100.861326169445,6.0559950411219,21.4318773738237,100.066487298622,5.52479704660687,21.2239411931291,99.9847013071421,21.227188675527,,,,,,,,,,,,,,,,,,,,,,,,,0.157186775187457,8.34121388086776,24.6727944203228,,,,,,,,,,5.31237501467711,,,,4.98533792612138,,,,0.327037088555729,
1961-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.912804704512,100.822441509582,6.11194150714997,21.5109419186383,100.206581975158,5.86694371407504,21.3478705155891,100.147799029213,21.3163651348563,,,,,,,,,,,,,,,,,,,,,,,,,1.36772148452876,9.25070675803388,25.0102495304431,,,,,,,,,,5.9125687556345,,,,5.46492114525097,,,,0.447647610383537,
1961-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.847782384164,100.76723246726,6.10073999547402,21.5877440949223,100.329930756691,6.16295838602576,21.46854932476,100.290960504592,21.4062655465115,,,,,,,,,,,,,,,,,,,,,,,,,1.130358945034,10.6005519780662,25.2929551231858,,,,,,,,,,5.78692469069331,,,,5.4813361163113,,,,0.305588574382007,
1961-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.755896772029,100.685511183386,5.98441388592664,21.6593797545659,100.425926764166,6.37948596506588,21.5832923564765,100.401950624244,21.4968854910522,,,,,,,,,,,,,,,,,,,,,,,,,1.28365302496212,12.4429564710136,25.6176289067269,,,,,,,,,,5.96822266559245,,,,5.43574866031497,,,,0.532474005277476,
1962-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.601218512576,100.554197992323,5.71518804621687,21.7180130439922,100.489130399079,6.50908046740903,21.6906567619219,100.4744999539,21.5882206648195,,,,,,,,,,,,,,,,,,,,,,,,,0.776232643694076,11.945148275875,25.8164813048413,,,,,,,,,,5.2288822708407,,,,5.57791404389758,,,,-0.349031773056879,
1962-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.411580972671,100.391354842723,5.38631381737547,21.7694989096695,100.517222260824,6.5562661185952,21.789957575571,100.505946350409,21.6802670556441,,,,,,,,,,,,,,,,,,,,,,,,,0.795496801042496,12.398871765376,26.0218505877631,,,,,,,,,,5.46604378217459,,,,5.21852532414703,,,,0.247518458027554,
1962-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.192226053951,100.201370849225,4.97390540403258,21.8148745340546,100.510991363107,6.51349204487536,21.8812908131269,100.49726539012,21.7730211147398,,,,,,,,,,,,,,,,,,,,,,,,,0.563248110708936,11.8535806304533,26.1684181695702,,,,,,,,,,5.97088591785544,,,,5.78604212990524,,,,0.184843787950205,
1962-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9620270385419,99.9999704983716,4.53781664900124,21.8581765748501,100.47659289241,6.40943970943014,21.9661382871119,100.455758597681,21.8664799248442,,,,,,,,,,,,,,,,,,,,,,,,,-0.418963704131664,10.2216491636106,26.0587819954943,,,,,,,,,,5.69076565241799,,,,5.32457964717136,,,,0.366186005246632,
1962-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7385801314825,99.8037463033855,4.1359118440473,21.9032316048876,100.420033856115,6.25176221198407,22.0459790014505,100.388594837416,21.9606410839348,,,,,,,,,,,,,,,,,,,,,,,,,1.00021690452885,10.3185435351488,26.3194263381275,,,,,,,,,,6.17485019690451,,,,6.03245996670226,,,,0.142390230202249,
1962-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5392725521401,99.6287630182261,3.80484489754398,21.9538868267163,100.34353903213,6.04298412092337,22.1213476170829,100.298542442965,22.0555025808698,,,,,,,,,,,,,,,,,,,,,,,,,-0.604845308844079,8.47803085130264,26.1602345226067,,,,,,,,,,5.92237258155187,,,,5.48179177041119,,,,0.440580811140681,
1962-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3934066280072,99.500154278563,3.5893774568984,22.0166957848483,100.243394395934,5.78277192056038,22.1912470931738,100.181410846959,22.1510626627868,,,,,,,,,,,,,,,,,,,,,,,,,0.463039844060708,7.3500297272194,26.2813668317461,,,,,,,,,,5.81815378705021,,,,5.65591163186401,,,,0.162242155186205,
1962-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3088846071937,99.4248427434534,3.49525874926994,22.0935651926737,100.113825329831,5.47094715237042,22.2541476774403,100.030690586019,22.2473198446066,,,,,,,,,,,,,,,,,,,,,,,,,1.16236854362752,7.9271514045679,26.5868531726336,,,,,,,,,,5.36230438751931,,,,5.35711382546118,,,,0.00519056205812645,
1962-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2859363696296,99.4032826397605,3.51272638628229,22.1847205854097,99.9524406986594,5.11436902512365,22.309411867421,99.8439821941853,22.3442729117431,,,,,,,,,,,,,,,,,,,,,,,,,-0.46256555792151,7.25932010815856,26.4638715469219,,,,,,,,,,5.55091128286156,,,,5.23725795764725,,,,0.313653325214311,
1962-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3140064536547,99.427130347543,3.61224902122087,22.2879707075497,99.7649981012584,4.73433551920416,22.3585503320024,99.6285054885992,22.4419208361617,,,,,,,,,,,,,,,,,,,,,,,,,-0.258430290576649,5.53865468097814,26.3954808867853,,,,,,,,,,5.92475376232665,,,,5.94361293994807,,,,-0.0188591776214161,
