country,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M
subject,BSCICP03,CSCICP03,CSCICP04,LOLITOAA,LOLITONO,LOLITOTR,LOLITOTR,LORSGPNO,LORSGPOR,LORSGPOR,LORSGPRT,LORSGPTD
measure,IXNSA,IXNSA,GPSA,STSA,STSA,GYSA,STSA,STSA,GYSA,IXOBSA,STSA,STSA
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,2015=100,,
time,,,,,,,,,,,,
1990-03,,101.003947312199,0.0107846785630293,,,,,99.8018361674136,4.90950954417235,17.5776180747979,98.9916955836015,17.7566592542635
1990-04,,101.019086980828,0.016175274940115,,,,,99.9305837098996,5.44049223727794,17.7015150571993,99.1251539872554,17.8577428081224
1990-05,,101.008704564987,-0.0232769592826017,,,,,100.084067727842,6.01148825264157,17.8333416283837,99.2984120035222,17.9593422176289
1990-06,,100.964982529376,-0.0340667287629801,,,,,100.228283265672,6.52095193717491,17.9658075317047,99.4703615325058,18.0614680141015
1990-07,,100.896457655282,-0.0556542520805729,,,,,100.342898479463,6.92398285420418,18.0946139254097,99.6172833686852,18.1641310759712
1990-08,,100.832590315611,-0.0215879285427143,,,,,100.419311932551,7.21813598305082,18.2180312937711,99.7300573117054,18.2673426495994
1990-09,,100.799813870068,-0.0215925899356284,,,,,100.45990014558,7.42691532071612,18.3364749031928,99.8114479624781,18.3711140129798
1990-10,,100.832079284486,0.0,,,,,100.482928149291,7.60633468238915,18.4534923490663,99.8811169518781,18.4754565349495
1990-11,,100.950308856053,0.0719072347098593,,,,,100.508891897103,7.80960784337254,18.5728335135404,99.9593771071042,18.580381401977
1990-12,,101.130130798881,0.0988327381452529,,,,,100.550672340372,8.05829824078795,18.6964032902887,100.056211367262,18.6858996905873
1991-01,,101.316117191621,0.11490540509936,,,,,100.604839523684,8.30086738454681,18.8224463904568,100.16189728168,18.7920226166678
1991-02,,101.440091704702,0.0246314594612177,,,,,100.660908719043,8.45726389522448,18.9459659927562,100.261103619233,18.8966262177886
1991-03,,101.477489665796,-0.00746317208389216,,,,,100.706204196094,8.46590756737962,19.0657229735574,100.336508430107,19.0017803807059
1991-04,,101.426573979068,-0.0395546279447004,,,,,100.730512015655,8.351427417824,19.1798442390565,100.378625408814,19.1074983951437
1991-05,,101.298684751118,-0.0716738771100276,,,,,100.724095763477,8.14797478695731,19.2863978079363,100.377872704856,19.2137941243732
1991-06,,101.116402918559,-0.0984974290702276,,,,,100.684201032536,7.89953752318715,19.3850232390152,100.333015135274,19.3206824422443
1991-07,,100.909204270352,-0.0932348674496819,,,,,100.622715189166,7.64982830407627,19.478820822989,100.260658899445,19.4281795440073
1991-08,,100.697270117401,-0.132996520461729,,,,,100.554931510615,7.42975891464197,19.5715870978923,100.180611819701,19.536302226938
1991-09,,100.513461970846,-0.111686249620259,,,,,100.490770836022,7.24874009314539,19.6656383111701,100.104713457347,19.645067282021
1991-10,,100.377279663968,-0.0956774516904742,,,,,100.430787801996,7.08654874851874,19.761208080187,100.033999465883,19.7544916585352
1991-11,,100.293682233979,-0.03981004283943,,,,,100.371960605264,6.91876570496217,19.857844349115,99.9660290324804,19.8645925433958
1991-12,,100.244024535387,-0.0344406666918189,,,,,100.312453604027,6.73437892473347,19.9554899331531,99.9003908433829,19.9753872479217
1992-01,,100.216902610829,-0.0344526011280244,,,,,100.252668588261,6.54404051072881,20.0541949073585,99.8372204185872,20.0868922665088
