country,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM
subject,BSCICP03,CSCICP03,CSCICP04,LOLITOAA,LOLITONO,LOLITOTR,LOLITOTR,LORSGPNO,LORSGPOR,LORSGPOR,LORSGPRT,LORSGPTD
measure,IXNSA,IXNSA,GPSA,STSA,STSA,GYSA,STSA,STSA,GYSA,IXOBSA,STSA,STSA
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,2015=100,,
time,,,,,,,,,,,,
1960-02,,,,,,,,100.507387727412,,11.7814302873173,100.539462230614,11.7182149435944
1960-03,,,,,,,,100.466948935667,,11.8233304482805,100.494798328443,11.7651168467832
1960-04,,,,,,,,100.399855968532,,11.8617043992214,100.41757944012,11.8123783359014
1960-05,,,,,,,,100.32097351894,,11.8986071690262,100.325487898564,11.8600042902922
1960-06,,,,,,,,100.242050959868,,11.9356786986525,100.232439137814,11.9079998464785
1960-07,,,,,,,,100.162048145719,,11.972755805559,100.137045180226,11.9563701765021
1960-08,,,,,,,,100.075481420185,,12.0090408933119,100.03265572973,12.0051205335967
1960-09,,,,,,,,99.9805379559732,,12.0442761226418,99.9172062364937,12.0542562950912
1960-10,,,,,,,,99.8873683636663,,12.0799829270251,99.8033666381488,12.103783002454
1960-11,,,,,,,,99.81028991374,,12.1183327992611,99.7089506317136,12.1537060840421
1960-12,,,,,,,,99.7598988209566,,12.1609825640641,99.6472640333243,12.204030569266
1961-01,,,,,,,,99.7340386169138,,12.2077122451233,99.6160794203118,12.2547607938023
1961-02,,,,,,,,99.7258142753924,4.04142085721452,12.2575674682271,99.6072373780888,12.3059004454665
1961-03,,,,,,,,99.7377731903931,4.12626884087048,12.3111928485211,99.6226567519713,12.3578242639845
1961-04,,,,,,,,99.7609427627438,4.25944519680193,12.3669471975129,99.6517909919564,12.4101604942666
1961-05,,,,,,,,99.7982736674174,4.42559466464017,12.4251912930651,99.6973445766218,12.4629109690237
1961-06,,,,,,,,99.8531430697361,4.61379951317155,12.4863669843446,99.762626008129,12.5160768956976
1961-07,,,,,,,,99.9252549197066,4.82477980611576,12.5504149099012,99.8469017611677,12.5696588362066
1961-08,,,,,,,,100.012142585465,5.06229938394641,12.6169744964719,99.9470652938408,12.6236567921013
1961-09,,,,,,,,100.10907443122,5.3227159504379,12.6853587289364,100.057488576724,12.6780702867724
1961-10,,,,,,,,100.207791108708,5.58255165011096,12.7543542132509,100.168506530812,12.7328984478046
1961-11,,,,,,,,100.29865602117,5.81101389865027,12.8225308025109,100.268926451878,12.7881401110491
1961-12,,,,,,,,100.3725838365,5.98261587248472,12.8885274371919,100.348288920078,12.8437939260299
1962-01,,,,,,,,100.423189950864,6.09186787677067,12.9513899458726,100.399473268062,12.8998584597082
1962-02,,,,,,,,100.446442455228,6.14277677005158,13.0105224752388,100.418252522135,12.9563322886653
1962-03,,,,,,,,100.441678943253,6.12986694139656,13.0658525890341,100.404500378288,13.0132140888174
1962-04,,,,,,,,100.41433316148,6.07520850115788,13.1182650249899,100.365420545177,13.0705027226833
1962-05,,,,,,,,100.370378343187,5.98428174299795,13.1687497471486,100.308896818336,13.1281971638047
1962-06,,,,,,,,100.312273534629,5.85745958403636,13.2177508839671,100.238539062713,13.1862964160896
1962-07,,,,,,,,100.236020950686,5.6909597107267,13.2646539659527,100.149904406605,13.2447994279642
1962-08,,,,,,,,100.135268407958,5.48048968564181,13.3084464823911,100.035639451138,13.3037051149071
1962-09,,,,,,,,100.00659875863,5.22803867710245,13.3485541896144,99.8918044198173,13.3630123783871
1962-10,,,,,,,,99.8544620269668,4.94933393939718,13.3856097950782,99.7235263104729,13.4227200845308
1962-11,,,,,,,,99.6919270483646,4.67174291564358,13.4215664768834,99.545641163393,13.482826892293
1962-12,,,,,,,,99.5410157444612,4.43175885666571,13.4597158933835,99.3826101976508,13.5433310381112
1963-01,,,,,,,,99.4315210739633,4.2708029703422,13.5045182923815,99.2670529690577,13.6042300929302
1963-02,,,,,,,,99.3924612084676,4.22603645624015,13.5603518981897,99.2304081670997,13.6655206288728
1963-03,,,,,,,,99.4387004122049,4.314151703571,13.62953329109,99.2885324309731,13.7271978519427
1963-04,,,,,,,,99.5616827836394,4.51727202582807,13.7108527412377,99.4314222562061,13.789255378354
1963-05,,,,,,,,99.7374136197244,4.79927041420242,13.8007536576839,99.6323064318869,13.8516854140265
