,id,name
0,IXOB,Index 2015=100
1,IXOBSA,"Index 2015=100, s.a."
2,NCML,"National currency, monthly level"
3,NCMLSA,"National currency, monthly level, s.a."
4,CXMLSA,"US Dollars, monthly level, s.a."
5,ST,"Level, rate or national currency"
6,STSA,"Level, rate or national currency, s.a."
7,GPSA,"Growth rate previous period, s.a."
8,GYSA,"Growth rate same period previous year, s.a."
9,GY,Growth rate same period previous year
10,ML,Monthly level
11,MLSA,"Monthly level, s.a."
12,GP,Growth rate previous period
13,CXCU,"US Dollars, sum over component sub-periods"
14,CXCUSA,"US Dollars, sum over component sub-periods, s.a."
15,NCCUSA,"National currency, sum over component sub-periods s.a"
16,NCCU,"National currency, sum over component sub-periods"
17,CXML,"US Dollars, monthly level"
18,IXEBSA,"Index Eurostat base, s.a."
19,AL,Annual Level
20,IXEB,Index Eurostat base
21,IXNB,Index source base
