country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
subject,B6CRSE01,B6DBSE01,CPALTT01,CPALTT01,CPALTT01,NAEXKP01,NAEXKP01,NAEXKP01,NAEXKP01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01
measure,CXCUSA,CXCUSA,GP,GY,IXOB,GPSA,GYSA,IXOBSA,STSA,CXML,CXMLSA,GPSA,GYSA,STSA,CXML,CXMLSA,GPSA,GYSA,STSA,CXML,CXMLSA
unit,US Dollar,US Dollar,Percentage,Percentage,Index,Percentage,Percentage,Index,US Dollar,US Dollar,US Dollar,Percentage,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,Percentage,US Dollar,US Dollar
powercode,Millions,Millions,Units,Units,Units,Units,Units,Units,Billions,Billions,Billions,Units,Units,Units,Billions,Billions,Units,Units,Units,Billions,Billions
reference_period,,,,,2015=100,,,2015=100,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,
1996-Q1,,,,,47.4785257699167,,,,,,,,,,,,,,,,
1996-Q2,,,1.93153458056117,,48.3955899135033,,,,,,,,,,,,,,,,
1996-Q3,,,1.05290231363632,,48.9051481994005,,,,,,,,,,,,,,,,
1996-Q4,,,1.38009063634224,,49.5800835703897,,,,,,,,,,,,,,,,
1997-Q1,,,1.98008704481913,6.49406560558046,50.5618123819775,,,,,,,,,,,,,,,,
1997-Q2,,,1.63334472767441,6.18252855390247,51.3876610787352,,,,,,,,,,,,,,,,
1997-Q3,,,1.01942636047539,6.14735330142583,51.9115204418035,,,,,,,,,,,,,,,,
1997-Q4,,,1.45179416540455,6.22242859268433,52.6651688667504,,,,,,,,,,,,,,,,
1998-Q1,,,1.82727578611974,6.063260430686,53.6275067451716,,,54.8043993416493,48885.1910834349,,,,,,,,,,,,
