country,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE
subject,CP010000,CP010000,CP010000,CP010000,CPALTT01,CPALTT01,CPALTT01,CPALTT01,CPGREN01,CPGREN01,CPGREN01,CPGRLE01,CPGRLE01,CPGRLE01,LCEAMN01,LCEAMN01,LCEAMN01,MABMM301,MABMM301,MABMM301,MANMM101,MANMM101,PIEAMP02,PIEAMP02,PIEAMP02,PRCNTO01,PRCNTO01,PRCNTO01,PRINTO01,PRINTO01,PRINTO01,PRMNTO01,PRMNTO01,PRMNTO01,PWCWCP02,PWCWPI02,SLRTCR03,SLRTTO01,SLRTTO01,SLRTTO01
measure,GP,GY,IXNB,IXOB,GP,GY,IXNB,IXOB,GP,GY,IXOB,GP,GY,IXOB,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,GPSA,IXOBSA,GP,GY,IXOB,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,AL,AL,GPSA,GPSA,GYSA,IXOBSA
unit,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Percentage,Percentage,Percentage,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,2015=100,2015=100,,,2015=100,2015=100,,,2015=100,,,2015=100,,,2015=100,,,2015=100,,2015=100,,,2015=100,,,2015=100,,,2015=100,,,2015=100,,,,,,2015=100
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7626597791473,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92007473783758,7.92007473783758,25.6446801933539,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50361601404829,7.50361601404829,27.5689585230938,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35154710830182,5.35154710830182,29.0443243257254,,,,,,,,,
