time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,122.874463599173,169.466607713766,,,,,,10.1724583333333,,,,,,,12.9465191800284,12.9681043523527,5.24826303583706,602.1,602.1,7.04267967109244,3.9692277309548,271.4,271.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,126.106244985159,167.604206370656,,,,,,9.54814166666667,,,,,,,12.7316426694221,12.7073925178288,5.9164531319112,689.5,689.5,11.359592970088,4.42011584524712,308.9,308.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,124.117761075019,159.466619936052,,,,,,10.0739666666667,,,,,,,15.0676470002192,15.0729189877898,6.80792340476098,782.5,782.5,12.5599104143337,4.97527843561993,330.2,330.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,126.269003988806,158.646930221497,,,,,,10.1499583333333,,,,,,,13.1627098881943,13.1711141044885,7.70403061194015,889.2,889.2,9.78550678498945,5.46213464450963,371.3,371.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,127.710892325608,155.669901387252,,,,,,9.66,,,,,,,13.6678721353117,13.6551491439474,8.75700766524541,1014.2,1014.2,11.5774974626649,6.09451314438508,418.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,130.456406037718,157.71747956399,,,0.72994833411091,,,10.4099583333333,,,,,,,12.6414086794976,12.6784447817531,9.86401679230401,1129.1,1129.1,10.7292140428389,6.7484065045151,458.5,458.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,125.006128569467,149.95872062101,,,0.719617177640127,,,12.37215,,,,,,,9.06375240022629,9.08709145316491,10.7580668510752,1198.927,1198.927,7.71756606098541,7.26921923456489,473.379,473.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6488241756648,66.6488241756648,66.643270569784,66.643270569784,,,,,,,,63.0453510021629,63.0453510021629,63.0400976606912,63.0400976606912,,,,,,,,,34.1648786495082,34.1648786495082,29.9435034274808,,,,,,,,,,,,,,,
1981,,107.516808787546,127.98627914121,,,0.898213937085529,,,14.553175,,,,,,,10.7251223793434,10.7288882747474,11.9118826865046,1324.037,1324.037,6.13678159583791,7.71531534271278,499.258,499.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6432308698496,-1.6432308698496,65.5536301224185,65.5536301224185,65.5481677751039,65.5481677751039,,,,,,-1.75746924428822,-1.75746924428822,61.9373483483464,61.9373483483464,61.9321873327353,61.9321873327353,,,,,,,,,36.3798108270754,36.3798108270754,31.9280917493654,,,,,,,,,,,,,,,
1982,,106.106704963568,123.506134563196,,,1.02437284560377,,,14.3112,,,,,,,10.9759854278558,10.9699438984326,13.2193291943586,1478.452,1478.452,7.86008047052944,8.32174533720511,551.435,551.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42082952373036,-2.42082952373036,63.966688490538,63.966688490538,63.9613583773398,63.9613583773398,,,,,,-2.50761070834511,-2.50761070834511,60.3842007686982,60.3842007686982,60.3791691712673,60.3791691712673,,,,,,,,,37.9799128183029,37.9799128183029,33.7374573019473,,,,,,,,,,,,,,,
1983,,105.469225851739,119.661557897761,,,1.12488333333264,,,13.0379583333333,,,,,,,9.85051046439828,9.86741617310213,14.5215005999721,1607.971,1607.971,10.1494420063551,9.1663560541213,603.201,603.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359888413296704,0.359888413296704,64.196897190785,64.196897190785,64.1915478951271,64.1915478951271,,,,,,0.298308867713967,0.298308867713967,60.5643321942895,60.5643321942895,60.5592855871572,60.5592855871572,,,,,,,,,39.6462569739582,39.6462569739582,35.1969214860149,,,,,,,,,,,,,,,
