country,EU28,EU28,EU28,EU28,EU28,EU28,EU28,EU28,EU28,EU28,EU28,EU28,EU28
subject,PWCWCP03,PWHP0000,PWHP0100,PWHP0200,PWHP0300,PWHP0400,PWHP0500,PWHP0600,PWHP0700,PWHP0800,PWHP0900,PWHP1000,PWHP1100
measure,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL
unit,Percentage,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand,Per thousand
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,
time,,,,,,,,,,,,,
1995,25.6212249588716,,,,,,,,,,,,
1996,25.1776350727568,1000.0,199.09,48.16,87.61,151.24,82.42,8.83,148.94,21.12,101.31,5.2,86.11
1997,24.8077119895943,1000.0,200.51,48.74,87.49,153.02,81.38,9.27,148.89,20.82,99.86,5.28,85.04
1998,24.8786453615321,1000.0,213.24,48.0,87.46,154.82,78.69,10.61,145.85,20.99,96.44,5.64,80.96
1999,24.6114684973832,1000.0,191.36,48.0,83.0,158.7,82.15,10.28,153.0,23.68,101.64,5.48,83.97
2000,24.2977391017498,1000.0,170.78,45.11,76.54,155.75,78.19,29.73,149.85,27.2,103.54,9.84,89.04
2001,24.1507747477105,1000.0,167.19,42.93,72.47,151.33,76.04,36.68,148.82,27.2,104.85,9.86,93.22
2002,23.931421689358,1000.0,166.09,43.17,72.61,148.2,75.36,36.55,143.31,28.09,105.11,10.65,93.91
2003,23.381948193242,1000.0,159.83,42.99,72.03,145.69,74.11,36.5,145.62,30.09,104.85,10.95,96.78
2004,22.955078982543,1000.0,156.86,43.94,70.58,144.59,74.3,36.96,147.19,29.77,102.82,10.57,98.1
2005,22.3108398770825,1000.0,156.12,45.08,70.1,145.72,71.63,38.18,148.64,29.83,102.27,11.11,96.26
2006,21.9060003515665,1000.0,153.02,44.23,69.36,148.48,72.54,37.52,152.18,30.25,101.91,11.43,94.6
2007,21.4325912821908,1000.0,153.68,43.88,66.24,151.2,69.74,37.71,152.14,31.11,102.73,11.39,95.74
2008,21.2424829535058,1000.0,160.88,42.54,65.57,149.81,67.41,37.47,150.57,32.61,102.33,11.8,94.47
2009,21.0143613688165,1000.0,160.18,42.83,64.28,152.91,68.08,38.29,146.19,31.87,102.41,12.16,94.83
2010,20.63787132339,1000.0,156.74,43.87,63.59,152.28,67.57,39.27,149.61,32.58,102.71,12.1,92.87
2011,20.1201019120918,1000.0,157.26,45.26,63.91,155.37,65.21,39.34,151.56,31.85,101.2,12.36,90.9
2012,19.1907554620426,1000.0,153.98,43.54,64.53,160.57,64.03,41.7,152.0,31.91,97.67,11.91,90.07
2013,18.9105730680777,1000.0,154.59,44.96,63.51,157.47,64.06,41.35,151.92,32.21,99.35,12.03,90.51
2014,18.5147843191522,1000.0,158.22,45.57,62.12,157.87,63.49,41.99,148.6,31.47,100.46,12.41,90.45
2015,18.0323528012721,1000.0,156.08,45.53,60.72,158.42,62.65,43.95,147.16,32.1,99.91,13.1,91.53
2016,18.2504622438473,1000.0,153.73,45.43,60.84,153.62,61.95,45.99,145.61,32.56,100.6,13.06,93.91
2017,18.0478239891783,1000.0,154.72,44.73,61.17,151.12,61.8,45.84,148.97,31.66,98.98,12.59,94.65
2018,,1000.0,154.87,44.33,59.72,152.71,61.66,45.25,150.58,31.23,99.25,12.4,95.62
2019,,1000.0,150.77,43.71,60.48,158.03,62.33,46.0,150.62,29.74,97.13,11.86,97.19
