country,CYP
subject,CCUSMA02
measure,ST
unit,Euro
powercode,Units
reference_period,
time,
1995,0.77314215222272
1996,0.798771173843362
1997,0.878505907774251
1998,0.885625080446651
1999,0.928340116481056
2000,1.06645206632563
2001,1.09777642608419
2002,1.04224687923947
2003,0.885625080446651
2004,0.800195008377842
2005,0.794499670239922
2006,0.783108993964081
2007,0.729003281653835
2008,0.683982339822684
2009,0.719800423489554
2010,0.755043518257105
2011,0.719158754470168
2012,0.778006210395884
2013,0.753297658306669
2014,0.753695140645586
2015,0.901451643908024
2016,0.904281526915114
2017,0.887107173889516
2018,0.847324485146496
2019,0.893348371188594
2020,0.877541570440429
2021,0.845553392731664
2022,0.950882523746784
2023,0.924835342532468
