country,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR
subject,CCUSMA02,IR3OBD01,IR3TIB01,IRLTLT01,IRSTCB01,IRSTCI01,MABMM301,MABMM301,MANMM101,MANMM101,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PREND401,PREND401,PREND401,PREND401,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRMITO01,PRMITO01,PRMITO01,PRMITO01,PRMNCG03,PRMNCG03,PRMNCG03,PRMNCG03,PRMNIG01,PRMNIG01,PRMNIG01,PRMNIG01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNVG01,PRMNVG01,PRMNVG01,PRMNVG01,SLRTCR03,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO02,SLRTTO02,SLRTTO02,SLRTTO02,SPASTT01,SPASTT01,SPASTT01
measure,ST,ST,ST,ST,ST,ST,IXOB,IXOBSA,GPSA,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,ML,GPSA,GYSA,IXEB,IXEBSA,IXOB,IXOBSA,IXEB,IXEBSA,IXOB,IXOBSA,GP,GY,IXOB
unit,Bulgarian Lev,Percentage,Percentage,Percentage,Percentage,Percentage,Index,Index,Percentage,Index,Percentage,Percentage,Index,Index,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Number,Percentage,Percentage,Index,Index,Index,Index,Index,Index,Index,Index,Percentage,Percentage,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2015=100,2015=100,,2015=100,,,2015=100,2015=100,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,2015=100,,,2015=100
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,0.00097916666575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,0.000969999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,0.01778825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,0.0233411666666667,,,,48.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,0.0275935833333333,,,,48.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,0.0541336666666667,,,,63.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,0.0671708333333333,,,,50.1077916666667,69.8750666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,0.177888666666667,,,,115.5473,286.399883333333,1.07022742157956,1.07022742157956,,1.06149450721025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1.68187916666667,,,,74.234925,136.798641666667,5.80743065860488,5.80743065860488,470.279572242967,6.05348633510119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1.76035833333333,,,,5.34640833333333,2.36778333333333,8.6164306573285,8.6164306573285,59.3780708892208,9.64792974242686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1.83638333333333,,,,4.682725,2.61743333333333,9.29413010950771,9.29413010950771,9.60841543771074,10.5749429132177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2.123275,,,,3.85055833333333,2.94330833333333,11.8361300869958,11.8361300869958,20.228231250684,12.7140668203312,,,29.175,29.175,29.1677080729818,29.1677080729818,,,35.2,35.2,35.2,35.2,68.2166666666667,68.2166666666667,68.2166666666666,68.2166666666666,,,63.75,63.75,63.75,63.75,120.45,120.45,120.45,120.45,72.575,72.575,72.5689525872844,72.5689525872844,57.5666666666667,57.5666666666667,57.5618698441796,57.5618698441796,,,55.5166666666667,55.5166666666667,55.5120406632781,55.5120406632781,42.55,42.55,42.5464544621282,42.5464544621282,,,,35.4833333333333,35.4833333333333,35.4833333333333,35.4833333333333,21.3916666666667,21.3916666666667,21.3898841763186,21.3898841763186,,,
2001,2.18470833333333,,,,4.48018333333333,3.69868333333333,15.1226622798468,15.1226622798468,23.1802261691355,15.661216264579,41.0454155955441,41.0454155955441,41.15,41.15,41.1397150712322,41.1397150712322,14.1808712121212,14.1808712121212,40.1916666666667,40.1916666666667,40.1916666666667,40.1916666666667,74.6333333333334,74.6333333333334,74.6333333333333,74.6333333333333,2.03921568627451,2.03921568627451,65.05,65.05,65.05,65.05,109.35,109.35,109.35,109.35,73.3916666666667,73.3916666666667,73.3855512040663,73.3855512040663,55.875,55.875,55.8703441379885,55.8703441379885,2.07145001501049,2.07145001501049,56.6666666666667,56.6666666666667,56.6619448379302,56.6619448379302,44.9166666666667,44.9166666666667,44.9129239230064,44.9129239230064,,2.93565054015972,2.93565054015972,36.525,36.525,36.525,36.525,23.3583333333333,23.3583333333333,23.3563869677527,23.3563869677527,,,19.2781385680401
