,id,name
78,P6PIEQ02,International investment position BPM6 > Portfolio investment > Equity and investment fund shares > Assets
79,P6RATT01,International investment position BPM6 > Reserve assets > Total > Net
80,P6PITT03,International investment position BPM6 > Portfolio investment > Total > Liabilities
81,P6DITT01,International investment position BPM6 > Direct investment > Total > Net
82,P6OITT02,International investment position BPM6 > Other investment > Total > Assets
83,P6OITC03,International investment position BPM6 > Other investment > Trade credit and advances > Liabilities
84,P6TTTT03,International investment position BPM6 > Financial account (IIP) > Total > Liabilities
85,P6OIEQ02,International investment position BPM6 > Other investment > Other equity > Assets
86,P6OICD03,International investment position BPM6 > Other investment > Currency and deposits > Liabilities
87,P6OICD01,International investment position BPM6 > Other investment > Currency and deposits > Net
88,P6FDTT03,International investment position BPM6 > Financial derivatives > Total > Liabilities
89,P6OITC02,International investment position BPM6 > Other investment > Trade credit and advances > Assets
90,P6OITT03,International investment position BPM6 > Other investment > Total > Liabilities
91,P6OIIP01,"International investment position BPM6 > Other investment > Insurance, pensions and standardised guarantee schemes > Net"
92,P6PIDB01,International investment position BPM6 > Portfolio investment > Debt instruments > Net
93,P6DIEQ01,International investment position BPM6 > Direct investment > Equity and investment fund shares > Net
94,P6FDTT02,International investment position BPM6 > Financial derivatives > Total > Assets
95,P6OIOA03,International investment position BPM6 > Other investment > Other accounts receivable/payable - other > Liabilities
96,P6OITC01,International investment position BPM6 > Other investment > Trade credit and advances > Net
97,P6OISD02,International investment position BPM6 > Other investment > Special drawing rights > Assets
98,P6TTTT01,International investment position BPM6 > Financial account (IIP) > Total > Net
99,P6RATT02,International investment position BPM6 > Reserve assets > Total > Assets
100,P6OISD03,International investment position BPM6 > Other investment > Special drawing rights > Liabilities
101,P6DIDB01,International investment position BPM6 > Direct investment > Debt instruments > Net
102,P6OITT01,International investment position BPM6 > Other investment > Total > Net
103,P6TTTT02,International investment position BPM6 > Financial account (IIP) > Total > Assets
104,P6DIDB03,International investment position BPM6 > Direct investment > Debt instruments > Liabilities
105,P6OILN03,International investment position BPM6 > Other investment > Loans > Liabilities
106,P6DITT03,International investment position BPM6 > Direct investment > Total > Liabilities
107,P6FDTT01,International investment position BPM6 > Financial derivatives > Total > Net
108,P6OISD01,International investment position BPM6 > Other investment > Special drawing rights > Net
109,P6OIIP02,"International investment position BPM6 > Other investment > Insurance, pensions and standardised guarantee schemes > Assets"
110,P6DIDB02,International investment position BPM6 > Direct investment > Debt instruments > Assets
111,P6OIEQ03,International investment position BPM6 > Other investment > Other equity > Liabilties
112,P6OIOA02,International investment position BPM6 > Other investment > Other accounts receivable/payable - other > Assets
113,P6PIDB02,International investment position BPM6 > Portfolio investment > Debt instruments > Assets
114,P6DIEQ03,International investment position BPM6 > Direct investment > Equity and investment fund shares > Liabilities
115,P6DITT02,International investment position BPM6 > Direct investment > Total > Assets
116,P6OIOA01,International investment position BPM6 > Other investment > Other accounts receivable/payable - other > Net
117,P6PIEQ03,International investment position BPM6 > Portfolio investment > Equity and investment fund shares > Liabilities
118,P6OILN02,International investment position BPM6 > Other investment > Loans > Assets
119,P6PITT02,International investment position BPM6 > Portfolio investment > Total > Assets
120,P6PIEQ01,International investment position BPM6 > Portfolio investment > Equity and investment fund shares > Net
121,P6OICD02,International investment position BPM6 > Other investment > Currency and deposits > Assets
122,P6OIEQ01,International investment position BPM6 > Other investment > Other equity > Net
123,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
