country,SDR,SDR
subject,CCUSMA02,CCUSSP01
measure,ST,ST
unit,Special Drawing Rights,Special Drawing Rights
powercode,Units,Units
reference_period,,
time,,
1957,1.0,
1958,1.0,
1959,1.0,
1960,1.0,
1961,1.0,
1962,1.0,
1963,1.0,
1964,1.0,
1965,1.0,
1966,1.0,
1967,1.0,
1968,1.0,
1969,1.0,
1970,1.0,
1971,0.997073333333446,
1972,0.921050000000832,
1973,0.839360852019181,
1974,0.831531574008074,
1975,0.823934001917354,1.21176035758632
1976,0.865882105098992,1.1545039501186
1977,0.856839913182642,1.16934782467809
1978,0.799971892394048,1.25830845347635
1979,0.774058941100042,1.29365032919489
1980,0.768453781524634,1.29858843717478
1981,0.848431046778518,1.1763074180574
1982,0.905751406927285,1.10219693578912
1983,0.936053004713151,1.06635446190481
1984,0.971754118432551,1.0227421448565
1985,0.965625390218772,1.0252894198816
1986,0.853013895982433,1.17883739153546
1987,0.773801967956416,1.30348449254464
1988,0.741886189467415,1.34228019539421
1989,0.78035521321791,1.28369359535191
1990,0.737593164811919,1.35882700042941
1991,0.731017752227106,1.36786792153038
1992,0.710326213913546,1.40891621457936
1993,0.716188577518037,1.39818740511284
1994,0.698587913890734,1.43659408183526
1995,0.659284672198657,1.52290277144414
1996,0.688808044610305,1.45071129354052
1997,0.726461606678917,1.37450504777058
1998,0.737255761575381,1.35705140214229
1999,0.731338549632107,1.36557105890268
2000,0.758397751584165,1.31631541075415
2001,0.785286701199364,1.27111978313317
2002,0.772851423023138,1.29977805042425
2003,0.714455745576887,1.40761968557583
2004,0.675405839371981,1.48366200320287
2005,0.67700512673317,1.47266699681938
2006,0.679887287470983,1.47556778134386
2007,0.653464282037099,1.53504006990838
2008,0.633170081068184,1.58274321344343
2009,0.649213393723728,1.5436666034098
2010,0.655065165313069,1.52421423680937
2011,0.633699411302466,1.58211443467834
2012,0.652986569395037,1.53494847482054
2013,0.658096432372639,1.52024581792623
2014,0.658338500650919,1.51557783645659
2015,0.714766270390238,1.39641708756269
2016,0.71969898911475,1.38709697356367
2017,0.72122321950091,1.39124781894057
2018,0.706452448828346,1.41465086736143
2019,,1.38189106868255
2020,,1.3958920267718
2021,,1.42350224666251
2022,,1.33538606234802
