country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
subject,BSCICP03,CPALTT01,CPALTT01,CPALTT01,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR,LOLITOTR,LORSGPNO,LORSGPOR,LORSGPOR,LORSGPRT,LORSGPTD,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01
measure,IXNSA,GP,GY,IXOB,IXNSA,STSA,STSA,GYSA,STSA,STSA,GYSA,IXOBSA,STSA,STSA,CXML,CXMLSA,GPSA,GYSA,CXML,CXMLSA,GPSA,GYSA,CXML,CXMLSA
unit,Index,Percentage,Percentage,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index,US Dollar,US Dollar,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,US Dollar,US Dollar
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Billions,Billions,Units,Units,Billions,Billions
reference_period,,,,2015=100,,,,,,,,2015=100,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,
1960-02,,,,,,,,,,100.585204758988,,11.0578577594385,100.639721408311,10.987567935105,,,,,,,,,,
1960-03,,,,,,,,,,100.527295340071,,11.0931947956114,100.573383104138,11.0299509206377,,,,,,,,,,
1960-04,,,,,,,,,,100.437666359544,,11.1246094300288,100.468974183621,11.0726814127683,,,,,,,,,,
1960-05,,,,,,,,,,100.335290124396,,11.1545251300644,100.348698943316,11.1157645764449,,,,,,,,,,
1960-06,,,,,,,,,,100.234922762778,,11.1848539360675,100.229837001081,11.1592059517635,,,,,,,,,,
1960-07,,,,,,,,,,100.134695271743,,11.2153680065087,100.110299023909,11.2030111945128,,,,,,,,,,
1960-08,,,,,,,,,,100.026786978064,,11.2450592424884,99.9810896464531,11.2471861251488,,,,,,,,,,
1960-09,,,,,,,,,,99.9077056415492,,11.2734864904119,99.8383748649431,11.2917367752251,,,,,,,,,,
1960-10,,,,,,,,,,99.7887485719824,,11.3021849937762,99.6958150926653,11.3366694311802,,,,,,,,,,
1960-11,,,,,,,,,,99.6867316208777,,11.3334516685859,99.5735485096839,11.3819903360014,,,,,,,,,,
1960-12,,,,,,,,,,99.614741883212,,11.369104981319,99.4872076350693,11.4277053820047,,,,,,,,,,
1961-01,,,,,,100.714145956284,100.369498524792,,11.5557596332986,99.5729252604679,,11.4092260232084,99.4370332555664,11.4738198130722,,,,,,,,,,
1961-02,,,,,,100.859629110026,100.498652367631,,11.6193704091951,99.5557508534446,3.57434285557684,11.4531035082429,99.4163824131106,11.5203382282119,,,,,,,,,,
