country,TUR,TUR
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,7.724437
1960-Q2,,7.745567
1960-Q3,,7.766812
1960-Q4,,7.788174
1961-Q1,1.104913,7.809785
1961-Q2,1.1004,7.830799
1961-Q3,1.705891,7.899305
1961-Q4,2.955274,8.018335
1962-Q1,4.190706,8.137071
1962-Q2,5.406525,8.254173
1962-Q3,6.675075,8.42659
1962-Q4,7.968432,8.657271
1963-Q1,9.197681,8.885492
1963-Q2,10.39782,9.112428
1963-Q3,10.04061,9.272671
1963-Q4,8.121396,9.360363
1964-Q1,6.310393,9.446202
1964-Q2,4.614517,9.532922
1964-Q3,3.321955,9.580705
1964-Q4,2.42994,9.587814
1965-Q1,1.587162,9.596128
1965-Q2,0.7363445,9.603117
1965-Q3,2.154589,9.787129
1965-Q4,5.966888,10.15991
1966-Q1,9.725967,10.52944
1966-Q2,13.46517,10.89619
1966-Q3,13.60717,11.11888
1966-Q4,10.09569,11.18562
1967-Q1,6.848365,11.25054
1967-Q2,3.85418,11.31615
1967-Q3,3.035189,11.45636
1967-Q4,4.381493,11.67572
1968-Q1,5.716465,11.89367
1968-Q2,7.021073,12.11067
1968-Q3,7.342256,12.29751
1968-Q4,6.655834,12.45284
1969-Q1,5.996902,12.60693
1969-Q2,5.359253,12.75971
1969-Q3,5.018126,12.91462
1969-Q4,4.962798,13.07084
1970-Q1,4.906205,13.22545
1970-Q2,4.854459,13.37912
1970-Q3,4.865683,13.543
1970-Q4,4.94201,13.71681
1971-Q1,5.020123,13.88938
1971-Q2,5.091719,14.06035
1971-Q3,5.593079,14.30048
1971-Q4,6.535636,14.61329
1972-Q1,7.443671,14.92326
1972-Q2,8.337907,15.23269
1972-Q3,7.881318,15.42754
1972-Q4,6.086256,15.50269
1973-Q1,4.38287,15.57733
1973-Q2,2.747683,15.65124
1973-Q3,2.449269,15.8054
1973-Q4,3.496299,16.04471
1974-Q1,4.526593,16.28245
1974-Q2,5.537195,16.51788
1974-Q3,6.100829,16.76966
1974-Q4,6.187215,17.03743
1975-Q1,6.271712,17.30364
1975-Q2,6.351705,17.56704
1975-Q3,7.193603,17.97601
1975-Q4,8.810857,18.53857
1976-Q1,10.35967,19.09624
1976-Q2,11.87272,19.65273
1976-Q3,11.22731,19.99423
1976-Q4,8.482634,20.11113
1977-Q1,5.915517,20.22588
1977-Q2,3.501405,20.34085
1977-Q3,2.242883,20.44268
1977-Q4,2.081603,20.52977
1978-Q1,1.925401,20.61531
1978-Q2,1.770448,20.70097
1978-Q3,1.431458,20.73531
1978-Q4,0.8990984,20.71435
1979-Q1,0.3730153,20.69221
1979-Q2,-0.1420026,20.67158
1979-Q3,-0.8765903,20.55354
1979-Q4,-1.847062,20.33174
1980-Q1,-2.801832,20.11244
1980-Q2,-3.766268,19.89303
1980-Q3,-2.952841,19.94663
1980-Q4,-0.2283013,20.28533
1981-Q1,2.536158,20.62253
1981-Q2,5.342097,20.95573
1981-Q3,6.292881,21.20185
1981-Q4,5.263164,21.35298
1982-Q1,4.264014,21.50187
1982-Q2,3.31547,21.65052
1982-Q3,3.086558,21.85625
1982-Q4,3.601284,22.12196
