country,JPN,JPN
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,11.98685
1960-Q2,,12.00894
1960-Q3,,12.42139
1960-Q4,,12.89881
1961-Q1,10.87903,13.2909
1961-Q2,13.03391,13.57418
1961-Q3,11.37765,13.83466
1961-Q4,12.17615,14.46939
1962-Q1,10.32829,14.66362
1962-Q2,9.536133,14.86863
1962-Q3,8.78697,15.0503
1962-Q4,6.188324,15.3648
1963-Q1,6.213789,15.57479
1963-Q2,7.83255,16.03322
1963-Q3,9.65481,16.50338
1963-Q4,11.11119,17.07201
1964-Q1,13.10912,17.61651
1964-Q2,12.52573,18.0415
1964-Q3,11.00834,18.32013
1964-Q4,8.653015,18.54925
1965-Q1,6.150947,18.70009
1965-Q2,4.944822,18.93362
1965-Q3,5.690598,19.36265
1965-Q4,6.007142,19.66353
1966-Q1,7.966394,20.18981
1966-Q2,10.80686,20.97975
1966-Q3,10.98615,21.48986
1966-Q4,11.47179,21.91929
1967-Q1,11.4433,22.50019
1967-Q2,10.13228,23.10548
1967-Q3,11.24638,23.9067
1967-Q4,11.17546,24.36887
1968-Q1,10.88931,24.95031
1968-Q2,11.66872,25.8016
1968-Q3,10.36964,26.38574
1968-Q4,14.44549,27.88907
1969-Q1,12.76153,28.13435
1969-Q2,12.21603,28.95353
1969-Q3,12.36026,29.64708
1969-Q4,10.45261,30.80421
1970-Q1,12.84454,31.74808
1970-Q2,10.98154,32.13307
1970-Q3,11.29085,32.99449
1970-Q4,6.765415,32.88824
1971-Q1,4.534989,33.18785
1971-Q2,4.948615,33.72321
1971-Q3,3.453963,34.13411
1971-Q4,4.733731,34.44508
1972-Q1,7.169686,35.56731
1972-Q2,7.453256,36.23669
1972-Q3,8.425771,37.01017
1972-Q4,10.1499,37.94123
1973-Q1,10.24234,39.21024
1973-Q2,9.195429,39.56881
1973-Q3,7.22518,39.68422
1973-Q4,5.886436,40.17461
1974-Q1,-1.060991,38.79422
1974-Q2,-1.251363,39.07365
1974-Q3,-0.2785846,39.57367
1974-Q4,-2.030072,39.35904
1975-Q1,1.588693,39.41054
1975-Q2,3.101463,40.28551
1975-Q3,2.957396,40.74401
1975-Q4,4.607339,41.17244
1976-Q1,5.355843,41.52131
1976-Q2,3.676519,41.76662
1976-Q3,3.951115,42.35386
1976-Q4,2.991759,42.40422
1977-Q1,4.360184,43.33171
1977-Q2,4.477405,43.63668
1977-Q3,3.731142,43.93414
1977-Q4,5.013334,44.53009
1978-Q1,4.707019,45.37135
1978-Q2,4.985895,45.81236
1978-Q3,5.623637,46.40484
1978-Q4,5.713888,47.07449
1979-Q1,5.305508,47.77853
1979-Q2,6.197364,48.65151
1979-Q3,5.641056,49.02256
1979-Q4,4.590912,49.23564
1980-Q1,3.44394,49.42399
1980-Q2,1.052248,49.16345
1980-Q3,2.533762,50.26468
1980-Q4,4.25994,51.33305
1981-Q1,4.49937,51.64775
1981-Q2,6.338765,52.2798
1981-Q3,3.7777,52.16352
1981-Q4,2.359574,52.54428
1982-Q1,3.294956,53.34953
1982-Q2,2.746764,53.71581
1982-Q3,3.425808,53.95055
1982-Q4,4.103125,54.70024
1983-Q1,2.596482,54.73474
