country,OECDE,OECDE
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1973-01,,103.4328
1973-02,,103.0451
1973-03,,102.5989
1973-04,,102.1504
1973-05,,101.8285
1973-06,,101.6797
1973-07,,101.6329
1973-08,,101.6058
1973-09,,101.5259
1973-10,,101.2788
1973-11,,100.7853
1973-12,,100.1468
1974-01,,99.6087
1974-02,,99.41697
1974-03,,99.40452
1974-04,,99.48143
1974-05,,99.49866
1974-06,,99.39492
1974-07,,99.20844
1974-08,,99.00622
1974-09,,98.8151
1974-10,,98.66063
1974-11,,98.61856
1974-12,,98.66051
1975-01,,98.76451
1975-02,,98.83746
1975-03,,98.89308
1975-04,,98.96877
1975-05,,99.05727
1975-06,,99.1443
1975-07,,99.25855
1975-08,,99.36289
1975-09,,99.47479
1975-10,,99.66025
1975-11,,99.95834
1975-12,99.60724,100.3485
1976-01,99.79662,100.7328
1976-02,99.96586,100.9714
1976-03,100.1311,101.0796
1976-04,100.2839,101.1067
1976-05,100.3754,101.0747
1976-06,100.4077,100.9607
1976-07,100.3633,100.7781
1976-08,100.2511,100.5752
1976-09,100.1105,100.3937
1976-10,99.96684,100.2975
1976-11,99.80436,100.3612
1976-12,99.64428,100.5121
1977-01,99.49744,100.6556
1977-02,99.37789,100.6615
1977-03,99.0883,100.5223
1977-04,98.7952,100.3308
1977-05,98.54714,100.2615
1977-06,98.37481,100.4252
1977-07,98.30286,100.7458
1977-08,98.28493,101.0995
1977-09,98.27834,101.4554
1977-10,98.26505,101.7884
1977-11,98.26315,102.0304
1977-12,98.26934,102.2048
1978-01,98.28643,102.3026
1978-02,98.40102,102.3414
1978-03,98.58129,102.3625
1978-04,98.79903,102.3787
1978-05,99.03412,102.4291
1978-06,99.30064,102.4983
1978-07,99.58578,102.5756
1978-08,99.85188,102.6508
1978-09,100.0615,102.7014
1978-10,100.2283,102.646
1978-11,100.3117,102.4765
1978-12,100.3083,102.2607
1979-01,100.3456,102.0938
1979-02,100.4729,102.0692
1979-03,100.7349,102.1296
1979-04,101.0285,102.1671
1979-05,101.2106,102.1152
1979-06,101.1915,101.9364
1979-07,101.0042,101.6961
1979-08,100.7997,101.4367
1979-09,100.6474,101.1687
1979-10,100.496,100.8813
1979-11,100.3177,100.5668
1979-12,100.1601,100.2085
1980-01,99.99544,99.83189
1980-02,99.69844,99.56722
1980-03,99.2161,99.43253
1980-04,98.61513,99.41111
1980-05,98.0155,99.40179
1980-06,97.5657,99.32236
1980-07,97.22294,99.24319
1980-08,96.98701,99.22504
1980-09,96.81368,99.17261
1980-10,96.68547,99.07212
1980-11,96.62038,98.90029
1980-12,96.64592,98.76204
1981-01,96.69774,98.65664
1981-02,96.7206,98.49635
1981-03,96.73752,98.32822
1981-04,96.82795,98.24142
1981-05,97.00253,98.24391
1981-06,97.21397,98.18498
1981-07,97.44378,98.10385
1981-08,97.64881,98.04713
1981-09,97.79926,98.08302
1981-10,97.87071,98.13699
1981-11,97.87396,98.26601
1981-12,97.81971,98.46468
1982-01,97.78079,98.74563
1982-02,97.79088,98.9841
1982-03,97.82582,99.22815
1982-04,97.75134,99.43559
1982-05,97.5761,99.57851
1982-06,97.33466,99.50956
1982-07,97.07317,99.24474
1982-08,96.87461,98.97568
1982-09,96.85729,98.74778
1982-10,96.94662,98.63655
1982-11,97.13065,98.63131
1982-12,97.40919,98.70219
1983-01,97.70071,98.92651
1983-02,97.96679,99.25086
1983-03,98.14775,99.59529
1983-04,98.22891,99.73412
1983-05,98.29086,99.71992
1983-06,98.38165,99.69637
1983-07,98.47917,99.70523
1983-08,98.64972,99.71072
1983-09,98.85946,99.67411
1983-10,99.04942,99.6838
1983-11,99.25597,99.82304
1983-12,99.41968,100.0077
1984-01,99.52421,100.1083
1984-02,99.62449,100.054
1984-03,99.68864,99.8955
1984-04,99.70104,99.7136
1984-05,99.74973,99.55058
1984-06,99.84128,99.46741
1984-07,99.89758,99.52315
1984-08,99.86852,99.64652
1984-09,99.8112,99.79256
1984-10,99.75507,99.89418
1984-11,99.70598,100.0195
1984-12,99.7058,100.1714
1985-01,99.74252,100.3079
1985-02,99.75701,100.2987
1985-03,99.78606,100.2389
1985-04,99.84995,100.1984
1985-05,99.89188,100.1431
1985-06,99.91449,100.1081
1985-07,99.92255,100.1421
1985-08,99.96543,100.2544
1985-09,100.0676,100.4729
1985-10,100.1653,100.7541
1985-11,100.1968,100.9478
1985-12,100.1409,101.1076
1986-01,100.0383,101.2795
1986-02,100.0183,101.3887
1986-03,99.9886,101.4431
1986-04,99.92063,101.4434
1986-05,99.85683,101.419
1986-06,99.79496,101.4227
1986-07,99.80364,101.4759
1986-08,99.86401,101.5686
1986-09,99.93285,101.6634
1986-10,99.98376,101.7417
1986-11,100.0366,101.7517
1986-12,100.067,101.7153
1987-01,100.0701,101.6822
1987-02,100.1478,101.6676
1987-03,100.287,101.6417
1987-04,100.4058,101.6137
1987-05,100.5072,101.5669
1987-06,100.5964,101.5386
1987-07,100.7281,101.5375
1987-08,100.9169,101.5737
1987-09,101.0717,101.6225
1987-10,101.1808,101.6022
1987-11,101.2193,101.5239
1987-12,101.2119,101.4933
1988-01,101.2169,101.5002
1988-02,101.2398,101.5349
1988-03,101.2836,101.5836
1988-04,101.3733,101.6406
1988-05,101.4888,101.67
1988-06,101.6023,101.6856
1988-07,101.7307,101.7079
1988-08,101.8784,101.774
1988-09,102.0355,101.8602
1988-10,102.1723,101.9432
1988-11,102.1976,101.9797
1988-12,102.153,101.9233
1989-01,102.0539,101.8333
1989-02,101.9441,101.6933
1989-03,101.8236,101.5173
1989-04,101.744,101.3983
1989-05,101.7387,101.3563
1989-06,101.7648,101.3962
1989-07,101.7583,101.4899
1989-08,101.6723,101.5823
1989-09,101.5604,101.6585
1989-10,101.4902,101.6492
1989-11,101.437,101.6542
1989-12,101.3586,101.6839
1990-01,101.2412,101.6582
1990-02,101.0934,101.5273
1990-03,100.9807,101.355
1990-04,100.8931,101.2969
1990-05,100.786,101.2781
1990-06,100.6777,101.2907
1990-07,100.5279,101.2352
1990-08,100.3376,101.0066
1990-09,100.1377,100.6527
1990-10,99.91359,100.503
1990-11,99.65797,100.4951
1990-12,99.34426,100.4773
1991-01,98.95267,100.3243
1991-02,98.65414,100.3459
1991-03,98.49592,100.5958
1991-04,98.48898,100.7475
1991-05,98.51001,100.7501
1991-06,98.58835,100.6041
1991-07,98.69237,100.4388
1991-08,98.79472,100.4272
1991-09,98.82418,100.5442
1991-10,98.8019,100.5994
1991-11,98.72813,100.562
1991-12,98.61009,100.4655
1992-01,98.54504,100.4008
1992-02,98.57796,100.4215
1992-03,98.69543,100.4324
1992-04,98.83538,100.3769
1992-05,98.91266,100.2654
1992-06,98.77274,100.0953
1992-07,98.46696,99.85939
1992-08,98.11706,99.54557
1992-09,97.77151,99.19453
1992-10,97.4062,98.90715
1992-11,97.04257,98.74648
1992-12,96.79749,98.68684
1993-01,96.69743,98.69511
1993-02,96.76839,98.71276
1993-03,96.95352,98.7728
1993-04,97.15876,98.87778
1993-05,97.29767,98.90569
1993-06,97.32749,98.82088
1993-07,97.36589,98.80401
1993-08,97.55353,98.84502
1993-09,97.87659,98.87867
1993-10,98.20279,98.85822
1993-11,98.47475,98.85831
1993-12,98.6224,98.97285
1994-01,98.75894,99.16908
1994-02,98.93524,99.40759
1994-03,99.23854,99.66547
1994-04,99.60624,99.98866
1994-05,99.98378,100.3442
1994-06,100.3832,100.6616
1994-07,100.8146,100.8632
1994-08,101.239,100.9976
1994-09,101.5481,101.0753
1994-10,101.7481,101.0619
1994-11,101.8697,100.9786
1994-12,101.9448,100.857
1995-01,101.9452,100.7934
1995-02,101.8973,100.7338
1995-03,101.7692,100.6989
1995-04,101.5834,100.7533
1995-05,101.3558,100.8545
1995-06,101.093,100.9715
1995-07,100.8962,101.0073
1995-08,100.73,100.9466
1995-09,100.5385,100.8073
1995-10,100.295,100.6468
1995-11,99.99921,100.4967
1995-12,99.7102,100.3638
1996-01,99.49256,100.2796
1996-02,99.3047,100.2368
1996-03,99.14348,100.2523
1996-04,99.01884,100.2742
1996-05,98.98429,100.2892
1996-06,99.10798,100.2824
1996-07,99.33068,100.269
1996-08,99.57166,100.2993
1996-09,99.74949,100.3215
1996-10,99.8437,100.3208
1996-11,99.84738,100.3335
1996-12,99.88631,100.3879
1997-01,100.0621,100.4711
1997-02,100.2669,100.5207
1997-03,100.4727,100.5574
1997-04,100.6446,100.6356
1997-05,100.8243,100.7808
1997-06,101.015,100.9504
1997-07,101.226,101.1142
1997-08,101.3972,101.2814
1997-09,101.5071,101.4039
1997-10,101.4789,101.4292
1997-11,101.3522,101.399
1997-12,101.2286,101.3501
1998-01,101.1215,101.3365
1998-02,101.0712,101.4014
1998-03,101.0418,101.5234
1998-04,100.9335,101.6261
1998-05,100.7985,101.7044
1998-06,100.7026,101.7346
1998-07,100.5796,101.7717
1998-08,100.3479,101.7825
1998-09,100.0468,101.8308
1998-10,99.74282,101.896
1998-11,99.60868,101.9479
1998-12,99.59478,101.9439
1999-01,99.51383,101.9429
1999-02,99.41344,101.8983
1999-03,99.34713,101.7959
1999-04,99.41573,101.7011
1999-05,99.59902,101.6776
1999-06,99.83838,101.7524
1999-07,100.1316,101.86
1999-08,100.4663,101.979
1999-09,100.7832,102.1027
1999-10,101.0195,102.2558
1999-11,101.1788,102.3657
1999-12,101.2803,102.4674
2000-01,101.3462,102.5331
2000-02,101.4327,102.5092
2000-03,101.5294,102.4541
2000-04,101.584,102.4109
2000-05,101.662,102.3893
2000-06,101.7185,102.3563
2000-07,101.7297,102.3413
2000-08,101.6968,102.2725
2000-09,101.6108,102.1378
2000-10,101.4714,102.1607
2000-11,101.325,102.2368
2000-12,101.176,102.3175
2001-01,100.9175,102.3352
2001-02,100.5031,102.2676
2001-03,100.2298,102.1741
2001-04,100.2055,102.0518
2001-05,100.2244,101.9506
2001-06,100.1399,101.8795
2001-07,99.94294,101.7867
2001-08,99.53623,101.6292
2001-09,99.02773,101.4852
2001-10,98.73706,101.404
2001-11,98.70567,101.4199
2001-12,98.80518,101.5352
2002-01,98.9531,101.6465
2002-02,99.23386,101.6947
2002-03,99.53851,101.6752
2002-04,99.74339,101.6016
2002-05,99.81321,101.5225
2002-06,99.81081,101.4186
2002-07,99.76685,101.3406
2002-08,99.79466,101.2488
2002-09,99.89147,101.1606
2002-10,99.94808,100.9891
2002-11,99.89902,100.7332
2002-12,99.68186,100.4413
2003-01,99.38023,100.2057
2003-02,99.16467,100.045
2003-03,99.06108,100.0004
2003-04,99.11813,100.1101
2003-05,99.15979,100.2549
2003-06,99.13438,100.392
2003-07,99.18726,100.4566
2003-08,99.39362,100.4614
2003-09,99.6133,100.476
2003-10,99.84061,100.4732
2003-11,100.0985,100.4859
2003-12,100.2359,100.5048
2004-01,100.2721,100.5428
2004-02,100.3489,100.5711
2004-03,100.4399,100.5716
2004-04,100.5802,100.5355
2004-05,100.6563,100.4984
2004-06,100.5592,100.4856
2004-07,100.518,100.4826
2004-08,100.6567,100.4893
2004-09,100.8023,100.5328
2004-10,100.761,100.5895
2004-11,100.5921,100.6356
2004-12,100.4727,100.7091
2005-01,100.367,100.7834
2005-02,100.1554,100.8046
2005-03,99.88423,100.7358
2005-04,99.63374,100.5927
2005-05,99.54324,100.4331
2005-06,99.59309,100.3363
2005-07,99.79382,100.312
2005-08,100.0648,100.3227
2005-09,100.2763,100.3267
2005-10,100.3283,100.3594
2005-11,100.3897,100.4439
2005-12,100.5283,100.6202
2006-01,100.6495,100.8089
2006-02,100.8359,100.9043
2006-03,101.0061,100.9328
2006-04,101.1628,100.9314
2006-05,101.2684,100.8362
2006-06,101.3276,100.7069
2006-07,101.4117,100.6563
2006-08,101.4652,100.6804
2006-09,101.5072,100.7563
2006-10,101.5582,100.8415
2006-11,101.7179,100.9017
2006-12,101.8454,100.9412
2007-01,101.9128,100.9373
2007-02,101.9595,100.9959
2007-03,101.9803,101.0801
2007-04,101.9218,101.2027
2007-05,101.8936,101.3352
2007-06,101.8837,101.362
2007-07,101.7937,101.302
2007-08,101.7199,101.1425
2007-09,101.6624,100.9241
2007-10,101.6107,100.6758
2007-11,101.6341,100.3686
2007-12,101.5537,100.1159
2008-01,101.3935,99.85789
2008-02,101.1994,99.60133
2008-03,100.9854,99.30699
2008-04,100.6389,98.92943
2008-05,100.331,98.4917
2008-06,100.06,98.04108
2008-07,99.68089,97.78674
2008-08,99.10069,97.81277
2008-09,98.21675,97.84333
2008-10,97.06012,97.67524
2008-11,95.92583,97.47055
2008-12,95.06442,97.28865
2009-01,94.55756,97.18548
2009-02,94.32365,97.20341
2009-03,94.49224,97.42632
2009-04,95.10358,97.84957
2009-05,95.8154,98.28823
2009-06,96.4097,98.65625
2009-07,96.91679,98.95114
2009-08,97.34904,99.22693
2009-09,97.6935,99.50998
2009-10,97.978,99.69345
2009-11,98.19697,99.76547
2009-12,98.42745,99.77483
2010-01,98.67609,99.74846
2010-02,98.91705,99.69444
2010-03,99.26496,99.64893
2010-04,99.60917,99.57905
2010-05,99.84383,99.42013
2010-06,100.0232,99.35308
2010-07,100.2325,99.44772
2010-08,100.416,99.61279
2010-09,100.5555,99.70147
2010-10,100.6643,99.70183
2010-11,100.8012,99.66852
2010-12,100.9795,99.55788
2011-01,101.0808,99.41841
2011-02,101.1094,99.32102
2011-03,101.1259,99.20535
2011-04,101.0755,99.14459
2011-05,100.9606,99.2008
2011-06,100.7875,99.21558
2011-07,100.5206,99.0774
2011-08,100.2203,98.79568
2011-09,99.90534,98.55227
2011-10,99.63036,98.3597
2011-11,99.45548,98.27635
2011-12,99.40379,98.24464
2012-01,99.49339,98.29535
2012-02,99.60873,98.37624
2012-03,99.65792,98.39316
2012-04,99.58449,98.3224
2012-05,99.40361,98.27337
2012-06,99.2598,98.24557
2012-07,99.18304,98.19604
2012-08,99.06528,98.06731
2012-09,98.97346,97.90665
2012-10,98.9082,97.82488
2012-11,98.92878,97.85337
2012-12,98.98225,97.91075
2013-01,99.03329,98.0462
2013-02,99.14986,98.16907
2013-03,99.26097,98.27283
2013-04,99.30702,98.38543
2013-05,99.40784,98.50928
2013-06,99.57777,98.7234
2013-07,99.81414,99.00653
2013-08,100.0878,99.25112
2013-09,100.3013,99.42122
2013-10,100.3778,99.48997
2013-11,100.4193,99.55923
2013-12,100.4089,99.65088
2014-01,100.3843,99.77763
2014-02,100.4083,99.91782
2014-03,100.519,100.1212
2014-04,100.6365,100.2991
2014-05,100.6615,100.3935
2014-06,100.6034,100.3927
2014-07,100.5156,100.3164
2014-08,100.4376,100.2062
2014-09,100.3845,100.1043
2014-10,100.3955,100.0554
2014-11,100.3904,100.0659
2014-12,100.3723,100.1979
2015-01,100.3983,100.4473
2015-02,100.4579,100.721
2015-03,100.5373,100.9107
2015-04,100.6234,100.9612
2015-05,100.6204,100.8909
2015-06,100.5429,100.8124
2015-07,100.4808,100.7185
2015-08,100.4313,100.6862
2015-09,100.3848,100.7326
2015-10,100.3889,100.8909
2015-11,100.4223,101.0881
2015-12,100.4724,101.1954
2016-01,100.4982,101.1537
2016-02,100.4819,101.0089
2016-03,100.5105,100.8861
2016-04,100.5253,100.8403
2016-05,100.5407,100.813
2016-06,100.5715,100.769
2016-07,100.5683,100.7028
2016-08,100.5592,100.7545
2016-09,100.6592,100.872
2016-10,100.7732,100.9567
2016-11,100.9047,100.9649
2016-12,101.0032,100.9404
2017-01,101.1185,100.9212
2017-02,101.2657,100.9007
2017-03,101.3508,100.9739
2017-04,101.4313,101.0859
2017-05,101.5506,101.1818
2017-06,101.7223,101.244
2017-07,101.8536,101.2878
2017-08,101.9451,101.3193
2017-09,102.0616,101.3586
2017-10,102.1455,101.3983
2017-11,102.1858,101.4393
2017-12,102.1682,101.5021
2018-01,102.1163,101.551
2018-02,101.9882,101.5281
2018-03,101.8608,101.4659
2018-04,101.8393,101.4046
2018-05,101.8114,101.3487
2018-06,101.7139,101.3104
2018-07,101.5314,101.2497
2018-08,101.2892,101.0913
2018-09,101.053,100.8973
2018-10,100.9047,100.7502
2018-11,100.893,100.6214
2018-12,100.8195,100.5062
2019-01,100.6553,100.4843
2019-02,100.504,100.5131
2019-03,100.4108,100.5629
2019-04,100.3086,100.5829
2019-05,100.1645,100.5839
2019-06,99.95087,100.5777
2019-07,99.7203,100.5497
2019-08,99.60026,100.4679
2019-09,99.48486,100.4255
2019-10,99.55454,100.4237
2019-11,99.74541,100.4899
2019-12,99.88944,100.5215
2020-01,99.83284,100.4377
2020-02,99.19099,100.0283
2020-03,97.66492,99.1472
2020-04,95.85859,98.17694
2020-05,95.59998,97.9994
2020-06,96.62659,98.39047
2020-07,97.94363,98.7733
2020-08,98.87627,98.94946
2020-09,99.41173,98.95367
