country,OECDE,OECDE
2020-10,99.69468,98.80141
2020-11,99.72941,98.71572
2020-12,99.87775,98.90586
2021-01,100.077,99.13741
2021-02,100.4871,99.49171
2021-03,101.094,99.9534
2021-04,101.6789,100.3797
2021-05,102.1863,100.8726
2021-06,102.5573,101.2418
2021-07,102.7577,101.2967
2021-08,102.7786,101.1603
2021-09,102.7721,100.9433
2021-10,102.7783,100.5722
2021-11,102.8294,100.138
2021-12,102.8203,99.76778
2022-01,102.6978,99.35332
2022-02,102.473,98.66824
2022-03,102.1511,97.67896
2022-04,101.8893,96.95004
2022-05,101.6766,96.51077
2022-06,101.3399,96.15703
2022-07,100.8758,95.90732
2022-08,100.4091,95.78402
2022-09,100.0518,95.69702
2022-10,99.89721,95.87796
2022-11,99.85963,96.26752
2022-12,99.94781,96.67406
2023-01,100.109,97.07782
2023-02,100.1685,97.48177
2023-03,100.1828,97.85555
2023-04,100.0559,98.30186
2023-05,99.86252,98.63229
2023-06,99.65857,98.73318
2023-07,99.51,98.59549
2023-08,99.37945,98.34167
2023-09,99.33566,98.16005
2023-10,99.34322,98.11509
2023-11,99.31484,98.27651
2023-12,99.30939,98.54772
