country,DNK,DNK
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,28.16541
1960-Q2,,28.34083
1960-Q3,,28.63003
1960-Q4,,29.03303
1961-Q1,4.915217,29.5498
1961-Q2,6.142935,30.08179
1961-Q3,6.982043,30.62899
1961-Q4,7.434174,31.19139
1962-Q1,7.510077,31.76902
1962-Q2,6.795165,32.12589
1962-Q3,5.331731,32.26205
1962-Q4,3.161343,32.17746
1963-Q1,0.3245816,31.87213
1963-Q2,-0.6522228,31.91636
1963-Q3,0.1490794,32.31014
1963-Q4,2.722433,33.05347
1964-Q1,7.13544,34.14635
1964-Q2,9.778792,35.0374
1964-Q3,10.57396,35.7266
1964-Q4,9.561803,36.21398
1965-Q1,6.891406,36.49952
1965-Q2,4.942764,36.76921
1965-Q3,3.628826,37.02306
1965-Q4,2.891406,37.26107
1966-Q1,2.695154,37.48323
1966-Q2,2.636285,37.73855
1966-Q3,2.711722,38.02702
1966-Q4,2.918838,38.34866
1967-Q1,3.255343,38.70344
1967-Q2,3.454917,39.04239
1967-Q3,3.519795,39.3655
1967-Q4,3.452805,39.67276
1968-Q1,3.257473,39.9642
1968-Q2,3.468765,40.39668
1968-Q3,4.076454,40.97021
1968-Q4,5.071584,41.6848
1969-Q1,6.446421,42.54045
1969-Q2,6.936692,43.19887
1969-Q3,6.565326,43.66004
1969-Q4,5.371658,43.92397
1970-Q1,3.40902,43.99067
1970-Q2,2.096541,44.10455
1970-Q3,1.387056,44.26563
1970-Q4,1.252016,44.4739
1971-Q1,1.679226,44.72937
1971-Q2,2.244777,45.0946
1971-Q3,2.945756,45.56959
1971-Q4,3.778477,46.15434
1972-Q1,4.738447,46.84885
1972-Q2,5.333643,47.49979
1972-Q3,5.568554,48.10715
1972-Q4,5.452626,48.67096
1973-Q1,4.999813,49.1912
1973-Q2,4.273546,49.52971
1973-Q3,3.282937,49.68648
1973-Q4,2.03522,49.66152
1974-Q1,0.535938,49.45483
1974-Q2,-0.6406205,49.21241
1974-Q3,-1.513913,48.93427
1974-Q4,-2.096447,48.6204
1975-Q1,-2.394189,48.27079
1975-Q2,-1.822996,48.31527
1975-Q3,-0.3687509,48.75383
1975-Q4,1.986956,49.58646
1976-Q1,5.266925,50.81318
1976-Q2,7.073893,51.73304
1976-Q3,7.368091,52.34605
1976-Q4,6.182643,52.65221
1977-Q1,2.377722,52.02137
1977-Q2,0.4870777,51.98502
1977-Q3,2.577651,53.69535
1977-Q4,1.057325,53.20892
1978-Q1,0.331433,52.19379
1978-Q2,2.588564,53.33069
1978-Q3,0.9320767,54.19583
1978-Q4,2.057135,54.3035
1979-Q1,5.002206,54.80463
1979-Q2,4.549034,55.75672
1979-Q3,2.193386,55.38456
1979-Q4,2.507185,55.66499
1980-Q1,3.12488,56.51721
1980-Q2,-1.219761,55.07662
1980-Q3,-1.87625,54.3454
1980-Q4,-1.749837,54.69094
1981-Q1,-3.080016,54.77647
1981-Q2,-1.275446,54.37415
1981-Q3,0.665804,54.70724
1981-Q4,0.2165104,54.80935
1982-Q1,1.378547,55.53159
1982-Q2,3.336661,56.18843
1982-Q3,3.769605,56.76949
1982-Q4,3.596939,56.78081
