country,FIN,FIN
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1987-11,,103.4574
1987-12,,103.2728
1988-01,,103.1533
1988-02,,103.0298
1988-03,,102.8188
1988-04,,102.5458
1988-05,,102.1723
1988-06,,101.869
1988-07,,101.6214
1988-08,,101.5338
1988-09,,101.6925
1988-10,,102.2535
1988-11,,103.2839
1988-12,,103.8173
1989-01,,103.8932
1989-02,,103.6403
1989-03,,103.2003
1989-04,,102.5968
1989-05,,101.7924
1989-06,,101.291
1989-07,,101.0243
1989-08,,100.8527
1989-09,,100.4486
1989-10,,99.46745
1989-11,,97.95221
1989-12,,96.93066
1990-01,,96.47659
1990-02,,96.3475
1990-03,,96.43877
1990-04,,96.91273
1990-05,,97.72355
1990-06,,98.14331
1990-07,,98.2539
1990-08,,98.14345
1990-09,,97.79574
1990-10,,97.20068
1990-11,,96.31818
1990-12,,95.6733
1991-01,,95.31975
1991-02,,95.101
1991-03,,95.00389
1991-04,,94.99357
1991-05,,95.11057
1991-06,,95.09738
1991-07,,95.04901
1991-08,,95.04239
1991-09,,95.18473
1991-10,,95.62017
1991-11,,96.38739
1991-12,,96.98422
1992-01,,97.51933
1992-02,,98.11535
1992-03,,98.37381
1992-04,,98.31424
1992-05,,98.11569
1992-06,,97.79253
1992-07,,97.39298
1992-08,,96.93853
1992-09,,96.82345
1992-10,,97.11791
1992-11,,97.68307
1992-12,,97.87659
1993-01,97.0756,97.52261
1993-02,97.65034,96.71827
1993-03,98.21892,96.1876
1993-04,98.82068,96.16706
1993-05,99.30797,96.55235
1993-06,99.46243,96.91897
1993-07,99.53128,97.2883
1993-08,99.67569,97.76096
1993-09,99.96297,98.14749
1993-10,100.2834,98.64702
1993-11,100.7196,99.46074
1993-12,101.1348,100.2924
1994-01,101.745,101.4535
1994-02,102.1378,103.0315
1994-03,102.2978,104.1127
1994-04,102.2438,104.6583
1994-05,102.2509,104.8068
1994-06,102.4768,104.7121
1994-07,102.9852,104.3953
1994-08,103.321,103.8391
1994-09,103.4997,103.6887
1994-10,103.7169,104.2727
1994-11,103.803,105.3699
1994-12,103.7092,106.0084
1995-01,103.7264,106.056
1995-02,103.4946,105.5807
1995-03,103.2536,105.1873
1995-04,103.0359,104.9576
1995-05,102.5871,104.8437
1995-06,101.8431,104.8978
1995-07,101.0888,105.0021
1995-08,100.3421,104.815
1995-09,99.63519,103.6665
1995-10,98.92021,101.5131
1995-11,98.16567,100.0864
1995-12,97.67393,99.28944
1996-01,97.50666,98.89211
1996-02,97.50302,98.79096
1996-03,97.47742,98.86919
1996-04,97.57456,99.05936
1996-05,97.71455,99.45716
1996-06,97.89286,99.93923
1996-07,98.40714,100.3411
1996-08,99.14406,100.7043
1996-09,99.76789,100.9128
1996-10,100.2974,100.9825
1996-11,100.6195,101.0825
1996-12,100.7085,101.2741
1997-01,100.6704,101.487
1997-02,100.929,101.712
1997-03,101.2711,101.8644
1997-04,101.4587,101.9433
1997-05,101.7574,101.8787
1997-06,101.8785,101.7597
1997-07,101.902,101.6306
1997-08,102.11,101.6102
1997-09,102.2449,101.7515
1997-10,102.3558,101.8325
1997-11,102.6023,101.7904
1997-12,102.6854,101.6787
1998-01,102.4258,101.5562
1998-02,101.9716,101.5216
1998-03,101.4155,101.6443
1998-04,100.9131,101.7684
1998-05,100.6131,101.8512
1998-06,100.3952,101.8769
1998-07,100.1705,101.7739
1998-08,99.74762,101.3893
1998-09,99.07332,100.822
1998-10,98.42567,100.5003
1998-11,98.00387,100.5597
1998-12,97.91893,100.7804
1999-01,98.03493,100.8354
1999-02,98.19144,100.7987
1999-03,98.45418,100.9368
1999-04,98.89744,101.2081
1999-05,99.12743,101.5089
1999-06,99.38203,101.6701
1999-07,99.84248,101.6177
1999-08,100.3636,101.518
1999-09,100.7158,101.5233
1999-10,101.1034,101.6411
1999-11,101.491,101.7674
1999-12,101.8424,101.9525
2000-01,102.1154,102.1215
2000-02,102.3986,102.1573
2000-03,102.4251,101.9625
2000-04,102.4347,101.7301
2000-05,102.6128,101.6396
2000-06,102.7907,101.5907
2000-07,102.9396,101.485
2000-08,103.0539,101.1991
2000-09,102.8951,100.8431
2000-10,102.6873,100.7015
2000-11,102.4054,100.8595
2000-12,101.9978,101.0766
2001-01,101.2563,101.0888
2001-02,100.0705,100.7753
2001-03,99.10834,100.3382
2001-04,98.75631,100.0788
2001-05,98.7674,99.99015
2001-06,98.65913,99.74816
2001-07,98.43578,99.37558
2001-08,98.26885,99.10036
2001-09,98.17045,98.99905
2001-10,98.28241,99.08003
2001-11,98.53165,99.34659
2001-12,98.83909,99.86932
2002-01,99.11476,100.4429
2002-02,99.16431,100.8692
2002-03,99.37583,101.1514
2002-04,99.52441,101.2596
2002-05,99.30933,101.2324
2002-06,99.22894,100.9915
2002-07,99.31396,100.6767
2002-08,99.46752,100.3874
2002-09,99.62457,100.3052
2002-10,99.5983,100.2549
2002-11,99.59541,100.2464
2002-12,99.26447,100.2569
2003-01,98.81419,100.2007
2003-02,98.64155,100.0725
2003-03,98.68206,100.0414
2003-04,98.85746,100.0426
2003-05,98.94352,100.0767
2003-06,98.74602,100.1315
2003-07,98.88549,100.3021
2003-08,99.19201,100.4667
2003-09,99.51289,100.6156
2003-10,99.71178,100.6861
2003-11,99.9435,100.7591
2003-12,100.1039,100.9118
2004-01,100.1937,101.03
2004-02,100.1281,101.0387
2004-03,100.1046,101.0143
2004-04,100.1803,100.9456
2004-05,100.3866,100.8351
2004-06,100.7303,100.8059
2004-07,100.8648,100.8286
2004-08,100.8773,100.8271
2004-09,100.8176,100.7713
2004-10,100.793,100.7164
2004-11,100.829,100.7443
2004-12,100.8333,100.9414
2005-01,100.6664,101.1402
2005-02,100.4581,101.3367
2005-03,100.2705,101.376
2005-04,100.153,101.1017
2005-05,100.3154,100.6617
2005-06,100.9393,100.2836
2005-07,101.5727,100.3312
2005-08,101.7743,100.4539
2005-09,101.8093,100.4608
2005-10,101.8823,100.62
2005-11,101.8578,100.7302
2005-12,101.7222,100.8066
2006-01,101.7611,100.8547
2006-02,101.8086,100.8328
2006-03,101.8956,100.6423
2006-04,102.1115,100.533
2006-05,102.333,100.6032
2006-06,102.6044,100.6401
2006-07,102.7328,100.51
2006-08,102.6278,100.4675
2006-09,102.6162,100.5555
2006-10,102.6759,100.7252
2006-11,102.6465,100.9777
2006-12,102.704,101.0798
2007-01,102.825,101.0786
2007-02,103.0654,101.0077
2007-03,103.3168,100.9652
2007-04,103.3418,100.9927
2007-05,103.2248,101.0025
2007-06,103.0416,101.0189
2007-07,102.8388,100.8996
2007-08,102.6187,100.6648
2007-09,102.3432,100.3482
2007-10,102.1384,100.116
2007-11,102.0669,99.89319
2007-12,101.9801,99.71079
2008-01,101.6361,99.54478
2008-02,100.9699,99.34505
2008-03,100.483,99.08625
2008-04,100.214,98.6605
2008-05,100.0266,98.05945
2008-06,99.74149,97.53135
2008-07,99.41486,97.1843
2008-08,98.90607,97.05382
2008-09,98.2039,96.91254
2008-10,97.15636,96.5159
2008-11,95.77557,96.20393
2008-12,94.9034,96.18488
2009-01,94.59787,96.54028
2009-02,94.40945,96.97519
2009-03,94.38944,97.53751
2009-04,94.60606,98.33654
2009-05,94.93541,99.17255
2009-06,95.47117,99.6972
2009-07,96.25636,99.99754
2009-08,96.85455,100.2249
2009-09,97.33686,100.5246
2009-10,97.66844,100.7707
2009-11,97.89844,100.9182
2009-12,98.33254,101.218
2010-01,98.72242,101.57
2010-02,99.00804,101.8758
2010-03,99.30968,101.9559
2010-04,99.74926,101.8185
2010-05,100.1334,101.5422
2010-06,100.2779,101.6046
2010-07,100.4023,101.892
2010-08,100.5123,102.1749
2010-09,100.5195,102.2423
2010-10,100.59,101.926
2010-11,100.7242,101.4171
2010-12,100.8703,100.891
2011-01,100.927,100.7867
2011-02,100.8267,100.797
2011-03,100.7999,100.7027
2011-04,100.6502,100.4387
2011-05,100.4534,99.91985
2011-06,100.0962,99.15128
2011-07,99.56458,98.44026
2011-08,99.02608,97.74477
2011-09,98.75026,97.26936
2011-10,98.70004,97.04774
2011-11,98.59361,97.03432
2011-12,98.55047,97.32588
2012-01,98.67844,98.02151
2012-02,98.90289,98.73905
2012-03,98.94574,99.1477
2012-04,98.81906,99.36333
2012-05,98.56831,99.07938
2012-06,98.58236,98.27224
2012-07,98.68312,97.56197
2012-08,98.66154,97.25407
2012-09,98.51289,97.35894
2012-10,98.29034,97.5927
2012-11,98.0855,97.9632
2012-12,98.05242,98.34435
2013-01,98.26101,98.83478
2013-02,98.54681,99.26157
2013-03,98.66908,99.30389
2013-04,98.78878,99.064
2013-05,98.84229,98.83308
2013-06,98.71188,98.71706
2013-07,98.41663,98.56052
2013-08,98.09016,98.48485
2013-09,97.89383,98.54585
2013-10,97.97661,98.69435
2013-11,98.25891,98.90701
2013-12,98.41093,99.11461
2014-01,98.45644,99.29646
2014-02,98.60543,99.19597
2014-03,98.70453,98.9448
2014-04,98.79073,98.74116
2014-05,98.80895,98.83233
2014-06,98.70923,98.91238
2014-07,98.6576,98.64504
2014-08,98.57057,97.92903
2014-09,98.36536,97.43408
2014-10,98.32192,97.43641
2014-11,98.31038,97.69958
2014-12,98.33863,98.12466
2015-01,98.50281,98.67889
2015-02,98.60758,99.23924
2015-03,98.62843,99.61394
2015-04,98.561,99.90311
2015-05,98.41551,99.93224
2015-06,98.39119,99.57705
2015-07,98.33421,99.1181
2015-08,98.26622,98.55983
2015-09,98.38017,98.05109
2015-10,98.54307,97.90612
2015-11,98.457,98.15387
2015-12,98.38232,98.41428
2016-01,98.47518,98.84026
2016-02,98.61769,98.97465
2016-03,98.70705,99.08952
2016-04,98.51301,99.39944
2016-05,98.24545,99.7931
2016-06,98.15266,100.1757
2016-07,98.28461,100.3058
2016-08,98.69282,100.4486
2016-09,99.19138,100.5552
2016-10,99.36127,100.7342
2016-11,99.53371,100.9141
2016-12,99.84113,101.1638
2017-01,100.1669,101.4357
2017-02,100.4492,101.6618
2017-03,100.6908,101.9415
2017-04,100.8458,102.1244
2017-05,100.9893,102.1829
2017-06,101.0565,102.144
2017-07,101.0807,102.0696
2017-08,101.1567,101.9799
2017-09,101.3705,102.0049
2017-10,101.6477,102.1285
2017-11,101.89,102.317
2017-12,102.0808,102.7027
2018-01,102.1038,102.7426
2018-02,102.0256,102.637
2018-03,101.8742,102.4066
2018-04,101.7781,102.1901
2018-05,101.7515,102.0521
2018-06,101.8511,101.8547
2018-07,101.8516,101.7023
2018-08,101.6501,101.4864
2018-09,101.3725,101.1535
2018-10,101.0406,100.767
2018-11,100.666,100.4187
2018-12,100.3375,100.1923
2019-01,100.1685,100.0899
2019-02,99.96788,100.0285
2019-03,99.86775,100.0567
2019-04,99.71421,100.0331
2019-05,99.54946,99.828
2019-06,99.29169,99.46222
2019-07,99.20547,99.19701
2019-08,99.21219,98.97882
2019-09,99.08334,98.81963
2019-10,98.90734,98.74645
2019-11,98.82117,98.9222
2019-12,98.80443,99.10477
2020-01,98.81137,99.047
2020-02,98.71122,98.58272
2020-03,98.06737,97.79964
2020-04,96.92501,97.23505
2020-05,96.25639,97.77612
2020-06,96.20043,98.72993
2020-07,96.54803,99.23976
2020-08,96.79798,99.05819
2020-09,97.12331,98.68978
2020-10,97.61711,98.53638
2020-11,98.1811,98.84341
2020-12,98.93324,99.35433
2021-01,99.55202,99.9631
2021-02,99.991,100.3567
2021-03,100.5933,100.7497
2021-04,101.2709,101.5672
2021-05,101.9102,102.1695
2021-06,102.4128,102.529
2021-07,102.7284,102.6277
2021-08,103.0398,102.5968
2021-09,103.1871,102.4261
2021-10,103.2124,101.8415
2021-11,103.0594,101.1277
2021-12,102.8079,100.4853
2022-01,102.7047,100.0534
2022-02,102.6508,99.28557
2022-03,102.3816,97.80402
2022-04,102.0702,96.66628
2022-05,101.6803,96.00892
2022-06,101.1707,95.49451
2022-07,100.61,95.04573
2022-08,100.0754,94.63059
2022-09,99.5866,94.17392
2022-10,99.15176,94.0876
2022-11,98.87437,94.26894
2022-12,98.83807,94.68587
2023-01,98.87982,95.4642
2023-02,98.68745,96.12541
2023-03,98.30778,96.72712
2023-04,97.9571,97.43216
