country,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,101.6373,102.5338,12.02907
1960-03,,,,,,,101.5315,102.3644,12.08892
1960-04,,,,,,,101.4259,102.1952,12.14907
1960-05,,,,,,,101.3202,102.0259,12.20952
1960-06,,,,,,,101.2144,101.8564,12.27029
1960-07,,,,,,,101.1084,101.6864,12.33138
1960-08,,,,,,,101.0018,101.5157,12.39281
1960-09,,,,,,,100.8946,101.3439,12.45459
1960-10,,,,,,,100.7865,101.1707,12.51674
1960-11,,,,,,,100.6772,100.9957,12.57926
1960-12,,,,,,,100.5667,100.8186,12.64219
1961-01,,,,,,,100.4551,100.6397,12.70553
1961-02,,,,,,,100.3424,100.4592,12.76932
1961-03,,,,,,,100.2293,100.2779,12.83357
1961-04,,,,,,,100.1163,100.0969,12.8983
1961-05,,,,,,,100.0044,99.91758,12.96355
1961-06,,,,,,,99.89406,99.7408,13.02932
1961-07,,,,,,,99.78532,99.56658,13.09565
1961-08,,,,,,,99.67785,99.39438,13.16256
1961-09,,,,,,,99.57103,99.22324,13.23008
1961-10,,,,,,,99.46384,99.05148,13.29823
1961-11,,,,,,,99.35537,98.87769,13.36703
1961-12,,,,,,,99.24532,98.70135,13.4365
1962-01,,,,,,,99.13432,98.52351,13.50668
1962-02,,,,,,,99.02425,98.34715,13.57757
1962-03,,,,,,,98.91834,98.17747,13.64921
1962-04,,,,,,,98.82116,98.02175,13.7216
1962-05,,,,,,,98.73792,97.88839,13.79478
1962-06,,,,,,,98.67313,97.78456,13.86875
1962-07,,,,,,,98.62792,97.71214,13.94353
1962-08,,,,,,,98.60184,97.67035,14.01913
1962-09,,,,,,,98.5928,97.65586,14.09556
1962-10,,,,,,,98.59554,97.66025,14.17282
1962-11,,,,,,,98.6045,97.67461,14.25093
1962-12,,,,,,,98.61564,97.69246,14.32988
1963-01,,,,,,,98.62746,97.7114,14.40967
1963-02,,,,,,,98.64147,97.73385,14.49031
1963-03,,,,,,,98.66242,97.76742,14.57178
1963-04,,,,,,,98.69801,97.82444,14.65407
1963-05,,,,,,,98.75762,97.91994,14.73719
1963-06,,,,,,,98.84977,98.06759,14.8211
1963-07,,,,,,,98.97755,98.27234,14.9058
1963-08,,,,,,,99.14145,98.53493,14.99126
1963-09,,,,,,,99.33907,98.85158,15.07747
1963-10,,,,,,,99.56215,99.209,15.1644
1963-11,,,,,,,99.8008,99.59137,15.25202
1963-12,,,,,,,100.0457,99.98373,15.3403
1964-01,,,,,,,100.2887,100.3731,15.42922
1964-02,,,,,,,100.5223,100.7473,15.51875
1964-03,,,,,,,100.7388,101.0943,15.60885
1964-04,,,,,,,100.9301,101.4009,15.6995
1964-05,,,,,,,101.0876,101.6531,15.79066
1964-06,,,,,,,101.204,101.8396,15.88231
1964-07,,,,,,,101.2776,101.9576,15.97442
1964-08,,,,,,,101.3092,102.0083,16.06696
1964-09,,,,,,,101.302,101.9966,16.15991
1964-10,,,,,,,101.2643,101.9362,16.25325
1964-11,,,,,,,101.2056,101.8422,16.34696
1964-12,,,,,,,101.1342,101.7278,16.44102
1965-01,,,,,,,101.0566,101.6035,16.53541
1965-02,,,,,,,100.9776,101.4769,16.63012
1965-03,,,,,,,100.9005,101.3534,16.72513
1965-04,,,,,,,100.8282,101.2376,16.82044
1965-05,,,,,,,100.7628,101.1328,16.91603
1965-06,,,,,,,100.7058,101.0415,17.01189
1965-07,,,,,,,100.6574,100.9639,17.10803
1965-08,,,,,,,100.6171,100.8993,17.20442
1965-09,,,,,,,100.584,100.8462,17.30107
1965-10,,,,,,,100.5559,100.8013,17.39797
1965-11,,,,,,,100.5308,100.761,17.49512
1965-12,,,,,,,100.5067,100.7224,17.59252
1966-01,,,,,,,100.4823,100.6832,17.69016
1966-02,,,,,,,100.4565,100.642,17.78804
1966-03,,,,,,,100.4288,100.5976,17.88617
1966-04,,,,,,,100.3987,100.5493,17.98454
1966-05,,,,,,,100.3655,100.4962,18.08317
1966-06,,,,,,,100.329,100.4377,18.18204
1966-07,,,,,,,100.2888,100.3732,18.28118
1966-08,,,,,,,100.2447,100.3027,18.38057
1966-09,,,,,,,100.1967,100.2258,18.48023
1966-10,,,,,,,100.1452,100.1431,18.58016
1966-11,,,,,,,100.0906,100.0557,18.68037
1966-12,,,,,,,100.034,99.965,18.78087
1967-01,,,,,,,99.97681,99.8734,18.88166
1967-02,,,,,,,99.92138,99.78457,18.98275
1967-03,,,,,,,99.87092,99.70372,19.08414
1967-04,,,,,,,99.8297,99.6377,19.18585
1967-05,,,,,,,99.80254,99.59417,19.28788
1967-06,,,,,,,99.79359,99.57981,19.39024
1967-07,,,,,,,99.80416,99.59676,19.49292
1967-08,,,,,,,99.83422,99.64492,19.59595
1967-09,,,,,,,99.8823,99.72196,19.69932
1967-10,,,,,,,99.94399,99.82081,19.80304
1967-11,,,,,,,100.0142,99.93327,19.9071
1967-12,,,,,,,100.0881,100.0518,20.01153
1968-01,,,,,,,100.1619,100.1699,20.11631
1968-02,,,,,,,100.232,100.2823,20.22145
1968-03,,,,,,,100.2952,100.3836,20.32696
1968-04,,,,,,,100.348,100.4681,20.43283
1968-05,,,,,,,100.3868,100.5303,20.53909
1968-06,,,,,,,100.4087,100.5654,20.64573
1968-07,,,,,,,100.4128,100.5719,20.75275
1968-08,,,,,,,100.3992,100.5501,20.86018
1968-09,,,,,,,100.3689,100.5016,20.96801
1968-10,,,,,,,100.3252,100.4316,21.07626
1968-11,,,,,,,100.2718,100.346,21.18493
1968-12,,,,,,,100.2123,100.2507,21.29405
1969-01,,,,,,,100.1501,100.1511,21.40363
1969-02,,,,,,,100.0887,100.0527,21.51367
1969-03,,,,,,,100.0318,99.96143,21.6242
1969-04,,,,,,,99.98374,99.8845,21.73522
1969-05,,,,,,,99.94937,99.82942,21.84675
1969-06,,,,,,,99.93266,99.80264,21.95881
1969-07,,,,,,,99.93487,99.80619,22.07141
1969-08,,,,,,,99.95596,99.83999,22.18458
1969-09,,,,,,,99.99452,99.90177,22.29831
1969-10,,,,,,,100.0463,99.98467,22.41262
1969-11,,,,,,,100.1061,100.0805,22.52754
1969-12,,,,,,,100.1689,100.1812,22.64308
1970-01,,,,,,,100.2302,100.2794,22.75924
1970-02,,,,,,,100.285,100.3673,22.87605
1970-03,,,,,,,100.3279,100.436,22.99352
1970-04,,,,,,,100.3524,100.4752,23.11168
1970-05,,,,,,,100.3515,100.4737,23.23053
1970-06,,,,,,,100.3188,100.4214,23.3501
1970-07,,,,,,,100.2524,100.315,23.47041
1970-08,,,,,,,100.152,100.1541,23.59148
1970-09,,,,,,,100.0194,99.94166,23.71334
1970-10,,,,,,,99.861,99.68784,23.836
1970-11,,,,,,,99.68447,99.40499,23.9595
1970-12,,,,,,,99.49749,99.10539,24.08385
1971-01,,,,,,,99.30753,98.80103,24.20909
1971-02,,,,,,,99.12248,98.50454,24.33522
1971-03,,,,,,,98.95132,98.23031,24.46228
1971-04,,,,,,,98.80453,97.99511,24.59029
1971-05,,,,,,,98.69328,97.81686,24.71925
1971-06,,,,,,,98.62703,97.7107,24.84918
1971-07,,,,,,,98.60844,97.68091,24.98008
1971-08,,,,,,,98.63698,97.72664,25.11197
1971-09,,,,,,,98.70889,97.84187,25.24483
1971-10,,,,,,,98.81356,98.00957,25.37866
1971-11,,,,,,,98.93904,98.21062,25.51345
1971-12,,,,,,,99.075,98.42847,25.64919
1972-01,,,,,,,99.21391,98.65104,25.78585
1972-02,,,,,,,99.35107,98.8708,25.92342
1972-03,,,,,,,99.48413,99.084,26.06186
1972-04,,,,,,,99.61257,99.28978,26.20116
1972-05,,,,,,,99.73691,99.48901,26.34127
1972-06,,,,,,,99.85815,99.68327,26.48216
1972-07,,,,,,,99.97717,99.87395,26.62381
1972-08,,,,,,,100.0947,100.0622,26.76617
1972-09,,,,,,,100.211,100.2486,26.90921
1972-10,,,,,,,100.3261,100.433,27.05289
1972-11,,,,,,,100.4394,100.6146,27.19717
1972-12,,,,,,,100.5502,100.7921,27.34201
1973-01,,,,,,,100.6574,100.9638,27.48738
1973-02,,,,,,,100.7593,101.1271,27.63323
1973-03,,,,,,,100.8536,101.2783,27.77953
1973-04,,,,,,,100.9375,101.4126,27.92625
1973-05,,,,,,,101.0074,101.5246,28.07335
