country,USA,USA
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1947-Q1,,11.61024
1947-Q2,,11.57945
1947-Q3,,11.55572
1947-Q4,,11.73668
1948-Q1,2.611513,11.91344
1948-Q2,4.584426,12.1103
1948-Q3,5.401228,12.17987
1948-Q4,3.893672,12.19367
1949-Q1,0.9432142,12.02581
1949-Q2,-1.034924,11.98496
1949-Q3,-0.5828533,12.10888
1949-Q4,-1.527332,12.00743
1950-Q1,3.772856,12.47953
1950-Q2,7.303358,12.86027
1950-Q3,10.31016,13.35733
1950-Q4,13.37239,13.61311
1951-Q1,10.56488,13.79797
1951-Q2,9.149921,14.03697
1951-Q3,7.252998,14.32613
1951-Q4,5.468163,14.3575
1952-Q1,5.165332,14.51068
1952-Q2,3.596274,14.54178
1952-Q3,2.237364,14.64666
1952-Q4,5.364084,15.12765
1953-Q1,6.189877,15.40888
1953-Q2,6.781989,15.528
1953-Q3,5.420994,15.44066
1953-Q4,0.5240615,15.20693
1954-Q1,-1.781925,15.1343
1954-Q2,-2.428777,15.15086
1954-Q3,-0.7683311,15.32202
1954-Q4,2.728619,15.62187
1955-Q1,6.170199,16.06812
1955-Q2,7.780241,16.32964
1955-Q3,8.015915,16.55022
1955-Q4,6.579017,16.64963
1956-Q1,3.216954,16.58503
1956-Q2,2.403458,16.72211
1956-Q3,0.9479719,16.70711
1956-Q4,1.996826,16.9821
1957-Q1,3.049756,17.09083
1957-Q2,1.980982,17.05338
1957-Q3,3.072775,17.22048
1957-Q4,0.3546986,17.04233
1958-Q1,-2.87229,16.59993
1958-Q2,-2.019545,16.70897
1958-Q3,-0.7259561,17.09547
1958-Q4,2.657329,17.4952
1959-Q1,7.415106,17.83083
1959-Q2,9.118834,18.23264
1959-Q3,6.726223,18.24535
1959-Q4,4.584936,18.29735
1960-Q1,4.923796,18.70879
1960-Q2,2.059097,18.60807
1960-Q3,2.487655,18.69923
1960-Q4,0.8851014,18.4593
1961-Q1,-0.6675232,18.5839
1961-Q2,1.565785,18.89943
1961-Q3,3.011533,19.26237
1961-Q4,6.397499,19.64023
1962-Q1,7.569161,19.99055
1962-Q2,6.730273,20.17141
1962-Q3,6.006873,20.41943
1962-Q4,4.309847,20.48669
1963-Q1,3.60111,20.71043
1963-Q2,3.824586,20.94288
1963-Q3,4.818697,21.40338
1963-Q4,5.15981,21.54377
1964-Q1,6.21734,21.99806
1964-Q2,6.182313,22.23764
1964-Q3,5.521286,22.58512
1964-Q4,5.157813,22.65495
1965-Q1,5.4783,23.20318
1965-Q2,5.660275,23.49635
1965-Q3,6.347485,24.01871
1965-Q4,8.462271,24.57208
1966-Q1,8.477019,25.17012
1966-Q2,7.48934,25.25607
1966-Q3,6.042109,25.46995
1966-Q4,4.504403,25.67891
1967-Q1,2.925069,25.90637
1967-Q2,2.637738,25.92226
1967-Q3,2.738744,26.16751
1967-Q4,2.670927,26.36477
1968-Q1,3.844815,26.90242
1968-Q2,5.514676,27.35179
1968-Q3,5.335354,27.56363
1968-Q4,4.957856,27.6719
1969-Q1,4.469434,28.1048
1969-Q2,3.06478,28.19006
1969-Q3,2.94761,28.3761
1969-Q4,2.044207,28.23757
